cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Merchandising,RetailEcoResProductEntity,RetailEcoResProductEntity.1.1.cdm.json/RetailEcoResProductEntity,,merchandising,retail_eco_res_product_entity,
Merchandising,RetailProductRatingEntity,RetailProductRatingEntity.1.1.cdm.json/RetailProductRatingEntity,,merchandising,retail_product_rating_entity,Relationship_ProductIdRelationshipId
Merchandising,MCRCatalogRequestEntity,MCRCatalogRequestEntity.1.1.cdm.json/MCRCatalogRequestEntity,,merchandising,mcr_catalog_request_entity,Relationship_CustTableRelationshipId
Merchandising,RetailCatalogProductAttributeValueEntity,RetailCatalogProductAttributeValueEntity.1.0.1.cdm.json/RetailCatalogProductAttributeValueEntity,,merchandising,retail_catalog_product_attribute_value_entity,Relationship_CatalogNumberRelationshipId
Merchandising,RetailKitEntity,RetailKitEntity.1.1.cdm.json/RetailKitEntity,,merchandising,retail_kit_entity,Relationship_EcoResProductMasterRelationshipId
Merchandising,DimAttributeRetailTerminalEntity,DimAttributeRetailTerminalEntity.1.1.cdm.json/DimAttributeRetailTerminalEntity,,merchandising,dim_attribute_retail_terminal_entity,Relationship_DimensionAttributeValueSetRelationshipId
Merchandising,RetailCatalogTranslationEntity,RetailCatalogTranslationEntity.1.1.cdm.json/RetailCatalogTranslationEntity,,merchandising,retail_catalog_translation_entity,Relationship_DirPersonRelationshipId
Merchandising,RetailDiscountLineEntity,RetailDiscountLineEntity.1.1.cdm.json/RetailDiscountLineEntity,,merchandising,retail_discount_line_entity,Relationship_OfferIdRelationshipId
Merchandising,RetailEcoResCategoryTranslationEntity,RetailEcoResCategoryTranslationEntity.1.1.cdm.json/RetailEcoResCategoryTranslationEntity,,merchandising,retail_eco_res_category_translation_entity,Relationship_EcoResCategoryRelationshipId
Merchandising,RetailTmpChannelProductMediaEntity,RetailTmpChannelProductMediaEntity.1.0.1.cdm.json/RetailTmpChannelProductMediaEntity,,merchandising,retail_tmp_channel_product_media_entity,
Merchandising,BarcodeSetupEntity,BarcodeSetupEntity.1.1.cdm.json/BarcodeSetupEntity,,merchandising,barcode_setup_entity,Relationship_CompanyRelationshipId
Merchandising,RetailKitOrderJournalEntity,RetailKitOrderJournalEntity.1.1.cdm.json/RetailKitOrderJournalEntity,,merchandising,retail_kit_order_journal_entity,Relationship_RetailKitEntityRelationshipId
Merchandising,RetailDiscountFiscalTextEntity,RetailDiscountFiscalTextEntity.1.1.cdm.json/RetailDiscountFiscalTextEntity,,merchandising,retail_discount_fiscal_text_entity,Relationship_RetailPeriodicDiscountRelationshipId
Merchandising,RetailTmpBulkProductAttributeValueEntity,RetailTmpBulkProductAttributeValueEntity.1.1.cdm.json/RetailTmpBulkProductAttributeValueEntity,,merchandising,retail_tmp_bulk_product_attribute_value_entity,
Merchandising,RetailAssortmentLookupChannelGroupEntity,RetailAssortmentLookupChannelGroupEntity.1.1.cdm.json/RetailAssortmentLookupChannelGroupEntity,,merchandising,retail_assortment_lookup_channel_group_entity,Relationship_DefaultDimensionDimensionSetRelationshipId
Merchandising,RetailKitReleasedComponentEntity,RetailKitReleasedComponentEntity.1.1.cdm.json/RetailKitReleasedComponentEntity,,merchandising,retail_kit_released_component_entity,Relationship_RetailKitEntityRelationshipId
Merchandising,RetailProdAttribIntOrgMetadataCollapsedEntity,RetailProdAttribIntOrgMetadataCollapsedEntity.1.0.1.cdm.json/RetailProdAttribIntOrgMetadataCollapsedEntity,,merchandising,retail_prod_attrib_int_org_metadata_collapsed_entity,Relationship_DefaultCustomerRelationshipId
Merchandising,RetailAttributesGlobalLookupEntity,RetailAttributesGlobalLookupEntity.1.0.1.cdm.json/RetailAttributesGlobalLookupEntity,,merchandising,retail_attributes_global_lookup_entity,Relationship_ProductCategoryHierarchyRelationshipId
Merchandising,RetailAttributeMetadataEntity,RetailAttributeMetadataEntity.1.1.cdm.json/RetailAttributeMetadataEntity,,merchandising,retail_attribute_metadata_entity,BackingTable_EcoResAttributeRelationshipId
Merchandising,RetailTmpCatalogProductMediaEntity,RetailTmpCatalogProductMediaEntity.1.0.1.cdm.json/RetailTmpCatalogProductMediaEntity,,merchandising,retail_tmp_catalog_product_media_entity,
Merchandising,RetailKitVariantComponentEntity,RetailKitVariantComponentEntity.1.1.cdm.json/RetailKitVariantComponentEntity,,merchandising,retail_kit_variant_component_entity,Relationship_RetailKitEntityRelationshipId
Merchandising,EcoResProductNumberIdentifiedBarcodeEntity,EcoResProductNumberIdentifiedBarcodeEntity.1.1.cdm.json/EcoResProductNumberIdentifiedBarcodeEntity,,merchandising,eco_res_product_number_identified_barcode_entity,Relationship_CompanyRelationshipId
Merchandising,RetailDlvModeChannelExplodedEntity,RetailDlvModeChannelExplodedEntity.1.1.cdm.json/RetailDlvModeChannelExplodedEntity,,merchandising,retail_dlv_mode_channel_exploded_entity,Relationship_DefaultDimensionDimensionSetRelationshipId
Merchandising,RetailCatalogInternalOrganizationEntity,RetailCatalogInternalOrganizationEntity.1.1.cdm.json/RetailCatalogInternalOrganizationEntity,,merchandising,retail_catalog_internal_organization_entity,Relationship_DirPersonRelationshipId
Merchandising,RetailCouponEntity,RetailCouponEntity.1.1.cdm.json/RetailCouponEntity,,merchandising,retail_coupon_entity,Relationship_RetailPeriodicDiscountRelationshipRelationshipId
Merchandising,RetailCategoryPriceRuleEntity,RetailCategoryPriceRuleEntity.1.0.1.cdm.json/RetailCategoryPriceRuleEntity,,merchandising,retail_category_price_rule_entity,Relationship_CustTableRelationshipId
Merchandising,RetailAssortmentEntity,RetailAssortmentEntity.1.1.cdm.json/RetailAssortmentEntity,,merchandising,retail_assortment_entity,BackingTable_RetailAssortmentTableRelationshipId
Merchandising,RetailCatalogEntity,RetailCatalogEntity.1.1.cdm.json/RetailCatalogEntity,,merchandising,retail_catalog_entity,Relationship_DirPersonRelationshipId
Merchandising,RetailTmpCustomerMediaEntity,RetailTmpCustomerMediaEntity.1.1.cdm.json/RetailTmpCustomerMediaEntity,,merchandising,retail_tmp_customer_media_entity,Relationship_CompanyRelationshipId
Merchandising,RetailAttributesLegalEntityLookupEntity,RetailAttributesLegalEntityLookupEntity.1.1.cdm.json/RetailAttributesLegalEntityLookupEntity,,merchandising,retail_attributes_legal_entity_lookup_entity,Relationship_CategoryInstanceRelationshipId
Merchandising,MCRSourceCodeEntity,MCRSourceCodeEntity.1.1.cdm.json/MCRSourceCodeEntity,,merchandising,mcr_source_code_entity,BackingTable_DirPersonBaseEntityRelationshipId
