cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Payments,RetailTenderTypeCardNumberEntity,RetailTenderTypeCardNumberEntity.1.1.cdm.json/RetailTenderTypeCardNumberEntity,,payments,retail_tender_type_card_number_entity,Relationship_RetailTenderTypeCardTableRelationshipId
Payments,RetailTenderTypeCardEntity,RetailTenderTypeCardEntity.1.1.cdm.json/RetailTenderTypeCardEntity,,payments,retail_tender_type_card_entity,
Payments,RetailStoreTenderTypeEntity,RetailStoreTenderTypeEntity.1.1.cdm.json/RetailStoreTenderTypeEntity,,payments,retail_store_tender_type_entity,Relationship_MainAccountRelationshipId
Payments,RetailStoreTenderTypeTableEntity,RetailStoreTenderTypeTableEntity.1.1.cdm.json/RetailStoreTenderTypeTableEntity,,payments,retail_store_tender_type_table_entity,Relationship_MainAccountRelationshipId
Payments,RetailGiftCardEntity,RetailGiftCardEntity.1.1.cdm.json/RetailGiftCardEntity,,payments,retail_gift_card_entity,Relationship_CurrencyRelationshipId
Payments,TAMPaymentDeductionTypeEntity,TAMPaymentDeductionTypeEntity.1.1.cdm.json/TAMPaymentDeductionTypeEntity,,payments,tam_payment_deduction_type_entity,Relationship_MainAcountRelationshipId
Payments,TAMPaymentDeductionWriteOffReasonCodeEntity,TAMPaymentDeductionWriteOffReasonCodeEntity.1.0.1.cdm.json/TAMPaymentDeductionWriteOffReasonCodeEntity,,payments,tam_payment_deduction_write_off_reason_code_entity,Relationship_MainAcountRelationshipId
Payments,RetailStoreTenderTypeCardEntity,RetailStoreTenderTypeCardEntity.1.1.cdm.json/RetailStoreTenderTypeCardEntity,,payments,retail_store_tender_type_card_entity,Relationship_MainAcountRelationshipId
Payments,RetailHardwareProfileMerchantInfoEntity,RetailHardwareProfileMerchantInfoEntity.1.1.cdm.json/RetailHardwareProfileMerchantInfoEntity,,payments,retail_hardware_profile_merchant_info_entity,Relationship_Printer2ReceiptProfileRelationshipId
Payments,RetailChannelPaymentConnectorLineEntity,RetailChannelPaymentConnectorLineEntity.1.1.cdm.json/RetailChannelPaymentConnectorLineEntity,,payments,retail_channel_payment_connector_line_entity,Relationship_MainAccountRelationshipId
Payments,RetailReconcilePaymentEntity,RetailReconcilePaymentEntity.1.1.cdm.json/RetailReconcilePaymentEntity,,payments,retail_reconcile_payment_entity,Relationship_LanguageTableRelationshipId
Payments,RetailHardwareProfileEntity,RetailHardwareProfileEntity.1.1.cdm.json/RetailHardwareProfileEntity,,payments,retail_hardware_profile_entity,Relationship_Printer2ReceiptProfileRelationshipId
Payments,RetailTenderTypeEntity,RetailTenderTypeEntity.1.1.cdm.json/RetailTenderTypeEntity,,payments,retail_tender_type_entity,
Payments,RetailFiscalIntegrationConnectorTableEntity,RetailFiscalIntegrationConnectorTableEntity.1.0.1.cdm.json/RetailFiscalIntegrationConnectorTableEntity,,payments,retail_fiscal_integration_connector_table_entity,
Payments,RetailHardwareStationEntity,RetailHardwareStationEntity.1.1.cdm.json/RetailHardwareStationEntity,,payments,retail_hardware_station_entity,
Payments,RetailHardwareProfileFiscalIntegrationTechnicalProfileLineEntity,RetailHardwareProfileFiscalIntegrationTechnicalProfileLineEntity.1.0.1.cdm.json/RetailHardwareProfileFiscalIntegrationTechnicalProfileLineEntity,,payments,retail_hardware_profile_fiscal_integration_technical_profile_line_entity,Relationship_RetailHardwareProfileRelationshipId
