cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Payroll,PayrollPremiumEarningPolicyRuleTypeEntity,PayrollPremiumEarningPolicyRuleTypeEntity.1.2.cdm.json/PayrollPremiumEarningPolicyRuleTypeEntity,,payroll,payroll_premium_earning_policy_rule_type_entity,Relationship_PolicyTypeRelationshipId
Payroll,PayrollWorkerEnrolledBenefitInquiryEntity,PayrollWorkerEnrolledBenefitInquiryEntity.1.1.1.cdm.json/PayrollWorkerEnrolledBenefitInquiryEntity,,payroll,payroll_worker_enrolled_benefit_inquiry_entity,Relationship_TitleRelationshipId
Payroll,PayrollPremiumEarningCodeActiveIntervalEntity,PayrollPremiumEarningCodeActiveIntervalEntity.1.2.cdm.json/PayrollPremiumEarningCodeActiveIntervalEntity,,payroll,payroll_premium_earning_code_active_interval_entity,Relationship_PayrollEarningCodeEntityRelationshipId
Payroll,PayrollAccrualPlanRuleEntity,PayrollAccrualPlanRuleEntity.1.2.cdm.json/PayrollAccrualPlanRuleEntity,,payroll,payroll_accrual_plan_rule_entity,BackingTable_PayrollAccrualRelationshipId
Payroll,PayrollWorkerTaxCodeParameterEntity,PayrollWorkerTaxCodeParameterEntity.1.1.1.cdm.json/PayrollWorkerTaxCodeParameterEntity,,payroll,payroll_worker_tax_code_parameter_entity,Relationship_TitleRelationshipId
Payroll,PayrollEssPayStatementLineEntity,PayrollEssPayStatementLineEntity.1.2.cdm.json/PayrollEssPayStatementLineEntity,,payroll,payroll_ess_pay_statement_line_entity,BackingTable_PayrollPayStatementRelationshipId
Payroll,PayrollPositivePayExportEntity,PayrollPositivePayExportEntity.1.1.1.cdm.json/PayrollPositivePayExportEntity,,payroll,payroll_positive_pay_export_entity,Relationship_BankChequeTableRelationshipId
Payroll,PayrollAccrualEarningCodeEntity,PayrollAccrualEarningCodeEntity.1.2.cdm.json/PayrollAccrualEarningCodeEntity,,payroll,payroll_accrual_earning_code_entity,BackingTable_PayrollAccrualRelationshipId
Payroll,PayrollDeductionArrearRecoveryEntity,PayrollDeductionArrearRecoveryEntity.1.2.cdm.json/PayrollDeductionArrearRecoveryEntity,,payroll,payroll_deduction_arrear_recovery_entity,Relationship_PayCycleRelationshipId
Payroll,PayrollWorkerEnrolledAccrualInquiryEntity,PayrollWorkerEnrolledAccrualInquiryEntity.1.2.cdm.json/PayrollWorkerEnrolledAccrualInquiryEntity,,payroll,payroll_worker_enrolled_accrual_inquiry_entity,Relationship_TitleRelationshipId
Payroll,PayrollTaxAccountingRuleEntity,PayrollTaxAccountingRuleEntity.1.2.cdm.json/PayrollTaxAccountingRuleEntity,,payroll,payroll_tax_accounting_rule_entity,Relationship_AddressCountryRegionRelationshipId
Payroll,PayrollBenefitExternalReportingEntity,PayrollBenefitExternalReportingEntity.1.1.1.cdm.json/PayrollBenefitExternalReportingEntity,,payroll,payroll_benefit_external_reporting_entity,BackingTable_LogisticsAddressCountryRegionRelationshipId
Payroll,PayrollWorkPeriodEntity,PayrollWorkPeriodEntity.1.2.cdm.json/PayrollWorkPeriodEntity,,payroll,payroll_work_period_entity,Relationship_PayrollWorkCycleRelationshipId
Payroll,PayrollPositionDetailsEntity,PayrollPositionDetailsEntity.1.1.1.cdm.json/PayrollPositionDetailsEntity,,payroll,payroll_position_details_entity,Relationship_JobRelationshipId
Payroll,PayrollPayStatementHeaderEntity,PayrollPayStatementHeaderEntity.1.2.cdm.json/PayrollPayStatementHeaderEntity,,payroll,payroll_pay_statement_header_entity,Relationship_PayCycleRelationshipId
Payroll,PayrollEarningStatementLineInquiryEntity,PayrollEarningStatementLineInquiryEntity.1.2.cdm.json/PayrollEarningStatementLineInquiryEntity,,payroll,payroll_earning_statement_line_inquiry_entity,Relationship_TitleRelationshipId
Payroll,PayrollEarningStatementHeaderEntity,PayrollEarningStatementHeaderEntity.1.2.cdm.json/PayrollEarningStatementHeaderEntity,,payroll,payroll_earning_statement_header_entity,Relationship_WorkerRelationshipId
Payroll,PayrollParametersEntity,PayrollParametersEntity.1.2.cdm.json/PayrollParametersEntity,,payroll,payroll_parameters_entity,Relationship_EcoResCategoryRelationshipId
Payroll,PayrollPayStatementBenefitLineInquiryEntity,PayrollPayStatementBenefitLineInquiryEntity.1.2.cdm.json/PayrollPayStatementBenefitLineInquiryEntity,,payroll,payroll_pay_statement_benefit_line_inquiry_entity,Relationship_AccountingDistributionTemplate_FKRelationshipId
Payroll,PayrollBenefitAccountingRuleEntity,PayrollBenefitAccountingRuleEntity.1.2.cdm.json/PayrollBenefitAccountingRuleEntity,,payroll,payroll_benefit_accounting_rule_entity,Relationship_CompanyInfoRelationshipId
Payroll,PayrollEmployerTaxRegionEntity,PayrollEmployerTaxRegionEntity.1.2.cdm.json/PayrollEmployerTaxRegionEntity,,payroll,payroll_employer_tax_region_entity,Relationship_CompanyInfo_FKRelationshipId
Payroll,PayrollPayStatementEarningLineEntity,PayrollPayStatementEarningLineEntity.1.2.cdm.json/PayrollPayStatementEarningLineEntity,,payroll,payroll_pay_statement_earning_line_entity,Relationship_TitleRelationshipId
Payroll,PayrollPositionDetailsEntity_Internal,PayrollPositionDetailsEntity_Internal.1.0.1.cdm.json/PayrollPositionDetailsEntity_Internal,,payroll,payroll_position_details_entity_internal,
Payroll,PayrollEarningStatementLineEntity,PayrollEarningStatementLineEntity.1.2.cdm.json/PayrollEarningStatementLineEntity,,payroll,payroll_earning_statement_line_entity,Relationship_AccountingDistributionTemplateRelationshipId
Payroll,PayrollPayStatementEarningLineInquiryEntity,PayrollPayStatementEarningLineInquiryEntity.1.2.cdm.json/PayrollPayStatementEarningLineInquiryEntity,,payroll,payroll_pay_statement_earning_line_inquiry_entity,Relationship_TitleRelationshipId
Payroll,PayrollEarningCodeAccountingRuleEntity,PayrollEarningCodeAccountingRuleEntity.1.2.cdm.json/PayrollEarningCodeAccountingRuleEntity,,payroll,payroll_earning_code_accounting_rule_entity,Relationship_CompanyInfoRelationshipId
Payroll,PayrollWorkerTaxCodeV2Entity,PayrollWorkerTaxCodeV2Entity.1.1.1.cdm.json/PayrollWorkerTaxCodeV2Entity,,payroll,payroll_worker_tax_code_v2_entity,Relationship_WorkerRelationshipId
Payroll,PayrollTaxGroupCodeEntity,PayrollTaxGroupCodeEntity.1.1.1.cdm.json/PayrollTaxGroupCodeEntity,,payroll,payroll_tax_group_code_entity,Relationship_AddressCountryRegionRelationshipId
Payroll,PayrollAccrualTransactionsInquiryEntity,PayrollAccrualTransactionsInquiryEntity.1.0.1.cdm.json/PayrollAccrualTransactionsInquiryEntity,,payroll,payroll_accrual_transactions_inquiry_entity,
Payroll,PayrollTaxGroupEntity,PayrollTaxGroupEntity.1.2.cdm.json/PayrollTaxGroupEntity,,payroll,payroll_tax_group_entity,
Payroll,PayrollBIWorkerEntity,PayrollBIWorkerEntity.1.0.1.cdm.json/PayrollBIWorkerEntity,,payroll,payroll_bi_worker_entity,
Payroll,PayrollDeductionArrearEntity,PayrollDeductionArrearEntity.1.2.cdm.json/PayrollDeductionArrearEntity,,payroll,payroll_deduction_arrear_entity,Relationship_PayStatement_FKRelationshipId
Payroll,PayrollWorkerAccrualAdjustmentEntity,PayrollWorkerAccrualAdjustmentEntity.1.2.cdm.json/PayrollWorkerAccrualAdjustmentEntity,,payroll,payroll_worker_accrual_adjustment_entity,Relationship_PayrollAccrualPlanRelationshipId
Payroll,PayrollFormW2BoxReportingAdjustmentEntity,PayrollFormW2BoxReportingAdjustmentEntity.1.1.1.cdm.json/PayrollFormW2BoxReportingAdjustmentEntity,,payroll,payroll_form_w2_box_reporting_adjustment_entity,Relationship_TitleRelationshipId
Payroll,PayrollUSTaxTransactionHistoryDetailEntity,PayrollUSTaxTransactionHistoryDetailEntity.1.2.cdm.json/PayrollUSTaxTransactionHistoryDetailEntity,,payroll,payroll_us_tax_transaction_history_detail_entity,Relationship_TitleRelationshipId
Payroll,PayrollTaxCodeDefaultDimensionEntity,PayrollTaxCodeDefaultDimensionEntity.1.2.cdm.json/PayrollTaxCodeDefaultDimensionEntity,,payroll,payroll_tax_code_default_dimension_entity,Relationship_AddressCountryRegionRelationshipId
Payroll,PayrollBenefitTaxRuleUSEntity,PayrollBenefitTaxRuleUSEntity.1.2.cdm.json/PayrollBenefitTaxRuleUSEntity,,payroll,payroll_benefit_tax_rule_us_entity,Relationship_PayrollTaxGroupRelationshipId
Payroll,PayrollEarningExternalReportingEntity,PayrollEarningExternalReportingEntity.1.1.1.cdm.json/PayrollEarningExternalReportingEntity,,payroll,payroll_earning_external_reporting_entity,
Payroll,StateHolidayEntity,StateHolidayEntity.1.2.cdm.json/StateHolidayEntity,,payroll,state_holiday_entity,Relationship_StateRelationshipId
Payroll,PayrollPremiumEarningCodeEntity,PayrollPremiumEarningCodeEntity.1.2.cdm.json/PayrollPremiumEarningCodeEntity,,payroll,payroll_premium_earning_code_entity,Relationship_PayrollEarningCodeEntityRelationshipId
Payroll,PayrollEssPayStatementEntity,PayrollEssPayStatementEntity.1.2.cdm.json/PayrollEssPayStatementEntity,,payroll,payroll_ess_pay_statement_entity,BackingTable_PayrollPayStatementRelationshipId
Payroll,PayrollAccrualBasisEarningCodeEntity,PayrollAccrualBasisEarningCodeEntity.1.1.1.cdm.json/PayrollAccrualBasisEarningCodeEntity,,payroll,payroll_accrual_basis_earning_code_entity,BackingTable_PayrollAccrualRelationshipId
Payroll,PayrollStatutoryWorkerEntity,PayrollStatutoryWorkerEntity.1.0.1.cdm.json/PayrollStatutoryWorkerEntity,,payroll,payroll_statutory_worker_entity,
Payroll,PayrollPayStatementAccrualBalanceEntity,PayrollPayStatementAccrualBalanceEntity.1.2.cdm.json/PayrollPayStatementAccrualBalanceEntity,,payroll,payroll_pay_statement_accrual_balance_entity,Relationship_PayrollAccrualRelationshipId
Payroll,PayrollWorkCycleEntity,PayrollWorkCycleEntity.1.2.cdm.json/PayrollWorkCycleEntity,,payroll,payroll_work_cycle_entity,
Payroll,PayrollEarningStatementImportEntity,PayrollEarningStatementImportEntity.1.2.cdm.json/PayrollEarningStatementImportEntity,,payroll,payroll_earning_statement_import_entity,Relationship_MainAccountRelationshipId
Payroll,PayrollPayStatementBenefitLineEntity,PayrollPayStatementBenefitLineEntity.1.2.cdm.json/PayrollPayStatementBenefitLineEntity,,payroll,payroll_pay_statement_benefit_line_entity,Relationship_AccountingDistributionTemplate_FKRelationshipId
Payroll,PayrollBenefitPlanDefaultDimensionEntity,PayrollBenefitPlanDefaultDimensionEntity.1.1.1.cdm.json/PayrollBenefitPlanDefaultDimensionEntity,,payroll,payroll_benefit_plan_default_dimension_entity,Relationship_MainAccountRelationshipId
Payroll,PayrollWorkerEnrolledAccrualEntity,PayrollWorkerEnrolledAccrualEntity.1.2.cdm.json/PayrollWorkerEnrolledAccrualEntity,,payroll,payroll_worker_enrolled_accrual_entity,Relationship_PayrollAccrualPlanRelationshipId
Payroll,PayrollAccrualPlanEntity,PayrollAccrualPlanEntity.1.2.cdm.json/PayrollAccrualPlanEntity,,payroll,payroll_accrual_plan_entity,BackingTable_PayrollAccrualRelationshipId
Payroll,PayrollBenefitEarningBasisEntity,PayrollBenefitEarningBasisEntity.1.0.1.cdm.json/PayrollBenefitEarningBasisEntity,,payroll,payroll_benefit_earning_basis_entity,
