cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
ProcurementAndSourcing,DeliveryDestinationEntity,DeliveryDestinationEntity.1.2.cdm.json/DeliveryDestinationEntity,,procurement_and_sourcing,delivery_destination_entity,Relationship_CompanyRelationshipId
ProcurementAndSourcing,PurchDemandConsolidationExternalCatalogItemCategoryEntity,PurchDemandConsolidationExternalCatalogItemCategoryEntity.1.2.cdm.json/PurchDemandConsolidationExternalCatalogItemCategoryEntity,,procurement_and_sourcing,purch_demand_consolidation_external_catalog_item_category_entity,Relationship_EcoResCategoryRelationshipId
ProcurementAndSourcing,PurchProcurementChargeCDSEntity,PurchProcurementChargeCDSEntity.1.2.cdm.json/PurchProcurementChargeCDSEntity,,procurement_and_sourcing,purch_procurement_charge_cds_entity,Relationship_DebitPostingMainAccountIdCombinationRelationshipId
ProcurementAndSourcing,PurchBookVATProcessParametersEntity,PurchBookVATProcessParametersEntity.1.2.cdm.json/PurchBookVATProcessParametersEntity,,procurement_and_sourcing,purch_book_vat_process_parameters_entity,Relationship_MainAccountRelationshipId
ProcurementAndSourcing,PurchPublishedRequestForQuotationLineEntity,PurchPublishedRequestForQuotationLineEntity.1.2.cdm.json/PurchPublishedRequestForQuotationLineEntity,,procurement_and_sourcing,purch_published_request_for_quotation_line_entity,Relationship_CurrencyRelationshipId
ProcurementAndSourcing,PurchaseTotalDiscountAgreementEntity,PurchaseTotalDiscountAgreementEntity.1.2.cdm.json/PurchaseTotalDiscountAgreementEntity,,procurement_and_sourcing,purchase_total_discount_agreement_entity,Relationship_AgreementHeaderExt_RURelationshipId
ProcurementAndSourcing,smmVendorContactPersonCDSEntity,smmVendorContactPersonCDSEntity.1.2.cdm.json/smmVendorContactPersonCDSEntity,,procurement_and_sourcing,smm_vendor_contact_person_cds_entity,BackingTable_ContactPersonRelationshipId
ProcurementAndSourcing,PurchRequestForQuotationScoringMethodEntity,PurchRequestForQuotationScoringMethodEntity.1.2.cdm.json/PurchRequestForQuotationScoringMethodEntity,,procurement_and_sourcing,purch_request_for_quotation_scoring_method_entity,
ProcurementAndSourcing,PurchPurchaseOrderConfirmationLineEntity,PurchPurchaseOrderConfirmationLineEntity.1.1.1.cdm.json/PurchPurchaseOrderConfirmationLineEntity,,procurement_and_sourcing,purch_purchase_order_confirmation_line_entity,Relationship_MainAccountRelationshipId
ProcurementAndSourcing,PurchPurchaseOrderCreationNonCatalogItemCategoryVendorEntity,PurchPurchaseOrderCreationNonCatalogItemCategoryVendorEntity.1.2.cdm.json/PurchPurchaseOrderCreationNonCatalogItemCategoryVendorEntity,,procurement_and_sourcing,purch_purchase_order_creation_non_catalog_item_category_vendor_entity,Relationship_CompanyInfoRelationshipId
ProcurementAndSourcing,PurchAutomaticPurchaseDocumentLineChargeEntity,PurchAutomaticPurchaseDocumentLineChargeEntity.1.2.cdm.json/PurchAutomaticPurchaseDocumentLineChargeEntity,,procurement_and_sourcing,purch_automatic_purchase_document_line_charge_entity,Relationship_CurrencyRelationshipId
ProcurementAndSourcing,PurchRequestForQuotationReplyScoringCriterionEntity,PurchRequestForQuotationReplyScoringCriterionEntity.1.2.cdm.json/PurchRequestForQuotationReplyScoringCriterionEntity,,procurement_and_sourcing,purch_request_for_quotation_reply_scoring_criterion_entity,Relationship_PurchRFQReplyTableRelationshipId
ProcurementAndSourcing,PurchPurchaseOrderCreationAndDemandConsolidationPolicyRuleEntity,PurchPurchaseOrderCreationAndDemandConsolidationPolicyRuleEntity.1.2.cdm.json/PurchPurchaseOrderCreationAndDemandConsolidationPolicyRuleEntity,,procurement_and_sourcing,purch_purchase_order_creation_and_demand_consolidation_policy_rule_entity,Relationship_PolicyRelationshipId
ProcurementAndSourcing,PurchaseRebateVendorGroupEntity,PurchaseRebateVendorGroupEntity.1.2.cdm.json/PurchaseRebateVendorGroupEntity,,procurement_and_sourcing,purchase_rebate_vendor_group_entity,Relationship_CompanyRelationshipId
ProcurementAndSourcing,VendProspectiveVendorRegistrationContactPersonPostalAddressEntity,VendProspectiveVendorRegistrationContactPersonPostalAddressEntity.1.1.1.cdm.json/VendProspectiveVendorRegistrationContactPersonPostalAddressEntity,,procurement_and_sourcing,vend_prospective_vendor_registration_contact_person_postal_address_entity,
ProcurementAndSourcing,TAMVendorRebateAgreementProductSelectionV2Entity,TAMVendorRebateAgreementProductSelectionV2Entity.1.2.cdm.json/TAMVendorRebateAgreementProductSelectionV2Entity,,procurement_and_sourcing,tam_vendor_rebate_agreement_product_selection_v2_entity,Relationship_InventDimRelationshipId
ProcurementAndSourcing,CatVendorCatalogMaintenanceRequestEntity,CatVendorCatalogMaintenanceRequestEntity.1.2.cdm.json/CatVendorCatalogMaintenanceRequestEntity,,procurement_and_sourcing,cat_vendor_catalog_maintenance_request_entity,Relationship_CatVendorCatalogRelationshipId
ProcurementAndSourcing,PurchPurchaseOrderHeaderChargeEntity,PurchPurchaseOrderHeaderChargeEntity.1.2.cdm.json/PurchPurchaseOrderHeaderChargeEntity,,procurement_and_sourcing,purch_purchase_order_header_charge_entity,Relationship_DimensionDimensionSetRelationshipId
ProcurementAndSourcing,PlSADDocumentLinePurchaseOrderEntity,PlSADDocumentLinePurchaseOrderEntity.1.1.1.cdm.json/PlSADDocumentLinePurchaseOrderEntity,,procurement_and_sourcing,pl_sad_document_line_purchase_order_entity,Relationship_MainAccountRelationshipId
ProcurementAndSourcing,PurchPublishedRequestForQuotationReplyLineSummaryEntity,PurchPublishedRequestForQuotationReplyLineSummaryEntity.1.2.cdm.json/PurchPublishedRequestForQuotationReplyLineSummaryEntity,,procurement_and_sourcing,purch_published_request_for_quotation_reply_line_summary_entity,Relationship_LanguageTableRelationshipId
ProcurementAndSourcing,PurchaseAgreementLineNoteEntity,PurchaseAgreementLineNoteEntity.1.2.cdm.json/PurchaseAgreementLineNoteEntity,,procurement_and_sourcing,purchase_agreement_line_note_entity,Relationship_ReceivingSiteRelationshipId
ProcurementAndSourcing,VendVendorReasonsEntity,VendVendorReasonsEntity.1.2.cdm.json/VendVendorReasonsEntity,,procurement_and_sourcing,vend_vendor_reasons_entity,Relationship_CompanyRelationshipId
ProcurementAndSourcing,PurchaseRequisitionLineEntity,PurchaseRequisitionLineEntity.1.2.cdm.json/PurchaseRequisitionLineEntity,,procurement_and_sourcing,purchase_requisition_line_entity,BackingTable_PurchReqTableRelationshipId
ProcurementAndSourcing,PurchProcurementDocumentDefaultsEntity,PurchProcurementDocumentDefaultsEntity.1.2.cdm.json/PurchProcurementDocumentDefaultsEntity,,procurement_and_sourcing,purch_procurement_document_defaults_entity,Relationship_DefaultPurchPoolRelationshipId
ProcurementAndSourcing,PurchPurchaseRequisitionInformalRequestForQuotationConditionEntity,PurchPurchaseRequisitionInformalRequestForQuotationConditionEntity.1.2.cdm.json/PurchPurchaseRequisitionInformalRequestForQuotationConditionEntity,,procurement_and_sourcing,purch_purchase_requisition_informal_request_for_quotation_condition_entity,Relationship_CurrencyRelationshipId
ProcurementAndSourcing,CatVendorProductCandidateDefaultOrderSettingsEntity,CatVendorProductCandidateDefaultOrderSettingsEntity.1.2.cdm.json/CatVendorProductCandidateDefaultOrderSettingsEntity,,procurement_and_sourcing,cat_vendor_product_candidate_default_order_settings_entity,Relationship_CatVendorCatalogMaintenanceRequestRelationshipId
ProcurementAndSourcing,PurchPurchaseOrderCreationNonCatalogItemCategoryEntity,PurchPurchaseOrderCreationNonCatalogItemCategoryEntity.1.2.cdm.json/PurchPurchaseOrderCreationNonCatalogItemCategoryEntity,,procurement_and_sourcing,purch_purchase_order_creation_non_catalog_item_category_entity,Relationship_EcoResCategoryRelationshipId
ProcurementAndSourcing,VendVendorV2Entity,VendVendorV2Entity.1.2.cdm.json/VendVendorV2Entity,,procurement_and_sourcing,vend_vendor_v2_entity,Relationship_DefaultDimensionDimensionSetRelationshipId
ProcurementAndSourcing,PurchPurchaseRequisitionWorkerOperatingUnitAuthorizationEntity,PurchPurchaseRequisitionWorkerOperatingUnitAuthorizationEntity.1.2.cdm.json/PurchPurchaseRequisitionWorkerOperatingUnitAuthorizationEntity,,procurement_and_sourcing,purch_purchase_requisition_worker_operating_unit_authorization_entity,Relationship_OmOperatingUnitRelationshipId
ProcurementAndSourcing,NGPCodeEntity,NGPCodeEntity.1.2.cdm.json/NGPCodeEntity,,procurement_and_sourcing,ngp_code_entity,Relationship_CompanyRelationshipId
