cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
ProductInformationManagement,EcoResProductAttributeGroupAttributeAssignmentEntity,EcoResProductAttributeGroupAttributeAssignmentEntity.1.2.cdm.json/EcoResProductAttributeGroupAttributeAssignmentEntity,,product_information_management,eco_res_product_attribute_group_attribute_assignment_entity,Relationship_EcoResAttributeRelationshipId
ProductInformationManagement,EcoResDocumentAttachmentEntity,EcoResDocumentAttachmentEntity.1.2.cdm.json/EcoResDocumentAttachmentEntity,,product_information_management,eco_res_document_attachment_entity,Relationship_DocuTypeRelationshipId
ProductInformationManagement,BOMBillOfMaterialsVersionV3Entity,BOMBillOfMaterialsVersionV3Entity.1.1.1.cdm.json/BOMBillOfMaterialsVersionV3Entity,,product_information_management,bom_bill_of_materials_version_v3_entity,Relationship_ApprovingWorkerRelationshipId
ProductInformationManagement,EcoResEveryProductEntity,EcoResEveryProductEntity.1.2.cdm.json/EcoResEveryProductEntity,,product_information_management,eco_res_every_product_entity,
ProductInformationManagement,EcoResProductMasterVersionTranslationEntity,EcoResProductMasterVersionTranslationEntity.1.2.cdm.json/EcoResProductMasterVersionTranslationEntity,,product_information_management,eco_res_product_master_version_translation_entity,Relationship_ProductVersionRelationshipId
ProductInformationManagement,EcoResProductSizeGroupEntity,EcoResProductSizeGroupEntity.1.0.1.cdm.json/EcoResProductSizeGroupEntity,,product_information_management,eco_res_product_size_group_entity,
ProductInformationManagement,EcoResProductConfigurationEntity,EcoResProductConfigurationEntity.1.1.1.cdm.json/EcoResProductConfigurationEntity,,product_information_management,eco_res_product_configuration_entity,BackingTable_EcoResConfigurationRelationshipId
ProductInformationManagement,EcoResProductNumberIdentifiedReleasedProductVariantExternalCodeEntity,EcoResProductNumberIdentifiedReleasedProductVariantExternalCodeEntity.1.2.cdm.json/EcoResProductNumberIdentifiedReleasedProductVariantExternalCodeEntity,,product_information_management,eco_res_product_number_identified_released_product_variant_external_code_entity,Relationship_ProductVariantRelationshipId
ProductInformationManagement,EcoResProductAttributeTranslationEntity,EcoResProductAttributeTranslationEntity.1.2.cdm.json/EcoResProductAttributeTranslationEntity,,product_information_management,eco_res_product_attribute_translation_entity,BackingTable_EcoResAttributeRelationshipId
ProductInformationManagement,EcoResProductCategoryHierarchyEntity,EcoResProductCategoryHierarchyEntity.1.2.cdm.json/EcoResProductCategoryHierarchyEntity,,product_information_management,eco_res_product_category_hierarchy_entity,BackingTable_EcoResCategoryHierarchyRelationshipId
ProductInformationManagement,EcoResProductDimensionGroupEntity,EcoResProductDimensionGroupEntity.1.2.cdm.json/EcoResProductDimensionGroupEntity,,product_information_management,eco_res_product_dimension_group_entity,
ProductInformationManagement,EcoResStorageDimensionGroupEntity,EcoResStorageDimensionGroupEntity.1.2.cdm.json/EcoResStorageDimensionGroupEntity,,product_information_management,eco_res_storage_dimension_group_entity,
ProductInformationManagement,EcoResProductSizeGroupLineEntity,EcoResProductSizeGroupLineEntity.1.1.1.cdm.json/EcoResProductSizeGroupLineEntity,,product_information_management,eco_res_product_size_group_line_entity,BackingTable_EcoResSizeRelationshipId
ProductInformationManagement,PmfFormulaSubstitutionGroupEntity,PmfFormulaSubstitutionGroupEntity.1.2.cdm.json/PmfFormulaSubstitutionGroupEntity,,product_information_management,pmf_formula_substitution_group_entity,Relationship_CompanyRelationshipId
ProductInformationManagement,EcoResProductEntityAttributeValueEntity,EcoResProductEntityAttributeValueEntity.1.0.1.cdm.json/EcoResProductEntityAttributeValueEntity,,product_information_management,eco_res_product_entity_attribute_value_entity,
ProductInformationManagement,EcoResProductStyleGroupEntity,EcoResProductStyleGroupEntity.1.0.1.cdm.json/EcoResProductStyleGroupEntity,,product_information_management,eco_res_product_style_group_entity,
ProductInformationManagement,EcoResProductNumberIdentifiedProductVariantEntity,EcoResProductNumberIdentifiedProductVariantEntity.1.2.cdm.json/EcoResProductNumberIdentifiedProductVariantEntity,,product_information_management,eco_res_product_number_identified_product_variant_entity,Relationship_EcoResProductMasterRelationshipId
ProductInformationManagement,EcoResProductGlobalTradeItemNumberAssignmentV2Entity,EcoResProductGlobalTradeItemNumberAssignmentV2Entity.1.2.cdm.json/EcoResProductGlobalTradeItemNumberAssignmentV2Entity,,product_information_management,eco_res_product_global_trade_item_number_assignment_v2_entity,Relationship_InventDimRelationshipId
ProductInformationManagement,PCProductConfigurationModelVersionEntity,PCProductConfigurationModelVersionEntity.1.1.1.cdm.json/PCProductConfigurationModelVersionEntity,,product_information_management,pc_product_configuration_model_version_entity,Relationship_ProductConfigurationModelRelationshipId
ProductInformationManagement,BOMBillOfMaterialsVersionODataEntity,BOMBillOfMaterialsVersionODataEntity.1.2.cdm.json/BOMBillOfMaterialsVersionODataEntity,,product_information_management,bom_bill_of_materials_version_o_data_entity,Relationship_ApprovingWorkerRelationshipId
