cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
ProductionControl,JmgJobCardDeviceConfigurationUserAssignmentEntity,JmgJobCardDeviceConfigurationUserAssignmentEntity.1.2.cdm.json/JmgJobCardDeviceConfigurationUserAssignmentEntity,,production_control,jmg_job_card_device_configuration_user_assignment_entity,Relationship_ConfigRelationshipId
ProductionControl,JmgTimeAndAttendanceTimeRegistrationWorkerEntity,JmgTimeAndAttendanceTimeRegistrationWorkerEntity.1.2.cdm.json/JmgTimeAndAttendanceTimeRegistrationWorkerEntity,,production_control,jmg_time_and_attendance_time_registration_worker_entity,Relationship_TitleRelationshipId
ProductionControl,ProdProductionUnitEntity,ProdProductionUnitEntity.1.2.cdm.json/ProdProductionUnitEntity,,production_control,prod_production_unit_entity,Relationship_InventSiteRelationshipId
ProductionControl,WorkPeriodTemplateLineEntity,WorkPeriodTemplateLineEntity.1.2.cdm.json/WorkPeriodTemplateLineEntity,,production_control,work_period_template_line_entity,Relationship_WorkPeriodTemplateRelationshipId
ProductionControl,RouteVersionODataV2Entity,RouteVersionODataV2Entity.1.2.cdm.json/RouteVersionODataV2Entity,,production_control,route_version_o_data_v2_entity,Relationship_TitleRelationshipId
ProductionControl,JmgElectronicTimecardActivityRegistrationLineEntity,JmgElectronicTimecardActivityRegistrationLineEntity.1.2.cdm.json/JmgElectronicTimecardActivityRegistrationLineEntity,,production_control,jmg_electronic_timecard_activity_registration_line_entity,BackingTable_JmgTimecardTableRelationshipId
ProductionControl,JmgIndirectTimeAndAttendanceActivityCategoryEntity,JmgIndirectTimeAndAttendanceActivityCategoryEntity.1.2.cdm.json/JmgIndirectTimeAndAttendanceActivityCategoryEntity,,production_control,jmg_indirect_time_and_attendance_activity_category_entity,Relationship_CompanyRelationshipId
ProductionControl,WorkPeriodTemplateEntity,WorkPeriodTemplateEntity.1.2.cdm.json/WorkPeriodTemplateEntity,,production_control,work_period_template_entity,Relationship_CompanyInfoRelationshipId
ProductionControl,JmgTimeAndAttendanceActivityRegistrationEntity,JmgTimeAndAttendanceActivityRegistrationEntity.1.2.cdm.json/JmgTimeAndAttendanceActivityRegistrationEntity,,production_control,jmg_time_and_attendance_activity_registration_entity,Relationship_MainAccountRelationshipId
ProductionControl,JmgManufacturingExecutionProductionOrderDefaultsEntity,JmgManufacturingExecutionProductionOrderDefaultsEntity.1.2.cdm.json/JmgManufacturingExecutionProductionOrderDefaultsEntity,,production_control,jmg_manufacturing_execution_production_order_defaults_entity,Relationship_CompanyRelationshipId
ProductionControl,WrkCtrSiteSpecificOperationsResourceSchedulingParametersEntity,WrkCtrSiteSpecificOperationsResourceSchedulingParametersEntity.1.2.cdm.json/WrkCtrSiteSpecificOperationsResourceSchedulingParametersEntity,,production_control,wrk_ctr_site_specific_operations_resource_scheduling_parameters_entity,Relationship_InventDimRelationshipId
