cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
RAsset,RAssetLendingEntity,RAssetLendingEntity.1.2.cdm.json/RAssetLendingEntity,,r_asset,r_asset_lending_entity,Relationship_RAssetLocationRelationshipId
RAsset,RAssetTaxAllowanceEntity,RAssetTaxAllowanceEntity.1.2.cdm.json/RAssetTaxAllowanceEntity,,r_asset,r_asset_tax_allowance_entity,Relationship_CompanyRelationshipId
RAsset,DimAttributeRAssetTable_RUEntity,DimAttributeRAssetTable_RUEntity.1.2.cdm.json/DimAttributeRAssetTable_RUEntity,,r_asset,dim_attribute_r_asset_table_ru_entity,Relationship_AssetActivityCodeRelationshipId
RAsset,RAssetSayValueEntity,RAssetSayValueEntity.1.2.cdm.json/RAssetSayValueEntity,,r_asset,r_asset_say_value_entity,Relationship_RAssetSayTableRelationshipId
RAsset,RAssetLocationEntity,RAssetLocationEntity.1.2.cdm.json/RAssetLocationEntity,,r_asset,r_asset_location_entity,Relationship_Branches_RURelationshipId
RAsset,RAssetLedgerAccountsEntity,RAssetLedgerAccountsEntity.1.1.1.cdm.json/RAssetLedgerAccountsEntity,,r_asset,r_asset_ledger_accounts_entity,Relationship_MainAcountRelationshipId
RAsset,RAssetLedgerEntity,RAssetLedgerEntity.1.2.cdm.json/RAssetLedgerEntity,,r_asset,r_asset_ledger_entity,Relationship_CompanyRelationshipId
RAsset,RAssetTableEntity,RAssetTableEntity.1.2.cdm.json/RAssetTableEntity,,r_asset,r_asset_table_entity,Relationship_CustInvoiceJourRelationshipId
RAsset,RAssetGroupEntity,RAssetGroupEntity.1.2.cdm.json/RAssetGroupEntity,,r_asset,r_asset_group_entity,Relationship_RAssetDeprProfileRelationshipId
RAsset,RAssetInventIssueQuotaTypesEntity,RAssetInventIssueQuotaTypesEntity.1.2.cdm.json/RAssetInventIssueQuotaTypesEntity,,r_asset,r_asset_invent_issue_quota_types_entity,Relationship_CompanyRelationshipId
RAsset,RAssetUseEntity,RAssetUseEntity.1.2.cdm.json/RAssetUseEntity,,r_asset,r_asset_use_entity,Relationship_RAssetTableRelationshipId
RAsset,RAssetDeprProfileEntity,RAssetDeprProfileEntity.1.2.cdm.json/RAssetDeprProfileEntity,,r_asset,r_asset_depr_profile_entity,Relationship_CompanyRelationshipId
RAsset,RAssetInventIssueQuotasEntity,RAssetInventIssueQuotasEntity.1.2.cdm.json/RAssetInventIssueQuotasEntity,,r_asset,r_asset_invent_issue_quotas_entity,Relationship_InventItemGroupRelationshipId
RAsset,RAssetMainGroupMemberEntity,RAssetMainGroupMemberEntity.1.2.cdm.json/RAssetMainGroupMemberEntity,,r_asset,r_asset_main_group_member_entity,Relationship_RAssetGroupRelationshipId
RAsset,RAssetLifeHistEntity,RAssetLifeHistEntity.1.2.cdm.json/RAssetLifeHistEntity,,r_asset,r_asset_life_hist_entity,Relationship_RAssetDeprProfileRelationshipId
RAsset,RAssetJournalHeaderEntity,RAssetJournalHeaderEntity.1.2.cdm.json/RAssetJournalHeaderEntity,,r_asset,r_asset_journal_header_entity,BackingTable_TaxVATNumTableRelationshipId
RAsset,RAssetStandardsEntity,RAssetStandardsEntity.1.2.cdm.json/RAssetStandardsEntity,,r_asset,r_asset_standards_entity,Relationship_MainAccountRelationshipId
RAsset,RAssetMoveHistEntity,RAssetMoveHistEntity.1.2.cdm.json/RAssetMoveHistEntity,,r_asset,r_asset_move_hist_entity,Relationship_NewEmployeeRelationshipId
RAsset,RAssetMainGroupEntity,RAssetMainGroupEntity.1.2.cdm.json/RAssetMainGroupEntity,,r_asset,r_asset_main_group_entity,Relationship_NumberSequenceTableAutoRelationshipId
RAsset,RAssetSayTableEntity,RAssetSayTableEntity.1.2.cdm.json/RAssetSayTableEntity,,r_asset,r_asset_say_table_entity,Relationship_RAssetGroupRelationshipId
RAsset,RAssetStandardTableEntity,RAssetStandardTableEntity.1.1.1.cdm.json/RAssetStandardTableEntity,,r_asset,r_asset_standard_table_entity,Relationship_CurrencyRelationshipId
RAsset,RAssetJournalLineEntity,RAssetJournalLineEntity.1.2.cdm.json/RAssetJournalLineEntity,,r_asset,r_asset_journal_line_entity,BackingTable_TaxVATNumTableRelationshipId
