cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
RCashFlowManagement,CFMPurchAgreementPaymentOrderEntity,CFMPurchAgreementPaymentOrderEntity.1.2.cdm.json/CFMPurchAgreementPaymentOrderEntity,,r_cash_flow_management,cfm_purch_agreement_payment_order_entity,Relationship_PaymentOrderBudgetReceiptClassTable_RURelationshipId
RCashFlowManagement,CFMSalesAgreementPaymentOrderEntity,CFMSalesAgreementPaymentOrderEntity.1.2.cdm.json/CFMSalesAgreementPaymentOrderEntity,,r_cash_flow_management,cfm_sales_agreement_payment_order_entity,Relationship_PaymentOrderBudgetReceiptClassTable_RURelationshipId
RCashFlowManagement,CFMPaymentRequestTypeEntity,CFMPaymentRequestTypeEntity.1.2.cdm.json/CFMPaymentRequestTypeEntity,,r_cash_flow_management,cfm_payment_request_type_entity,Relationship_PaymentPriorityRelationshipId
RCashFlowManagement,CFMJournalNameEntity,CFMJournalNameEntity.1.2.cdm.json/CFMJournalNameEntity,,r_cash_flow_management,cfm_journal_name_entity,Relationship_UserGroupInfoRelationshipId
RCashFlowManagement,CFMJournalNamePaymAccountListEntity,CFMJournalNamePaymAccountListEntity.1.2.cdm.json/CFMJournalNamePaymAccountListEntity,,r_cash_flow_management,cfm_journal_name_paym_account_list_entity,Relationship_BankAccountTableRelationshipId
RCashFlowManagement,CFMJournalNameCashBalanceControlEntity,CFMJournalNameCashBalanceControlEntity.1.2.cdm.json/CFMJournalNameCashBalanceControlEntity,,r_cash_flow_management,cfm_journal_name_cash_balance_control_entity,Relationship_CFMJournalNameRelationshipId
RCashFlowManagement,CFMPaymentPriorityEntity,CFMPaymentPriorityEntity.1.1.1.cdm.json/CFMPaymentPriorityEntity,,r_cash_flow_management,cfm_payment_priority_entity,
RCashFlowManagement,CFMJournalNameOrgUnitListEntity,CFMJournalNameOrgUnitListEntity.1.2.cdm.json/CFMJournalNameOrgUnitListEntity,,r_cash_flow_management,cfm_journal_name_org_unit_list_entity,Relationship_CFMJournalNameRelationshipId
RCashFlowManagement,CFMJournalNameAggregationFieldEntity,CFMJournalNameAggregationFieldEntity.1.2.cdm.json/CFMJournalNameAggregationFieldEntity,,r_cash_flow_management,cfm_journal_name_aggregation_field_entity,Relationship_CFMJournalNameRelationshipId
RCashFlowManagement,CFMJournalNameSourceListEntity,CFMJournalNameSourceListEntity.1.2.cdm.json/CFMJournalNameSourceListEntity,,r_cash_flow_management,cfm_journal_name_source_list_entity,Relationship_CFMJournalNameRelationshipId
