cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
RDeferrals,DimAttributeRDeferralsTable_RUEntity,DimAttributeRDeferralsTable_RUEntity.1.2.cdm.json/DimAttributeRDeferralsTable_RUEntity,,r_deferrals,dim_attribute_r_deferrals_table_ru_entity,Relationship_RAssetStandardsRelationshipId
RDeferrals,RDeferralsLedgerEntity,RDeferralsLedgerEntity.1.1.1.cdm.json/RDeferralsLedgerEntity,,r_deferrals,r_deferrals_ledger_entity,Relationship_CompanyRelationshipId
RDeferrals,RDeferralsTableEntity,RDeferralsTableEntity.1.2.cdm.json/RDeferralsTableEntity,,r_deferrals,r_deferrals_table_entity,Relationship_RAssetStandardsRelationshipId
RDeferrals,RDeferralsCountingJournalEntity,RDeferralsCountingJournalEntity.1.2.cdm.json/RDeferralsCountingJournalEntity,,r_deferrals,r_deferrals_counting_journal_entity,Relationship_LedgerJournalNameRelationshipId
RDeferrals,RDeferralsLedgerAccountsEntity,RDeferralsLedgerAccountsEntity.1.2.cdm.json/RDeferralsLedgerAccountsEntity,,r_deferrals,r_deferrals_ledger_accounts_entity,Relationship_DeferralsLedgerDimensionRelationshipId
RDeferrals,RDeferralsProfileEntity,RDeferralsProfileEntity.1.2.cdm.json/RDeferralsProfileEntity,,r_deferrals,r_deferrals_profile_entity,Relationship_CompanyRelationshipId
RDeferrals,RDeferralsBookEntity,RDeferralsBookEntity.1.2.cdm.json/RDeferralsBookEntity,,r_deferrals,r_deferrals_book_entity,Relationship_MainAccountRelationshipId
RDeferrals,RDeferralsGroupEntity,RDeferralsGroupEntity.1.2.cdm.json/RDeferralsGroupEntity,,r_deferrals,r_deferrals_group_entity,Relationship_MainAccountRelationshipId
RDeferrals,RDeferralsFactorCalculationEntity,RDeferralsFactorCalculationEntity.1.2.cdm.json/RDeferralsFactorCalculationEntity,,r_deferrals,r_deferrals_factor_calculation_entity,Relationship_CompanyRelationshipId
RDeferrals,RDeferralsBookTableEntity,RDeferralsBookTableEntity.1.2.cdm.json/RDeferralsBookTableEntity,,r_deferrals,r_deferrals_book_table_entity,Relationship_CompanyRelationshipId
