cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
RTax25,RTax25LedgerIntervalGroupEntity,RTax25LedgerIntervalGroupEntity.1.2.cdm.json/RTax25LedgerIntervalGroupEntity,,r_tax25,r_tax25_ledger_interval_group_entity,Relationship_CompanyRelationshipId
RTax25,RTax25StdRateTransEntity,RTax25StdRateTransEntity.1.2.cdm.json/RTax25StdRateTransEntity,,r_tax25,r_tax25_std_rate_trans_entity,Relationship_RTax25StdRateTableRelationshipId
RTax25,RTax25RegisterParametersEntity,RTax25RegisterParametersEntity.1.2.cdm.json/RTax25RegisterParametersEntity,,r_tax25,r_tax25_register_parameters_entity,Relationship_LedgerDimensionRelationshipId
RTax25,RTax25RegisterTableEntity,RTax25RegisterTableEntity.1.2.cdm.json/RTax25RegisterTableEntity,,r_tax25,r_tax25_register_table_entity,Relationship_CompanyRelationshipId
RTax25,RTax25StdSeqEntity,RTax25StdSeqEntity.1.2.cdm.json/RTax25StdSeqEntity,,r_tax25,r_tax25_std_seq_entity,Relationship_DeferralsGroupRelationshipId
RTax25,RTax25LedgerIntervalEntity,RTax25LedgerIntervalEntity.1.2.cdm.json/RTax25LedgerIntervalEntity,,r_tax25,r_tax25_ledger_interval_entity,Relationship_FromMainAccountRelationshipId
RTax25,RTax25LedgerAccountGroupEntity,RTax25LedgerAccountGroupEntity.1.2.cdm.json/RTax25LedgerAccountGroupEntity,,r_tax25,r_tax25_ledger_account_group_entity,Relationship_AssessedTaxLedgerDimensionRelationshipId
RTax25,RTax25StdRateTableEntity,RTax25StdRateTableEntity.1.2.cdm.json/RTax25StdRateTableEntity,,r_tax25,r_tax25_std_rate_table_entity,Relationship_CompanyRelationshipId
RTax25,RTax25TaxTableEntity,RTax25TaxTableEntity.1.1.1.cdm.json/RTax25TaxTableEntity,,r_tax25,r_tax25_tax_table_entity,Relationship_MainAcountRelationshipId
RTax25,RTax25StdRateCritTransEntity,RTax25StdRateCritTransEntity.1.2.cdm.json/RTax25StdRateCritTransEntity,,r_tax25,r_tax25_std_rate_crit_trans_entity,Relationship_RateTransRelationshipId
RTax25,RTax25ProfitTableEntity,RTax25ProfitTableEntity.1.2.cdm.json/RTax25ProfitTableEntity,,r_tax25,r_tax25_profit_table_entity,Relationship_TaxTableRelationshipId
RTax25,RTax25StdExpressionTableEntity,RTax25StdExpressionTableEntity.1.2.cdm.json/RTax25StdExpressionTableEntity,,r_tax25,r_tax25_std_expression_table_entity,Relationship_RTax25ProfitTableRelationshipId
RTax25,RTax25TaxTableAssessedEntity,RTax25TaxTableAssessedEntity.1.2.cdm.json/RTax25TaxTableAssessedEntity,,r_tax25,r_tax25_tax_table_assessed_entity,Relationship_AllowanceDecreaseBase387RelationshipId
RTax25,RTax25StdExpressionLineEntity,RTax25StdExpressionLineEntity.1.2.cdm.json/RTax25StdExpressionLineEntity,,r_tax25,r_tax25_std_expression_line_entity,Relationship_ExpressionTableRelationshipId
RTax25,DimAttributeRTax25ProfitTable_RUEntity,DimAttributeRTax25ProfitTable_RUEntity.1.2.cdm.json/DimAttributeRTax25ProfitTable_RUEntity,,r_tax25,dim_attribute_r_tax25_profit_table_ru_entity,Relationship_TaxTableRelationshipId
RTax25,RTax25RegisterJournalTableEntity,RTax25RegisterJournalTableEntity.1.1.1.cdm.json/RTax25RegisterJournalTableEntity,,r_tax25,r_tax25_register_journal_table_entity,Relationship_CompanyRelationshipId
RTax25,RTax25DebtPeriodEntity,RTax25DebtPeriodEntity.1.2.cdm.json/RTax25DebtPeriodEntity,,r_tax25,r_tax25_debt_period_entity,Relationship_CompanyRelationshipId
RTax25,RTax25RegisterProfitEntity,RTax25RegisterProfitEntity.1.2.cdm.json/RTax25RegisterProfitEntity,,r_tax25,r_tax25_register_profit_entity,Relationship_ProfitTotalsSetupRelationshipId
