cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
RetailBankingCoreDataModel CDM manifest,Account,Account.1.0.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,retail_banking_core_data_model_cd_mmanifest,account,accountId
RetailBankingCoreDataModel CDM manifest,Contact,Contact.1.0.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",retail_banking_core_data_model_cd_mmanifest,contact,contactId
RetailBankingCoreDataModel CDM manifest,Bank,Bank.1.0.cdm.json/Bank,The bank that the branch is associated with.,retail_banking_core_data_model_cd_mmanifest,bank,bankId
RetailBankingCoreDataModel CDM manifest,Branch,Branch.1.0.cdm.json/Branch,"The branch of the main bank, when borrower applies for a loan at a branch.",retail_banking_core_data_model_cd_mmanifest,branch,branchId
RetailBankingCoreDataModel CDM manifest,Group,Group.1.0.cdm.json/Group,An association of several customers allowing e.g. the representation of households,retail_banking_core_data_model_cd_mmanifest,group,groupId
RetailBankingCoreDataModel CDM manifest,GroupMember,Groupmember.1.0.cdm.json/GroupMember,An association between a customer and a Group.,retail_banking_core_data_model_cd_mmanifest,group_member,groupMemberId
RetailBankingCoreDataModel CDM manifest,CustomerFinancialHolding,Customerfinancialholding.1.1.cdm.json/CustomerFinancialHolding,Financial holdings owned by the customer.,retail_banking_core_data_model_cd_mmanifest,customer_financial_holding,customerfinancialholdingId
RetailBankingCoreDataModel CDM manifest,FHAccount,Fh_account.1.1.cdm.json/FHAccount,A deposit account holding that allows the holder to make deposits and withdrawals through financial holding instruments. An account can be interest bearing,retail_banking_core_data_model_cd_mmanifest,fh_account,
RetailBankingCoreDataModel CDM manifest,FHLineOfCredit,Fh_creditline.1.1.cdm.json/FHLineOfCredit,A preset borrowing limit associated with a credit or charge card.,retail_banking_core_data_model_cd_mmanifest,fh_line_of_credit,
RetailBankingCoreDataModel CDM manifest,FHInvestment,Fh_investment.1.1.cdm.json/FHInvestment,A holding representing a portfolio of securities or other investible assets.,retail_banking_core_data_model_cd_mmanifest,fh_investment,
RetailBankingCoreDataModel CDM manifest,FHLoan,Fh_loan.1.1.cdm.json/FHLoan,Loans held by the customer with the financial institution.,retail_banking_core_data_model_cd_mmanifest,fh_loan,
RetailBankingCoreDataModel CDM manifest,FHSaving,Fh_saving.1.1.cdm.json/FHSaving,Savings accounts held by the customer at the financial institution.,retail_banking_core_data_model_cd_mmanifest,fh_saving,
RetailBankingCoreDataModel CDM manifest,FICard,Fi_card.1.1.cdm.json/FICard,"A payment card issued by a bank to an account holder enabling the account holder to make payments or purchases, paying back the balance to the issuing bank, plus interest.",retail_banking_core_data_model_cd_mmanifest,fi_card,
RetailBankingCoreDataModel CDM manifest,FIDirectDebit,Fi_directdebit.1.1.cdm.json/FIDirectDebit,An automated payment system whereby an account holder authorizes a creditor to debit the customer's bank account at regular intervals.,retail_banking_core_data_model_cd_mmanifest,fi_direct_debit,
RetailBankingCoreDataModel CDM manifest,FIOverdraft,Fi_overdraft.1.1.cdm.json/FIOverdraft,An extension of credit associated with a checking account allowing the account holder to continue withdrawing funds when an account reaches zero.,retail_banking_core_data_model_cd_mmanifest,fi_overdraft,
RetailBankingCoreDataModel CDM manifest,FIStandingOrder,Fi_standingorder.1.1.cdm.json/FIStandingOrder,An instruction order from an account holder for a set amount of money to be removed from an account at regular intervals and paid to or transferred to another account.,retail_banking_core_data_model_cd_mmanifest,fi_standing_order,
RetailBankingCoreDataModel CDM manifest,FinancialHolding,Financialholding.1.1.cdm.json/FinancialHolding,"Accounts, loans, investments, credit lines and savings accounts held by a customer.",retail_banking_core_data_model_cd_mmanifest,financial_holding,financialholdingId
RetailBankingCoreDataModel CDM manifest,FinancialHoldingInstrument,Financialholdinginstrument.1.1.cdm.json/FinancialHoldingInstrument,Financial tools associated with financial holdings; a monetary contract between parties which has intrinsic monetary value or transfers value. Provides an efficient flow and transfer of capital.,retail_banking_core_data_model_cd_mmanifest,financial_holding_instrument,financialholdinginstrumentId
RetailBankingCoreDataModel CDM manifest,GroupFinancialHolding,Groupfinancialholding.1.1.cdm.json/GroupFinancialHolding,"Financial holdings associated with a Group, to be included in the group's total assets and liabilities.",retail_banking_core_data_model_cd_mmanifest,group_financial_holding,groupFinancialHoldingId
RetailBankingCoreDataModel CDM manifest,LifeEvent,Lifemoment.1.1.cdm.json/LifeEvent,"Significant milestones in a customer's personal life which can impact their financial situation, such as attending college, marriage, having a child, retirement, etc.",retail_banking_core_data_model_cd_mmanifest,life_event,
RetailBankingCoreDataModel CDM manifest,Relationship,Relationship.1.1.cdm.json/Relationship,"Denotes an association between one contact to another (not as part of the larger group) where there is not necessarily a direct association of finances. For example, a spouse, lawyer, child or grandparent.",retail_banking_core_data_model_cd_mmanifest,relationship,relationshipId
