cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
SOAClienteling,BusinessUnit,BusinessUnit.1.0.cdm.json/BusinessUnit,"Business, division, or department in the Microsoft Dynamics 365 database.",soa_clienteling,business_unit,businessUnitId
SOAClienteling,Contact,Contact.1.0.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",soa_clienteling,contact,contactId
SOAClienteling,CustomerDerivedBrandInsight,CustomerDerivedBrandInsight.1.0.cdm.json/CustomerDerivedBrandInsight,"Entity to capture the Insights of Customer Orders, based on Product Brand",soa_clienteling,customer_derived_brand_insight,customerDerivedBrandInsightId
SOAClienteling,CustomerDerivedCategoryInsight,CustomerDerivedCategoryInsight.1.0.cdm.json/CustomerDerivedCategoryInsight,"Entity to capture the Insights of Customer Orders, based on Product Category",soa_clienteling,customer_derived_category_insight,customerDerivedCategoryInsightId
SOAClienteling,CustomerDerivedOrderInsight,CustomerDerivedOrderInsight.1.0.cdm.json/CustomerDerivedOrderInsight,Entity to capture the Insights of Customer Orders,soa_clienteling,customer_derived_order_insight,customerDerivedOrderInsightId
SOAClienteling,LanguageOfPreference,LanguageOfPreference.1.0.cdm.json/LanguageOfPreference,,soa_clienteling,language_of_preference,languageOfPreferenceId
SOAClienteling,LoyaltyAccount,LoyaltyAccount.1.0.cdm.json/LoyaltyAccount,Loyalty account details of user,soa_clienteling,loyalty_account,loyaltyAccountId
SOAClienteling,LoyaltyAccountCreditHistory,LoyaltyAccountCreditHistory.1.0.cdm.json/LoyaltyAccountCreditHistory,Credit transaction history for loyalty account. Any debits are reflected by deactivating existing credits and creating new adjusted credits,soa_clienteling,loyalty_account_credit_history,loyaltyAccountCreditHistoryId
SOAClienteling,LoyaltyProgram,LoyaltyProgram.1.0.cdm.json/LoyaltyProgram,Definition of loyalty program and associated tiers,soa_clienteling,loyalty_program,loyaltyProgramId
SOAClienteling,RetailAppointment,RetailAppointment.1.0.cdm.json/RetailAppointment,Stores appointment information between Dynamics user and their customer,soa_clienteling,retail_appointment,activityId
SOAClienteling,RetailAppointmentType,RetailAppointmentType.1.0.cdm.json/RetailAppointmentType,Appointment definition including description and duration,soa_clienteling,retail_appointment_type,retailAppointmentTypeId
SOAClienteling,RewardCreditHistory,RewardCreditHistory.1.0.cdm.json/RewardCreditHistory,"Stores currency credit done to an account in the name of rewards, gifts or any other means. Any debit from the balance is done by deactivating existing credit rows and creating new credit entry.",soa_clienteling,reward_credit_history,rewardCreditHistoryId
SOAClienteling,OrderProduct,OrderProduct.1.0.cdm.json/OrderProduct,Line item in a sales order.,soa_clienteling,order_product,salesOrderDetailId
SOAClienteling,User,User.1.0.cdm.json/User,Person with access to the Microsoft CRM system and who owns objects in the Microsoft CRM database.,soa_clienteling,user,systemUserId
SOAClienteling,Team,Team.1.0.cdm.json/Team,Collection of system users that routinely collaborate. Teams can be used to simplify record sharing and provide team members with common access to organization data when team members belong to different Business Units.,soa_clienteling,team,teamId
