cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
ServiceManagement,SMAServiceAgreementTemplateGroupEntity,SMAServiceAgreementTemplateGroupEntity.1.2.cdm.json/SMAServiceAgreementTemplateGroupEntity,,service_management,sma_service_agreement_template_group_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceOrderLineEntity,SMAServiceOrderLineEntity.1.2.cdm.json/SMAServiceOrderLineEntity,,service_management,sma_service_order_line_entity,BackingTable_MainAccountRelationshipId
ServiceManagement,SMAServiceManagementParametersEntity,SMAServiceManagementParametersEntity.1.2.cdm.json/SMAServiceManagementParametersEntity,,service_management,sma_service_management_parameters_entity,Relationship_DefaultProjectGroupRelationshipId
ServiceManagement,SMAServiceAgreementHeaderEntity,SMAServiceAgreementHeaderEntity.1.2.cdm.json/SMAServiceAgreementHeaderEntity,,service_management,sma_service_agreement_header_entity,Relationship_PreferredTechnicianWorkerRelationshipId
ServiceManagement,SMAServiceObjectEntity,SMAServiceObjectEntity.1.2.cdm.json/SMAServiceObjectEntity,,service_management,sma_service_object_entity,Relationship_InventDimRelationshipId
ServiceManagement,SMAServiceSubscriptionGroupEntity,SMAServiceSubscriptionGroupEntity.1.2.cdm.json/SMAServiceSubscriptionGroupEntity,,service_management,sma_service_subscription_group_entity,Relationship_NumberSequenceRelationshipId
ServiceManagement,SMAServiceRepairSymptomAreaEntity,SMAServiceRepairSymptomAreaEntity.1.2.cdm.json/SMAServiceRepairSymptomAreaEntity,,service_management,sma_service_repair_symptom_area_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceOrderStageEntity,SMAServiceOrderStageEntity.1.2.cdm.json/SMAServiceOrderStageEntity,,service_management,sma_service_order_stage_entity,Relationship_ServiceOrderTableRelationshipId
ServiceManagement,SMAServiceRepairDiagnosisAreaEntity,SMAServiceRepairDiagnosisAreaEntity.1.2.cdm.json/SMAServiceRepairDiagnosisAreaEntity,,service_management,sma_service_repair_diagnosis_area_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceRepairConditionEntity,SMAServiceRepairConditionEntity.1.2.cdm.json/SMAServiceRepairConditionEntity,,service_management,sma_service_repair_condition_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceIntervalEntity,SMAServiceIntervalEntity.1.2.cdm.json/SMAServiceIntervalEntity,,service_management,sma_service_interval_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceSubscriptionParametersEntity,SMAServiceSubscriptionParametersEntity.1.1.1.cdm.json/SMAServiceSubscriptionParametersEntity,,service_management,sma_service_subscription_parameters_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceAgreementLineEntity,SMAServiceAgreementLineEntity.1.2.cdm.json/SMAServiceAgreementLineEntity,,service_management,sma_service_agreement_line_entity,Relationship_TitleRelationshipId
ServiceManagement,SMAServiceRepairResolutionEntity,SMAServiceRepairResolutionEntity.1.2.cdm.json/SMAServiceRepairResolutionEntity,,service_management,sma_service_repair_resolution_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceLevelAgreementEntity,SMAServiceLevelAgreementEntity.1.2.cdm.json/SMAServiceLevelAgreementEntity,,service_management,sma_service_level_agreement_entity,Relationship_WorkCalendarTableRelationshipId
ServiceManagement,SMAServiceRepairStageEntity,SMAServiceRepairStageEntity.1.2.cdm.json/SMAServiceRepairStageEntity,,service_management,sma_service_repair_stage_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceObjectGroupEntity,SMAServiceObjectGroupEntity.1.1.1.cdm.json/SMAServiceObjectGroupEntity,,service_management,sma_service_object_group_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceOrderHeaderEntity,SMAServiceOrderHeaderEntity.1.2.cdm.json/SMAServiceOrderHeaderEntity,,service_management,sma_service_order_header_entity,Relationship_ServiceCustomerRelationshipId
ServiceManagement,SMAServiceTimeWindowEntity,SMAServiceTimeWindowEntity.1.2.cdm.json/SMAServiceTimeWindowEntity,,service_management,sma_service_time_window_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceBillOfMaterialTemplateEntity,SMAServiceBillOfMaterialTemplateEntity.1.2.cdm.json/SMAServiceBillOfMaterialTemplateEntity,,service_management,sma_service_bill_of_material_template_entity,Relationship_BOMTableRelationshipId
ServiceManagement,SMAServiceSubscriptionSalesPriceEntity,SMAServiceSubscriptionSalesPriceEntity.1.2.cdm.json/SMAServiceSubscriptionSalesPriceEntity,,service_management,sma_service_subscription_sales_price_entity,Relationship_CurrencyRelationshipId
ServiceManagement,SMAServiceDispatchTeamEntity,SMAServiceDispatchTeamEntity.1.2.cdm.json/SMAServiceDispatchTeamEntity,,service_management,sma_service_dispatch_team_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceTaskEntity,SMAServiceTaskEntity.1.2.cdm.json/SMAServiceTaskEntity,,service_management,sma_service_task_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceStageReasonCodeEntity,SMAServiceStageReasonCodeEntity.1.2.cdm.json/SMAServiceStageReasonCodeEntity,,service_management,sma_service_stage_reason_code_entity,Relationship_CompanyRelationshipId
ServiceManagement,SMAServiceAgreementGroupEntity,SMAServiceAgreementGroupEntity.1.2.cdm.json/SMAServiceAgreementGroupEntity,,service_management,sma_service_agreement_group_entity,Relationship_ServiceLevelAgreementRelationshipId
