cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
SystemAdministration,BatchJobEntity,BatchJobEntity.1.2.cdm.json/BatchJobEntity,,system_administration,batch_job_entity,Relationship_BatchJobActivePeriodRelationshipId
SystemAdministration,DocuParametersEntity,DocuParametersEntity.1.2.cdm.json/DocuParametersEntity,,system_administration,docu_parameters_entity,Relationship_CompanyRelationshipId
SystemAdministration,SystemSecuritySubRoleEntity,SystemSecuritySubRoleEntity.1.0.1.cdm.json/SystemSecuritySubRoleEntity,,system_administration,system_security_sub_role_entity,
SystemAdministration,BatchServerScheduleEntity,BatchServerScheduleEntity.1.2.cdm.json/BatchServerScheduleEntity,,system_administration,batch_server_schedule_entity,Relationship_SysServerConfigRelationshipId
SystemAdministration,PowerBIFormControlBindingEntity,PowerBIFormControlBindingEntity.1.2.cdm.json/PowerBIFormControlBindingEntity,,system_administration,power_bi_form_control_binding_entity,
SystemAdministration,DMFEntityExecutionParametersEntity,DMFEntityExecutionParametersEntity.1.0.1.cdm.json/DMFEntityExecutionParametersEntity,,system_administration,dmf_entity_execution_parameters_entity,
SystemAdministration,DocumentRoutingJobEntity,DocumentRoutingJobEntity.1.1.1.cdm.json/DocumentRoutingJobEntity,,system_administration,document_routing_job_entity,
SystemAdministration,BatchJobHistoryEntity,BatchJobHistoryEntity.1.2.cdm.json/BatchJobHistoryEntity,,system_administration,batch_job_history_entity,Relationship_BatchJobRelationRelationshipId
SystemAdministration,SystemSecurityDutyCustomizationsEntity,SystemSecurityDutyCustomizationsEntity.1.0.1.cdm.json/SystemSecurityDutyCustomizationsEntity,,system_administration,system_security_duty_customizations_entity,
SystemAdministration,DataManagementTemplateEntity,DataManagementTemplateEntity.1.0.1.cdm.json/DataManagementTemplateEntity,,system_administration,data_management_template_entity,
SystemAdministration,SystemSecurityRoleCustomizationsEntity,SystemSecurityRoleCustomizationsEntity.1.0.1.cdm.json/SystemSecurityRoleCustomizationsEntity,,system_administration,system_security_role_customizations_entity,
SystemAdministration,DataManagementDefinitionGroupEntity,DataManagementDefinitionGroupEntity.1.0.1.cdm.json/DataManagementDefinitionGroupEntity,,system_administration,data_management_definition_group_entity,
SystemAdministration,SystemSecurityRoleEntity,SystemSecurityRoleEntity.1.0.1.cdm.json/SystemSecurityRoleEntity,,system_administration,system_security_role_entity,
