cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Tax,TaxIntervatConfigurationEntity,TaxIntervatConfigurationEntity.1.2.cdm.json/TaxIntervatConfigurationEntity,,tax,tax_intervat_configuration_entity,Relationship_CompanyRelationshipId
Tax,TaxCustomsBillOfEntryNumberEntity,TaxCustomsBillOfEntryNumberEntity.1.2.cdm.json/TaxCustomsBillOfEntryNumberEntity,,tax,tax_customs_bill_of_entry_number_entity,Relationship_CompanyRelationshipId
Tax,TaxCodeExternalCodeClassEntity,TaxCodeExternalCodeClassEntity.1.2.cdm.json/TaxCodeExternalCodeClassEntity,,tax,tax_code_external_code_class_entity,Relationship_AgreementClassificationRelationshipId
Tax,TaxPeriodHeadEntity,TaxPeriodHeadEntity.1.2.cdm.json/TaxPeriodHeadEntity,,tax,tax_period_head_entity,Relationship_PaymTermRelationshipId
Tax,TaxWithholdingGroupEntity,TaxWithholdingGroupEntity.1.2.cdm.json/TaxWithholdingGroupEntity,,tax,tax_withholding_group_entity,Relationship_CompanyRelationshipId
Tax,TaxRegistrationOnVendorEntity,TaxRegistrationOnVendorEntity.1.1.1.cdm.json/TaxRegistrationOnVendorEntity,,tax,tax_registration_on_vendor_entity,BackingTable_TaxRegistrationRelationshipId
Tax,TaxReportPeriodEntity,TaxReportPeriodEntity.1.2.cdm.json/TaxReportPeriodEntity,,tax,tax_report_period_entity,Relationship_TaxPeriodHeadRelationshipId
Tax,TaxCustomsShippingBillNumberEntity,TaxCustomsShippingBillNumberEntity.1.2.cdm.json/TaxCustomsShippingBillNumberEntity,,tax,tax_customs_shipping_bill_number_entity,Relationship_CompanyRelationshipId
Tax,TaxReportSetOffHierarchySetupEntity,TaxReportSetOffHierarchySetupEntity.1.2.cdm.json/TaxReportSetOffHierarchySetupEntity,,tax,tax_report_set_off_hierarchy_setup_entity,Relationship_TaxReportHierarchyVersion_INRelationshipId
Tax,TaxWithholdCertificateEntity,TaxWithholdCertificateEntity.1.2.cdm.json/TaxWithholdCertificateEntity,,tax,tax_withhold_certificate_entity,Relationship_LedgerDimensionRelationshipId
Tax,FBFiscalDocumentAdjustmentCodeICMSEntity,FBFiscalDocumentAdjustmentCodeICMSEntity.1.2.cdm.json/FBFiscalDocumentAdjustmentCodeICMSEntity,,tax,fb_fiscal_document_adjustment_code_icms_entity,Relationship_TaxBenefitCodeType_BRRelationshipId
Tax,TaxSalesTaxHierarchiesEntity,TaxSalesTaxHierarchiesEntity.1.2.cdm.json/TaxSalesTaxHierarchiesEntity,,tax,tax_sales_tax_hierarchies_entity,Relationship_CompanyRelationshipId
Tax,ElectronicTaxOBDeclarationEntity,ElectronicTaxOBDeclarationEntity.1.1.1.cdm.json/ElectronicTaxOBDeclarationEntity,,tax,electronic_tax_ob_declaration_entity,Relationship_CurrencyRelationshipId
Tax,TaxationCodeEntity,TaxationCodeEntity.1.2.cdm.json/TaxationCodeEntity,,tax,taxation_code_entity,Relationship_CompanyRelationshipId
Tax,TaxItalianSalesTaxBookSectionEntity,TaxItalianSalesTaxBookSectionEntity.1.2.cdm.json/TaxItalianSalesTaxBookSectionEntity,,tax,tax_italian_sales_tax_book_section_entity,BackingTable_NumberSequenceTableRelationshipId
Tax,TaxWithholdAuthoritiesEntity,TaxWithholdAuthoritiesEntity.1.2.cdm.json/TaxWithholdAuthoritiesEntity,,tax,tax_withhold_authorities_entity,Relationship_VendTableRelationshipId
Tax,MCRAutoTaxHeaderEntity,MCRAutoTaxHeaderEntity.1.2.cdm.json/MCRAutoTaxHeaderEntity,,tax,mcr_auto_tax_header_entity,Relationship_CompanyRelationshipId
Tax,TaxExciseTaxRegistrationNumberEntity,TaxExciseTaxRegistrationNumberEntity.1.2.cdm.json/TaxExciseTaxRegistrationNumberEntity,,tax,tax_excise_tax_registration_number_entity,Relationship_BusinessVerticalsTable_INRelationshipId
Tax,LedgerBadDebtAccountsEntity,LedgerBadDebtAccountsEntity.1.1.1.cdm.json/LedgerBadDebtAccountsEntity,,tax,ledger_bad_debt_accounts_entity,Relationship_BadDebtLedgerDimensionRelationshipId
Tax,TaxLedgerJournalLineTransTaxInformationEntity,TaxLedgerJournalLineTransTaxInformationEntity.1.2.cdm.json/TaxLedgerJournalLineTransTaxInformationEntity,,tax,tax_ledger_journal_line_trans_tax_information_entity,Relationship_PrimaryCompanyContextRelationshipId
Tax,FBGeneralAdjustmentCodePISCOFINSEntity,FBGeneralAdjustmentCodePISCOFINSEntity.1.2.cdm.json/FBGeneralAdjustmentCodePISCOFINSEntity,,tax,fb_general_adjustment_code_piscofins_entity,
Tax,TaxVendInvoiceInfoLineTransTaxInformationEntity,TaxVendInvoiceInfoLineTransTaxInformationEntity.1.2.cdm.json/TaxVendInvoiceInfoLineTransTaxInformationEntity,,tax,tax_vend_invoice_info_line_trans_tax_information_entity,Relationship_PrimaryCompanyContextRelationshipId
Tax,TaxWithholdComponentGroupEntity,TaxWithholdComponentGroupEntity.1.2.cdm.json/TaxWithholdComponentGroupEntity,,tax,tax_withhold_component_group_entity,Relationship_CompanyRelationshipId
Tax,PayrollWorkerGarnishmentRuleEntity,PayrollWorkerGarnishmentRuleEntity.1.1.1.cdm.json/PayrollWorkerGarnishmentRuleEntity,,tax,payroll_worker_garnishment_rule_entity,Relationship_TitleRelationshipId
Tax,TaxZakatLedgerInfoEntity,TaxZakatLedgerInfoEntity.1.2.cdm.json/TaxZakatLedgerInfoEntity,,tax,tax_zakat_ledger_info_entity,Relationship_DimensionAttributeValueRelationshipId
Tax,ElectronicTaxDeclarationSetupEntity,ElectronicTaxDeclarationSetupEntity.1.2.cdm.json/ElectronicTaxDeclarationSetupEntity,,tax,electronic_tax_declaration_setup_entity,Relationship_CompanyRelationshipId
Tax,TaxParametersPresetEntity,TaxParametersPresetEntity.1.2.cdm.json/TaxParametersPresetEntity,,tax,tax_parameters_preset_entity,Relationship_SalesTaxPayableExchangeRateTypeRelationshipId
Tax,PayrollUSTaxTransactionHistoryEntity,PayrollUSTaxTransactionHistoryEntity.1.2.cdm.json/PayrollUSTaxTransactionHistoryEntity,,tax,payroll_us_tax_transaction_history_entity,Relationship_PayCycleRelationshipId
Tax,TaxCustomsTaxRegistrationNumberEntity,TaxCustomsTaxRegistrationNumberEntity.1.2.cdm.json/TaxCustomsTaxRegistrationNumberEntity,,tax,tax_customs_tax_registration_number_entity,Relationship_BusinessVerticalsTable_INRelationshipId
Tax,TaxWithholdRevenueTypesEntity,TaxWithholdRevenueTypesEntity.1.1.1.cdm.json/TaxWithholdRevenueTypesEntity,,tax,tax_withhold_revenue_types_entity,Relationship_CompanyRelationshipId
Tax,TaxWithholdLedgerAccountGroupEntity,TaxWithholdLedgerAccountGroupEntity.1.2.cdm.json/TaxWithholdLedgerAccountGroupEntity,,tax,tax_withhold_ledger_account_group_entity,Relationship_TaxWithhodlSettlementLedgerDimensionRelationshipId
Tax,TaxNIPTableEntity,TaxNIPTableEntity.1.2.cdm.json/TaxNIPTableEntity,,tax,tax_nip_table_entity,Relationship_LanguageTableRelationshipId
Tax,TaxPurchaseTaxTableEntity,TaxPurchaseTaxTableEntity.1.2.cdm.json/TaxPurchaseTaxTableEntity,,tax,tax_purchase_tax_table_entity,Relationship_ExpenseLedgerDimensionRelationshipId
Tax,TaxGroupEntity,TaxGroupEntity.1.2.cdm.json/TaxGroupEntity,,tax,tax_group_entity,Relationship_CountyRelationshipId
Tax,TaxServiceTariffNumberEntity,TaxServiceTariffNumberEntity.1.2.cdm.json/TaxServiceTariffNumberEntity,,tax,tax_service_tariff_number_entity,Relationship_TaxServiceTariffRelationshipId
Tax,YearlyTaxCommunicationSetupEntity,YearlyTaxCommunicationSetupEntity.1.2.cdm.json/YearlyTaxCommunicationSetupEntity,,tax,yearly_tax_communication_setup_entity,Relationship_CompanyRelationshipId
Tax,TaxRegistrationLegislationTypesEntity,TaxRegistrationLegislationTypesEntity.1.2.cdm.json/TaxRegistrationLegislationTypesEntity,,tax,tax_registration_legislation_types_entity,Relationship_TaxRegistrationTypeApplicabilityRuleRelationshipId
Tax,TaxReport347AccountEntity,TaxReport347AccountEntity.1.2.cdm.json/TaxReport347AccountEntity,,tax,tax_report347_account_entity,Relationship_MainAccountIdxRelationshipId
Tax,DiotDeclarationConceptEntity,DiotDeclarationConceptEntity.1.2.cdm.json/DiotDeclarationConceptEntity,,tax,diot_declaration_concept_entity,Relationship_LanguageTableRelationshipId
Tax,TaxWithholdReportingCodesEntity,TaxWithholdReportingCodesEntity.1.2.cdm.json/TaxWithholdReportingCodesEntity,,tax,tax_withhold_reporting_codes_entity,Relationship_TaxWithholdComponentGroupTableRelationshipId
Tax,TaxExemptCodeCdsEntity,TaxExemptCodeCdsEntity.1.2.cdm.json/TaxExemptCodeCdsEntity,,tax,tax_exempt_code_cds_entity,Relationship_CompanyRelationshipId
Tax,TaxRegistrationGroupEntity,TaxRegistrationGroupEntity.1.1.1.cdm.json/TaxRegistrationGroupEntity,,tax,tax_registration_group_entity,Relationship_CompanyRelationshipId
Tax,FBObservationCodeEntity,FBObservationCodeEntity.1.2.cdm.json/FBObservationCodeEntity,,tax,fb_observation_code_entity,
Tax,TaxExciseTariffCodeEntity,TaxExciseTariffCodeEntity.1.2.cdm.json/TaxExciseTariffCodeEntity,,tax,tax_excise_tariff_code_entity,Relationship_CompanyRelationshipId
Tax,TaxVATNumTableEntity,TaxVATNumTableEntity.1.2.cdm.json/TaxVATNumTableEntity,,tax,tax_vat_num_table_entity,Relationship_LogisticsAddressCountryRegionRelationshipId
Tax,IntrastatCountryRegionParameterEntity,IntrastatCountryRegionParameterEntity.1.2.cdm.json/IntrastatCountryRegionParameterEntity,,tax,intrastat_country_region_parameter_entity,Relationship_CurrencyRelationshipId
Tax,TaxWithholdConcessionEntity,TaxWithholdConcessionEntity.1.2.cdm.json/TaxWithholdConcessionEntity,,tax,tax_withhold_concession_entity,Relationship_TaxWithholdTableRelationshipId
Tax,TaxWithholdReportSetupEntity,TaxWithholdReportSetupEntity.1.2.cdm.json/TaxWithholdReportSetupEntity,,tax,tax_withhold_report_setup_entity,Relationship_TaxWithholdItemGroupHeading_THRelationshipId
Tax,TaxZakatLedgerItemCodeEntity,TaxZakatLedgerItemCodeEntity.1.2.cdm.json/TaxZakatLedgerItemCodeEntity,,tax,tax_zakat_ledger_item_code_entity,Relationship_CompanyRelationshipId
Tax,TaxPostingGroupEntityV2,TaxPostingGroupEntityV2.1.2.cdm.json/TaxPostingGroupEntityV2,,tax,tax_posting_group_entity_v2,Relationship_CashDiscountIncomingLedgerDimensionRelationshipId
Tax,TaxMarkupTransTransTaxInformationEntity,TaxMarkupTransTransTaxInformationEntity.1.2.cdm.json/TaxMarkupTransTransTaxInformationEntity,,tax,tax_markup_trans_trans_tax_information_entity,Relationship_PrimaryCompanyContextRelationshipId
Tax,TMSStandardTransportationCommodityCodeEntity,TMSStandardTransportationCommodityCodeEntity.1.2.cdm.json/TMSStandardTransportationCommodityCodeEntity,,tax,tms_standard_transportation_commodity_code_entity,
Tax,ElectronicTaxDeclarationServerEntity,ElectronicTaxDeclarationServerEntity.1.2.cdm.json/ElectronicTaxDeclarationServerEntity,,tax,electronic_tax_declaration_server_entity,Relationship_CompanyRelationshipId
Tax,TaxImportInvoiceTaxIntegrationEntity,TaxImportInvoiceTaxIntegrationEntity.1.2.cdm.json/TaxImportInvoiceTaxIntegrationEntity,,tax,tax_import_invoice_tax_integration_entity,Relationship_AuditorRelationshipId
Tax,TaxCustomsTariffCodeEntity,TaxCustomsTariffCodeEntity.1.2.cdm.json/TaxCustomsTariffCodeEntity,,tax,tax_customs_tariff_code_entity,Relationship_CompanyRelationshipId
Tax,TaxInfoManagementOnCustomerEntity,TaxInfoManagementOnCustomerEntity.1.1.1.cdm.json/TaxInfoManagementOnCustomerEntity,,tax,tax_info_management_on_customer_entity,BackingTable_TaxInformation_INRelationshipId
Tax,TaxWithholdNatureOfRemittanceEntity,TaxWithholdNatureOfRemittanceEntity.1.2.cdm.json/TaxWithholdNatureOfRemittanceEntity,,tax,tax_withhold_nature_of_remittance_entity,Relationship_CompanyRelationshipId
Tax,TaxIntgrExportDocumentConfirmEnity,TaxIntgrExportDocumentConfirmEnity.1.2.cdm.json/TaxIntgrExportDocumentConfirmEnity,,tax,tax_intgr_export_document_confirm_enity,Relationship_AuditorRelationshipId
Tax,FiscalDocumentTaxTransEntity,FiscalDocumentTaxTransEntity.1.2.cdm.json/FiscalDocumentTaxTransEntity,,tax,fiscal_document_tax_trans_entity,Relationship_FiscalDocumentLineRelationshipId
Tax,TaxTimesheetLineTransTaxInformationEntity,TaxTimesheetLineTransTaxInformationEntity.1.2.cdm.json/TaxTimesheetLineTransTaxInformationEntity,,tax,tax_timesheet_line_trans_tax_information_entity,Relationship_PrimaryCompanyContextRelationshipId
Tax,TaxServiceCodeEntity,TaxServiceCodeEntity.1.2.cdm.json/TaxServiceCodeEntity,,tax,tax_service_code_entity,Relationship_LogisticsAddressCityNameRelationshipId
Tax,TaxGSTMinorCodeEntity,TaxGSTMinorCodeEntity.1.2.cdm.json/TaxGSTMinorCodeEntity,,tax,tax_gst_minor_code_entity,Relationship_TaxComponentTable_INRelationshipId
Tax,TaxWithholdReportVoucherEntity,TaxWithholdReportVoucherEntity.1.2.cdm.json/TaxWithholdReportVoucherEntity,,tax,tax_withhold_report_voucher_entity,Relationship_TaxWithholdPeriodHead_THRelationshipId
Tax,TaxCodeValueV2Entity,TaxCodeValueV2Entity.1.2.cdm.json/TaxCodeValueV2Entity,,tax,tax_code_value_v2_entity,Relationship_TaxPeriodIdRelationshipId
Tax,IntrastatSpecialMovementEntity,IntrastatSpecialMovementEntity.1.2.cdm.json/IntrastatSpecialMovementEntity,,tax,intrastat_special_movement_entity,Relationship_CompanyRelationshipId
Tax,TaxPurchaseRequisitionLineTransTaxInformationEntity,TaxPurchaseRequisitionLineTransTaxInformationEntity.1.2.cdm.json/TaxPurchaseRequisitionLineTransTaxInformationEntity,,tax,tax_purchase_requisition_line_trans_tax_information_entity,Relationship_PrimaryCompanyContextRelationshipId
Tax,TaxVATSchedulesEntity,TaxVATSchedulesEntity.1.1.1.cdm.json/TaxVATSchedulesEntity,,tax,tax_vat_schedules_entity,Relationship_CompanyRelationshipId
Tax,TaxSpanishVATBookEntity,TaxSpanishVATBookEntity.1.2.cdm.json/TaxSpanishVATBookEntity,,tax,tax_spanish_vat_book_entity,Relationship_NumberSequenceCodeRelationshipId
Tax,TaxWithholdPeriodsEntity,TaxWithholdPeriodsEntity.1.2.cdm.json/TaxWithholdPeriodsEntity,,tax,tax_withhold_periods_entity,Relationship_TaxWithholdAuthoritiesRelationshipId
Tax,FBFiscalDocumentAdjustmentCodeLedgerEntity,FBFiscalDocumentAdjustmentCodeLedgerEntity.1.2.cdm.json/FBFiscalDocumentAdjustmentCodeLedgerEntity,,tax,fb_fiscal_document_adjustment_code_ledger_entity,Relationship_FBFiscalDocumentAdjustmentCodeICMS_BRRelationshipId
Tax,LedgerSalesTaxExchangeRateTypeCurrencyEntity,LedgerSalesTaxExchangeRateTypeCurrencyEntity.1.2.cdm.json/LedgerSalesTaxExchangeRateTypeCurrencyEntity,,tax,ledger_sales_tax_exchange_rate_type_currency_entity,Relationship_CurrencyRelationshipId
Tax,TaxReportExtraFieldsBEEntity,TaxReportExtraFieldsBEEntity.1.2.cdm.json/TaxReportExtraFieldsBEEntity,,tax,tax_report_extra_fields_be_entity,Relationship_TaxPeriodHeadRelationshipId
Tax,TaxWithholdItemGroupEntity,TaxWithholdItemGroupEntity.1.2.cdm.json/TaxWithholdItemGroupEntity,,tax,tax_withhold_item_group_entity,Relationship_TaxWithholdRevenueTable_THRelationshipId
Tax,RetailTransactionTaxLineEntity,RetailTransactionTaxLineEntity.1.2.cdm.json/RetailTransactionTaxLineEntity,,tax,retail_transaction_tax_line_entity,Relationship_LanguageTableRelationshipId
Tax,ElectronicTaxDeclarationLogEntity,ElectronicTaxDeclarationLogEntity.1.2.cdm.json/ElectronicTaxDeclarationLogEntity,,tax,electronic_tax_declaration_log_entity,Relationship_TaxPeriodHeadRelationshipId
Tax,ElectronicTaxErrorMessageEntity,ElectronicTaxErrorMessageEntity.1.2.cdm.json/ElectronicTaxErrorMessageEntity,,tax,electronic_tax_error_message_entity,Relationship_CompanyRelationshipId
Tax,TaxGSTReliefCategoryEntity,TaxGSTReliefCategoryEntity.1.2.cdm.json/TaxGSTReliefCategoryEntity,,tax,tax_gst_relief_category_entity,Relationship_CompanyRelationshipId
Tax,TaxRegistrationOnCustomerEntity,TaxRegistrationOnCustomerEntity.1.1.1.cdm.json/TaxRegistrationOnCustomerEntity,,tax,tax_registration_on_customer_entity,BackingTable_TaxRegistrationRelationshipId
Tax,TaxSalesTaxFormTypesEntity,TaxSalesTaxFormTypesEntity.1.2.cdm.json/TaxSalesTaxFormTypesEntity,,tax,tax_sales_tax_form_types_entity,Relationship_CompanyRelationshipId
Tax,TaxPeriodEntity,TaxPeriodEntity.1.1.1.cdm.json/TaxPeriodEntity,,tax,tax_period_entity,BackingTable_TaxAuthorityAddressRelationshipId
Tax,TaxVATRegistrationNumberEntity,TaxVATRegistrationNumberEntity.1.2.cdm.json/TaxVATRegistrationNumberEntity,,tax,tax_vat_registration_number_entity,Relationship_BusinessVerticalsTable_INRelationshipId
Tax,TaxParametersEntity,TaxParametersEntity.1.2.cdm.json/TaxParametersEntity,,tax,tax_parameters_entity,Relationship_SalesTaxPayableExchangeRateTypeRelationshipId
Tax,TaxUnrealizedDocuSetTableEntity,TaxUnrealizedDocuSetTableEntity.1.2.cdm.json/TaxUnrealizedDocuSetTableEntity,,tax,tax_unrealized_docu_set_table_entity,Relationship_CompanyRelationshipId
Tax,EUSalesListEntity,EUSalesListEntity.1.2.cdm.json/EUSalesListEntity,,tax,eu_sales_list_entity,Relationship_CustTable_AccountNumRelationshipId
Tax,TaxPurchaseOrderLineTransTaxInformationEntity,TaxPurchaseOrderLineTransTaxInformationEntity.1.2.cdm.json/TaxPurchaseOrderLineTransTaxInformationEntity,,tax,tax_purchase_order_line_trans_tax_information_entity,Relationship_PrimaryCompanyContextRelationshipId
