cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
TransactionsAndOrders,RetailInfocodeCategorySpecificEntity,RetailInfocodeCategorySpecificEntity.1.1.cdm.json/RetailInfocodeCategorySpecificEntity,,transactions_and_orders,retail_infocode_category_specific_entity,Relationship_DefaultProjectGlobalCategoryRelationshipId
TransactionsAndOrders,RetailSalesTaxOverrideEntity,RetailSalesTaxOverrideEntity.1.1.cdm.json/RetailSalesTaxOverrideEntity,,transactions_and_orders,retail_sales_tax_override_entity,Relationship_TaxGroupHeadingRelationshipId
TransactionsAndOrders,RetailTransactionInfoCodeLineEntity,RetailTransactionInfoCodeLineEntity.1.1.cdm.json/RetailTransactionInfoCodeLineEntity,,transactions_and_orders,retail_transaction_info_code_line_entity,Relationship_RetailChannelTableRelationshipId
TransactionsAndOrders,RetailTransactionFiscalCustomerEntity,RetailTransactionFiscalCustomerEntity.1.1.cdm.json/RetailTransactionFiscalCustomerEntity,,transactions_and_orders,retail_transaction_fiscal_customer_entity,Relationship_RetailStoreTableRelationshipId
TransactionsAndOrders,RetailTransactionFiscalTransEntity,RetailTransactionFiscalTransEntity.1.1.cdm.json/RetailTransactionFiscalTransEntity,,transactions_and_orders,retail_transaction_fiscal_trans_entity,Relationship_RetailStoreTableRelationshipId
TransactionsAndOrders,RetailTransactionSalesLineV2Entity,RetailTransactionSalesLineV2Entity.1.1.cdm.json/RetailTransactionSalesLineV2Entity,,transactions_and_orders,retail_transaction_sales_line_v2_entity,Relationship_CatalogRelationshipId
TransactionsAndOrders,RetailTransactionAddressLineEntity,RetailTransactionAddressLineEntity.1.1.cdm.json/RetailTransactionAddressLineEntity,,transactions_and_orders,retail_transaction_address_line_entity,Relationship_LogisticsAddressCountryRegionRelationshipId
TransactionsAndOrders,RetailTransactionCashManagementTransEntity,RetailTransactionCashManagementTransEntity.1.1.cdm.json/RetailTransactionCashManagementTransEntity,,transactions_and_orders,retail_transaction_cash_management_trans_entity,Relationship_RetailChannelTableRelationshipId
TransactionsAndOrders,RetailReturnPolicyLineEntity,RetailReturnPolicyLineEntity.1.1.cdm.json/RetailReturnPolicyLineEntity,,transactions_and_orders,retail_return_policy_line_entity,BackingTable_RetailReturnPolicyRelationshipId
TransactionsAndOrders,RetailTransactionMarkupLineEntity,RetailTransactionMarkupLineEntity.1.1.cdm.json/RetailTransactionMarkupLineEntity,,transactions_and_orders,retail_transaction_markup_line_entity,Relationship_RetailChannelTableRelationshipId
TransactionsAndOrders,RetailTransactionLoyaltyLineEntity,RetailTransactionLoyaltyLineEntity.1.1.cdm.json/RetailTransactionLoyaltyLineEntity,,transactions_and_orders,retail_transaction_loyalty_line_entity,Relationship_RetailAffiliationRelationshipId
TransactionsAndOrders,RetailTransactionAffiliationLineEntity,RetailTransactionAffiliationLineEntity.1.1.cdm.json/RetailTransactionAffiliationLineEntity,,transactions_and_orders,retail_transaction_affiliation_line_entity,Relationship_RetailAffiliationRelationshipId
TransactionsAndOrders,RetailTransactionEntity,RetailTransactionEntity.1.0.1.cdm.json/RetailTransactionEntity,,transactions_and_orders,retail_transaction_entity,Relationship_CurrencyRelationshipId
TransactionsAndOrders,RetailTransactionLoyaltyRewardPointsLineEntity,RetailTransactionLoyaltyRewardPointsLineEntity.1.1.cdm.json/RetailTransactionLoyaltyRewardPointsLineEntity,,transactions_and_orders,retail_transaction_loyalty_reward_points_line_entity,Relationship_CustTableRelationshipId
TransactionsAndOrders,RetailMarkupAutoChannelLineEntity,RetailMarkupAutoChannelLineEntity.1.1.cdm.json/RetailMarkupAutoChannelLineEntity,,transactions_and_orders,retail_markup_auto_channel_line_entity,Relationship_OMHierarchyTypeRelationshipId
TransactionsAndOrders,RetailIncomeExpenseAccountEntity,RetailIncomeExpenseAccountEntity.1.1.cdm.json/RetailIncomeExpenseAccountEntity,,transactions_and_orders,retail_income_expense_account_entity,Relationship_MainAcountRelationshipId
TransactionsAndOrders,RetailStoreSafeEntity,RetailStoreSafeEntity.1.1.cdm.json/RetailStoreSafeEntity,,transactions_and_orders,retail_store_safe_entity,Relationship_RetailStoreTableRelationshipId
TransactionsAndOrders,RetailNotificationSubscriptionsEntity,RetailNotificationSubscriptionsEntity.1.0.1.cdm.json/RetailNotificationSubscriptionsEntity,,transactions_and_orders,retail_notification_subscriptions_entity,Relationship_RetailPosPermissionGroupRelationshipId
TransactionsAndOrders,RetailReturnPolicyChannelPaymentMappingEntity,RetailReturnPolicyChannelPaymentMappingEntity.1.1.cdm.json/RetailReturnPolicyChannelPaymentMappingEntity,,transactions_and_orders,retail_return_policy_channel_payment_mapping_entity,Relationship_RetailReturnPolicyChannelRelationshipId
TransactionsAndOrders,RetailTransactionChargeTaxTransEntity,RetailTransactionChargeTaxTransEntity.1.1.cdm.json/RetailTransactionChargeTaxTransEntity,,transactions_and_orders,retail_transaction_charge_tax_trans_entity,Relationship_RetailTransactionMarkupTransRelationshipId
TransactionsAndOrders,RetailTransactionAttributeEntity,RetailTransactionAttributeEntity.1.1.cdm.json/RetailTransactionAttributeEntity,,transactions_and_orders,retail_transaction_attribute_entity,Relationship_RetailChannelTableRelationshipId
TransactionsAndOrders,RetailWorkShiftSetup2Entity,RetailWorkShiftSetup2Entity.1.1.cdm.json/RetailWorkShiftSetup2Entity,,transactions_and_orders,retail_work_shift_setup2_entity,Relationship_RetailStoreTableRelationshipId
TransactionsAndOrders,RetailInformationSubcodeEntity,RetailInformationSubcodeEntity.1.1.cdm.json/RetailInformationSubcodeEntity,,transactions_and_orders,retail_information_subcode_entity,BackingTable_RetailInfocodeTableRelationshipId
TransactionsAndOrders,RetailTransactionIncomeExpenseLineEntity,RetailTransactionIncomeExpenseLineEntity.1.1.cdm.json/RetailTransactionIncomeExpenseLineEntity,,transactions_and_orders,retail_transaction_income_expense_line_entity,Relationship_RetailChannelTableRelationshipId
TransactionsAndOrders,RetailWorkShiftSetupEntity,RetailWorkShiftSetupEntity.1.1.cdm.json/RetailWorkShiftSetupEntity,,transactions_and_orders,retail_work_shift_setup_entity,Relationship_RetailStoreTableRelationshipId
TransactionsAndOrders,RetailInfocodeGroupEntity,RetailInfocodeGroupEntity.1.1.cdm.json/RetailInfocodeGroupEntity,,transactions_and_orders,retail_infocode_group_entity,Relationship_RetailInfocodeRelationshipId
TransactionsAndOrders,RetailInfocodeGroupMemberEntity,RetailInfocodeGroupMemberEntity.1.1.cdm.json/RetailInfocodeGroupMemberEntity,,transactions_and_orders,retail_infocode_group_member_entity,Relationship_RetailInfocodeGroupRelationshipId
TransactionsAndOrders,RetailReturnInfocodePolicyLineEntity,RetailReturnInfocodePolicyLineEntity.1.1.cdm.json/RetailReturnInfocodePolicyLineEntity,,transactions_and_orders,retail_return_infocode_policy_line_entity,Relationship_InventLocationRelationshipId
TransactionsAndOrders,RetailSalesTaxOverrideGroupMemberEntity,RetailSalesTaxOverrideGroupMemberEntity.1.1.cdm.json/RetailSalesTaxOverrideGroupMemberEntity,,transactions_and_orders,retail_sales_tax_override_group_member_entity,Relationship_RetailSalesTaxOverrideRelationshipId
TransactionsAndOrders,RetailInfocodeTranslationEntity,RetailInfocodeTranslationEntity.1.1.cdm.json/RetailInfocodeTranslationEntity,,transactions_and_orders,retail_infocode_translation_entity,Relationship_LanguageTableRelationshipId
TransactionsAndOrders,RetailParameterEntity,RetailParameterEntity.1.1.cdm.json/RetailParameterEntity,,transactions_and_orders,retail_parameter_entity,Relationship_DiscountAccountLedgerDimensionCombinationRelationshipId
TransactionsAndOrders,RetailTransactionGTETaxLineEntity,RetailTransactionGTETaxLineEntity.1.1.cdm.json/RetailTransactionGTETaxLineEntity,,transactions_and_orders,retail_transaction_gte_tax_line_entity,Relationship_RetailChannelTableRelationshipId
TransactionsAndOrders,ChargeOverrideHistoryEntity,ChargeOverrideHistoryEntity.1.1.cdm.json/ChargeOverrideHistoryEntity,,transactions_and_orders,charge_override_history_entity,Relationship_SalesOrderRelationshipId
TransactionsAndOrders,RetailTransactionSafeTenderTransEntity,RetailTransactionSafeTenderTransEntity.1.1.cdm.json/RetailTransactionSafeTenderTransEntity,,transactions_and_orders,retail_transaction_safe_tender_trans_entity,Relationship_CurrencyRelationshipId
TransactionsAndOrders,RetailInfocodeAssociationEntity,RetailInfocodeAssociationEntity.1.0.1.cdm.json/RetailInfocodeAssociationEntity,,transactions_and_orders,retail_infocode_association_entity,Relationship_CustTableRelationshipId
TransactionsAndOrders,MCRScriptEntity,MCRScriptEntity.1.1.cdm.json/MCRScriptEntity,,transactions_and_orders,mcr_script_entity,Relationship_CompanyRelationshipId
TransactionsAndOrders,RetailInfocodeEntity,RetailInfocodeEntity.1.1.cdm.json/RetailInfocodeEntity,,transactions_and_orders,retail_infocode_entity,Relationship_RetailInfocodeRelationshipId
TransactionsAndOrders,RetailTransactionBankedTenderTransEntity,RetailTransactionBankedTenderTransEntity.1.1.cdm.json/RetailTransactionBankedTenderTransEntity,,transactions_and_orders,retail_transaction_banked_tender_trans_entity,Relationship_CurrencyRelationshipId
TransactionsAndOrders,RetailDeliveryModeAddressLineEntity,RetailDeliveryModeAddressLineEntity.1.1.cdm.json/RetailDeliveryModeAddressLineEntity,,transactions_and_orders,retail_delivery_mode_address_line_entity,Relationship_CountryRelationshipId
TransactionsAndOrders,RetailInformationSubcodeTranslationEntity,RetailInformationSubcodeTranslationEntity.1.1.cdm.json/RetailInformationSubcodeTranslationEntity,,transactions_and_orders,retail_information_subcode_translation_entity,Relationship_LanguageTableRelationshipId
TransactionsAndOrders,RetailReturnPolicyChannelEntity,RetailReturnPolicyChannelEntity.1.1.cdm.json/RetailReturnPolicyChannelEntity,,transactions_and_orders,retail_return_policy_channel_entity,Relationship_CompanyRelationshipId
TransactionsAndOrders,RetailInfocodeLineEntity,RetailInfocodeLineEntity.1.1.cdm.json/RetailInfocodeLineEntity,,transactions_and_orders,retail_infocode_line_entity,Relationship_SalesTableRelationshipId
TransactionsAndOrders,MCRReqPlanContinuityEntity,MCRReqPlanContinuityEntity.1.1.cdm.json/MCRReqPlanContinuityEntity,,transactions_and_orders,mcr_req_plan_continuity_entity,Relationship_PlannedOrderNumberSequenceRelationshipId
TransactionsAndOrders,RetailSeasonEntity,RetailSeasonEntity.1.1.cdm.json/RetailSeasonEntity,,transactions_and_orders,retail_season_entity,Relationship_LanguageTableRelationshipId
TransactionsAndOrders,RetailSalesTaxOverrideGroupEntity,RetailSalesTaxOverrideGroupEntity.1.0.1.cdm.json/RetailSalesTaxOverrideGroupEntity,,transactions_and_orders,retail_sales_tax_override_group_entity,Relationship_CompanyRelationshipId
TransactionsAndOrders,RetailDeliveryModeChannelLineEntity,RetailDeliveryModeChannelLineEntity.1.1.cdm.json/RetailDeliveryModeChannelLineEntity,,transactions_and_orders,retail_delivery_mode_channel_line_entity,BackingTable_DlvModeRelationshipId
TransactionsAndOrders,RetailXZReportEntity,RetailXZReportEntity.1.1.cdm.json/RetailXZReportEntity,,transactions_and_orders,retail_xz_report_entity,Relationship_RetailStoreTableRelationshipId
TransactionsAndOrders,RetailInfoCodeFiscalTextEntity,RetailInfoCodeFiscalTextEntity.1.1.cdm.json/RetailInfoCodeFiscalTextEntity,,transactions_and_orders,retail_info_code_fiscal_text_entity,Relationship_InfocodeIdRelationshipId
TransactionsAndOrders,RetailTransactionTaxMeasureEntity,RetailTransactionTaxMeasureEntity.1.0.1.cdm.json/RetailTransactionTaxMeasureEntity,,transactions_and_orders,retail_transaction_tax_measure_entity,Relationship_RetailChannelTableRelationshipId
TransactionsAndOrders,RetailTransactionDiscountLineEntity,RetailTransactionDiscountLineEntity.1.1.cdm.json/RetailTransactionDiscountLineEntity,,transactions_and_orders,retail_transaction_discount_line_entity,Relationship_RetailChannelTableRelationshipId
TransactionsAndOrders,RetailDeliveryModeEntity,RetailDeliveryModeEntity.1.1.cdm.json/RetailDeliveryModeEntity,,transactions_and_orders,retail_delivery_mode_entity,
TransactionsAndOrders,RetailEventNotificationProfileEntity,RetailEventNotificationProfileEntity.1.1.cdm.json/RetailEventNotificationProfileEntity,,transactions_and_orders,retail_event_notification_profile_entity,BackingTable_RetailEventNotificationProfileRelationshipId
TransactionsAndOrders,RetailSalesPricePointGroupEntity,RetailSalesPricePointGroupEntity.1.1.cdm.json/RetailSalesPricePointGroupEntity,,transactions_and_orders,retail_sales_price_point_group_entity,Relationship_CompanyRelationshipId
