cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Transportation,TMSShippingCarrierServiceGroupAssignmentEntity,TMSShippingCarrierServiceGroupAssignmentEntity.1.2.cdm.json/TMSShippingCarrierServiceGroupAssignmentEntity,,transportation,tms_shipping_carrier_service_group_assignment_entity,Relationship_TMSCarrierRelationshipId
Transportation,WHSProductHarmonizedTariffCodeEntity,WHSProductHarmonizedTariffCodeEntity.1.2.cdm.json/WHSProductHarmonizedTariffCodeEntity,,transportation,whs_product_harmonized_tariff_code_entity,
Transportation,TMSShippingCarrierCustomerAccountCriterionEntity,TMSShippingCarrierCustomerAccountCriterionEntity.1.2.cdm.json/TMSShippingCarrierCustomerAccountCriterionEntity,,transportation,tms_shipping_carrier_customer_account_criterion_entity,Relationship_InventSiteRelationshipId
Transportation,TMSLateShipReasonEntity,TMSLateShipReasonEntity.1.1.1.cdm.json/TMSLateShipReasonEntity,,transportation,tms_late_ship_reason_entity,Relationship_CompanyRelationshipId
Transportation,TMSTransportationRateBreakMasterEntity,TMSTransportationRateBreakMasterEntity.1.1.1.cdm.json/TMSTransportationRateBreakMasterEntity,,transportation,tms_transportation_rate_break_master_entity,Relationship_CompanyRelationshipId
Transportation,TMSTransportationVendorChargeEntity,TMSTransportationVendorChargeEntity.1.2.cdm.json/TMSTransportationVendorChargeEntity,,transportation,tms_transportation_vendor_charge_entity,BackingTable_TMSCarrierRelationshipId
Transportation,TMSFuelIndexEntity,TMSFuelIndexEntity.1.2.cdm.json/TMSFuelIndexEntity,,transportation,tms_fuel_index_entity,BackingTable_TMSFuelIndexRegionRelationshipId
Transportation,TMSCarrierFuelIndexEntity,TMSCarrierFuelIndexEntity.1.2.cdm.json/TMSCarrierFuelIndexEntity,,transportation,tms_carrier_fuel_index_entity,Relationship_CompanyRelationshipId
Transportation,TMSFreightInvoiceHeaderV2Entity,TMSFreightInvoiceHeaderV2Entity.1.2.cdm.json/TMSFreightInvoiceHeaderV2Entity,,transportation,tms_freight_invoice_header_v2_entity,Relationship_CashDiscRelationshipId
Transportation,TMSTransportationAppointmentHistoryEntity,TMSTransportationAppointmentHistoryEntity.1.2.cdm.json/TMSTransportationAppointmentHistoryEntity,,transportation,tms_transportation_appointment_history_entity,Relationship_TMSAppointmentRelationshipId
Transportation,TMSTransportationShipmentConstraintEntity,TMSTransportationShipmentConstraintEntity.1.2.cdm.json/TMSTransportationShipmentConstraintEntity,,transportation,tms_transportation_shipment_constraint_entity,BackingTable_TMSCarrierRelationshipId
Transportation,TMSTransportationRateBaseDetailEntity,TMSTransportationRateBaseDetailEntity.1.2.cdm.json/TMSTransportationRateBaseDetailEntity,,transportation,tms_transportation_rate_base_detail_entity,BackingTable_TMSRateBaseRelationshipId
Transportation,TMSShippingCarrierNumberSequenceEntity,TMSShippingCarrierNumberSequenceEntity.1.2.cdm.json/TMSShippingCarrierNumberSequenceEntity,,transportation,tms_shipping_carrier_number_sequence_entity,BackingTable_TMSGenericEngineRelationshipId
Transportation,TMSFreightInvoiceLineV2Entity,TMSFreightInvoiceLineV2Entity.1.2.cdm.json/TMSFreightInvoiceLineV2Entity,,transportation,tms_freight_invoice_line_v2_entity,Relationship_CashDiscRelationshipId
Transportation,TMSTransportationManagementParametersEntity,TMSTransportationManagementParametersEntity.1.2.cdm.json/TMSTransportationManagementParametersEntity,,transportation,tms_transportation_management_parameters_entity,Relationship_DefaultNoteTypeRelationshipId
Transportation,TMSFreightBillTypeEntity,TMSFreightBillTypeEntity.1.2.cdm.json/TMSFreightBillTypeEntity,,transportation,tms_freight_bill_type_entity,Relationship_CompanyRelationshipId
Transportation,TMSTransportationZoneDetailMetadataEntity,TMSTransportationZoneDetailMetadataEntity.1.2.cdm.json/TMSTransportationZoneDetailMetadataEntity,,transportation,tms_transportation_zone_detail_metadata_entity,BackingTable_TMSZoneMasterRelationshipId
Transportation,TMSDockDoorAppointmentChangeReasonEntity,TMSDockDoorAppointmentChangeReasonEntity.1.2.cdm.json/TMSDockDoorAppointmentChangeReasonEntity,,transportation,tms_dock_door_appointment_change_reason_entity,Relationship_CompanyRelationshipId
Transportation,TMSShippingCarrierPostalAddressEntity,TMSShippingCarrierPostalAddressEntity.1.2.cdm.json/TMSShippingCarrierPostalAddressEntity,,transportation,tms_shipping_carrier_postal_address_entity,Relationship_LogisticsLocationRelationshipId
Transportation,TMSTransportationRatingMetadataEntity,TMSTransportationRatingMetadataEntity.1.2.cdm.json/TMSTransportationRatingMetadataEntity,,transportation,tms_transportation_rating_metadata_entity,Relationship_CompanyRelationshipId
Transportation,TMSTransportationRateAssignmentEntity,TMSTransportationRateAssignmentEntity.1.2.cdm.json/TMSTransportationRateAssignmentEntity,,transportation,tms_transportation_rate_assignment_entity,BackingTable_TMSRateBaseRelationshipId
Transportation,TMSShippingCarrierEntity,TMSShippingCarrierEntity.1.2.cdm.json/TMSShippingCarrierEntity,,transportation,tms_shipping_carrier_entity,Relationship_TMSModeRelationshipId
Transportation,TMSTransportationMileageEngineParameterEntity,TMSTransportationMileageEngineParameterEntity.1.2.cdm.json/TMSTransportationMileageEngineParameterEntity,,transportation,tms_transportation_mileage_engine_parameter_entity,Relationship_TMSGenericEngine_AppRelationshipId
Transportation,TMSFreightBillDetailEntity,TMSFreightBillDetailEntity.1.2.cdm.json/TMSFreightBillDetailEntity,,transportation,tms_freight_bill_detail_entity,BackingTable_TMSAccessorialMasterRelationshipId
Transportation,TMSTransportationShipmentLoadBuildingTemplateEntity,TMSTransportationShipmentLoadBuildingTemplateEntity.1.2.cdm.json/TMSTransportationShipmentLoadBuildingTemplateEntity,,transportation,tms_transportation_shipment_load_building_template_entity,Relationship_AddrFormat_FKRelationshipId
Transportation,TMSFreightBillMatchingAuditToleranceLevelEntity,TMSFreightBillMatchingAuditToleranceLevelEntity.1.2.cdm.json/TMSFreightBillMatchingAuditToleranceLevelEntity,,transportation,tms_freight_bill_matching_audit_tolerance_level_entity,Relationship_InventLocationRelationshipId
Transportation,TMSTransportationHubEntity,TMSTransportationHubEntity.1.2.cdm.json/TMSTransportationHubEntity,,transportation,tms_transportation_hub_entity,Relationship_Location_FKRelationshipId
Transportation,TMSTransportationRateBreakValueEntity,TMSTransportationRateBreakValueEntity.1.2.cdm.json/TMSTransportationRateBreakValueEntity,,transportation,tms_transportation_rate_break_value_entity,Relationship_CompanyRelationshipId
Transportation,TransportationDocumentEntity,TransportationDocumentEntity.1.2.cdm.json/TransportationDocumentEntity,,transportation,transportation_document_entity,Relationship_CarrierCodeCustRelationshipId
Transportation,TMSTransportationModeEntity,TMSTransportationModeEntity.1.2.cdm.json/TMSTransportationModeEntity,,transportation,tms_transportation_mode_entity,Relationship_CompanyRelationshipId
Transportation,TMSTransportationRateEngineEntity,TMSTransportationRateEngineEntity.1.2.cdm.json/TMSTransportationRateEngineEntity,,transportation,tms_transportation_rate_engine_entity,Relationship_TMSRateBaseTypeRelationshipId
Transportation,TMSCarrierFuelIndexLineEntity,TMSCarrierFuelIndexLineEntity.1.2.cdm.json/TMSCarrierFuelIndexLineEntity,,transportation,tms_carrier_fuel_index_line_entity,Relationship_CurrencyRelationshipId
Transportation,TMSTransportationRatingMetadataAssignmentFieldEntity,TMSTransportationRatingMetadataAssignmentFieldEntity.1.2.cdm.json/TMSTransportationRatingMetadataAssignmentFieldEntity,,transportation,tms_transportation_rating_metadata_assignment_field_entity,Relationship_CompanyRelationshipId
Transportation,TMSTransportationStatusMasterEntity,TMSTransportationStatusMasterEntity.1.2.cdm.json/TMSTransportationStatusMasterEntity,,transportation,tms_transportation_status_master_entity,Relationship_CompanyRelationshipId
Transportation,TMSTransportationPurchaseLoadBuildingTemplateEntity,TMSTransportationPurchaseLoadBuildingTemplateEntity.1.2.cdm.json/TMSTransportationPurchaseLoadBuildingTemplateEntity,,transportation,tms_transportation_purchase_load_building_template_entity,BackingTable_WHSFiltersRelationshipId
Transportation,TMSTransportationCustomerChargeEntity,TMSTransportationCustomerChargeEntity.1.2.cdm.json/TMSTransportationCustomerChargeEntity,,transportation,tms_transportation_customer_charge_entity,Relationship_TMSModeRelationshipId
Transportation,TMSTransportationAppointmentEntity,TMSTransportationAppointmentEntity.1.2.cdm.json/TMSTransportationAppointmentEntity,,transportation,tms_transportation_appointment_entity,Relationship_InventLocationRelationshipId
Transportation,TMSTransportationAppointmentRuleEntity,TMSTransportationAppointmentRuleEntity.1.2.cdm.json/TMSTransportationAppointmentRuleEntity,,transportation,tms_transportation_appointment_rule_entity,Relationship_InventLocationRelationshipId
Transportation,TMSTransportationLoadBuildingStrategyEntity,TMSTransportationLoadBuildingStrategyEntity.1.2.cdm.json/TMSTransportationLoadBuildingStrategyEntity,,transportation,tms_transportation_load_building_strategy_entity,BackingTable_TMSLoadBuildStrategyRelationshipId
Transportation,TMSTransportationEquipmentEntity,TMSTransportationEquipmentEntity.1.2.cdm.json/TMSTransportationEquipmentEntity,,transportation,tms_transportation_equipment_entity,Relationship_CompanyRelationshipId
Transportation,TMSTransportationShipmentLoadBuildingTemplateSequenceEntity,TMSTransportationShipmentLoadBuildingTemplateSequenceEntity.1.2.cdm.json/TMSTransportationShipmentLoadBuildingTemplateSequenceEntity,,transportation,tms_transportation_shipment_load_building_template_sequence_entity,Relationship_WarehouseEquipmentRelationshipId
Transportation,TMSTransportationTemplateEntity,TMSTransportationTemplateEntity.1.2.cdm.json/TMSTransportationTemplateEntity,,transportation,tms_transportation_template_entity,Relationship_TMSCarrierCustRelationshipId
Transportation,TMSTransportationTemplateCustomerChargeManualOverrideRateEntity,TMSTransportationTemplateCustomerChargeManualOverrideRateEntity.1.2.cdm.json/TMSTransportationTemplateCustomerChargeManualOverrideRateEntity,,transportation,tms_transportation_template_customer_charge_manual_override_rate_entity,Relationship_TMSModeRelationshipId
Transportation,TMSTransportationRoutePlanSegmentEntity,TMSTransportationRoutePlanSegmentEntity.1.2.cdm.json/TMSTransportationRoutePlanSegmentEntity,,transportation,tms_transportation_route_plan_segment_entity,Relationship_DlvTermRelationshipId
Transportation,TMSTransportationRoutePlanEntity,TMSTransportationRoutePlanEntity.1.2.cdm.json/TMSTransportationRoutePlanEntity,,transportation,tms_transportation_route_plan_entity,BackingTable_TMSRouteConfigRelationshipId
Transportation,TMSTransportationTransitTimeEngineDetailEntity,TMSTransportationTransitTimeEngineDetailEntity.1.2.cdm.json/TMSTransportationTransitTimeEngineDetailEntity,,transportation,tms_transportation_transit_time_engine_detail_entity,Relationship_TMSTransitTimeEngineRelationshipId
Transportation,TMSTransportationAccessorialChargeAssignmentEntity,TMSTransportationAccessorialChargeAssignmentEntity.1.2.cdm.json/TMSTransportationAccessorialChargeAssignmentEntity,,transportation,tms_transportation_accessorial_charge_assignment_entity,Relationship_CurrencyRelationshipId
Transportation,TMSTransportationRatingMetadataRateBaseFieldEntity,TMSTransportationRatingMetadataRateBaseFieldEntity.1.2.cdm.json/TMSTransportationRatingMetadataRateBaseFieldEntity,,transportation,tms_transportation_rating_metadata_rate_base_field_entity,Relationship_CompanyRelationshipId
Transportation,TMSShippingCarrierRatingProfileEntity,TMSShippingCarrierRatingProfileEntity.1.2.cdm.json/TMSShippingCarrierRatingProfileEntity,,transportation,tms_shipping_carrier_rating_profile_entity,Relationship_InventLocationRelationshipId
Transportation,TMSTransportationDiscountEntity,TMSTransportationDiscountEntity.1.2.cdm.json/TMSTransportationDiscountEntity,,transportation,tms_transportation_discount_entity,Relationship_CurrencyRelationshipId
Transportation,TMSSalesFreightChargeEntity,TMSSalesFreightChargeEntity.1.2.cdm.json/TMSSalesFreightChargeEntity,,transportation,tms_sales_freight_charge_entity,BackingTable_TMSAccessorialMasterRelationshipId
Transportation,TMSTransportationRouteScheduleEntity,TMSTransportationRouteScheduleEntity.1.1.1.cdm.json/TMSTransportationRouteScheduleEntity,,transportation,tms_transportation_route_schedule_entity,BackingTable_TMSRouteConfigRelationshipId
Transportation,TMSTransportationGenericEngineParameterEntity,TMSTransportationGenericEngineParameterEntity.1.2.cdm.json/TMSTransportationGenericEngineParameterEntity,,transportation,tms_transportation_generic_engine_parameter_entity,Relationship_TMSGenericEngine_AppRelationshipId
Transportation,TMSTransportationRateBaseEntity,TMSTransportationRateBaseEntity.1.2.cdm.json/TMSTransportationRateBaseEntity,,transportation,tms_transportation_rate_base_entity,Relationship_CurrencyRelationshipId
Transportation,TMSShippingCarrierServiceGroupEntity,TMSShippingCarrierServiceGroupEntity.1.2.cdm.json/TMSShippingCarrierServiceGroupEntity,,transportation,tms_shipping_carrier_service_group_entity,Relationship_CompanyRelationshipId
