cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
WMS,WHSWarehouseStockingLimitV2Entity,WHSWarehouseStockingLimitV2Entity.1.2.cdm.json/WHSWarehouseStockingLimitV2Entity,,wms,whs_warehouse_stocking_limit_v2_entity,Relationship_StorageUnitOfMeasureRelationshipId
WMS,WHSLessThanTruckloadClassEntity,WHSLessThanTruckloadClassEntity.1.2.cdm.json/WHSLessThanTruckloadClassEntity,,wms,whs_less_than_truckload_class_entity,
WMS,WHSThirdProductFilterCodeEntity,WHSThirdProductFilterCodeEntity.1.2.cdm.json/WHSThirdProductFilterCodeEntity,,wms,whs_third_product_filter_code_entity,Relationship_CompanyRelationshipId
WMS,WHSCycleCountingThresholdEntity,WHSCycleCountingThresholdEntity.1.2.cdm.json/WHSCycleCountingThresholdEntity,,wms,whs_cycle_counting_threshold_entity,BackingTable_WHSWorkPoolRelationshipId
WMS,WHSDocumentRoutingPrinterLayoutEntity,WHSDocumentRoutingPrinterLayoutEntity.1.2.cdm.json/WHSDocumentRoutingPrinterLayoutEntity,,wms,whs_document_routing_printer_layout_entity,Relationship_CompanyRelationshipId
WMS,WHSWarehouseWorkTemplateLineEntity,WHSWarehouseWorkTemplateLineEntity.1.1.1.cdm.json/WHSWarehouseWorkTemplateLineEntity,,wms,whs_warehouse_work_template_line_entity,BackingTable_WHSLocDirHintRelationshipId
WMS,WHSReturnOrderDocumentRoutingV2Entity,WHSReturnOrderDocumentRoutingV2Entity.1.2.cdm.json/WHSReturnOrderDocumentRoutingV2Entity,,wms,whs_return_order_document_routing_v2_entity,Relationship_WarehouseZoneGroupRelationshipId
WMS,WHSCycleCountingWarehouseWorkLineV2Entity,WHSCycleCountingWarehouseWorkLineV2Entity.1.2.cdm.json/WHSCycleCountingWarehouseWorkLineV2Entity,,wms,whs_cycle_counting_warehouse_work_line_v2_entity,BackingTable_EcoResColorRelationshipId
WMS,WHSOutboundLoadPackingStructureLineV2Entity,WHSOutboundLoadPackingStructureLineV2Entity.1.2.cdm.json/WHSOutboundLoadPackingStructureLineV2Entity,,wms,whs_outbound_load_packing_structure_line_v2_entity,Relationship_ShipmentHeaderRelationshipId
WMS,WHSProductFilterGroupDetailV2Entity,WHSProductFilterGroupDetailV2Entity.1.2.cdm.json/WHSProductFilterGroupDetailV2Entity,,wms,whs_product_filter_group_detail_v2_entity,BackingTable_WHSFilterGroupTableRelationshipId
WMS,WHSWarehouseWorkPolicyProductEntity,WHSWarehouseWorkPolicyProductEntity.1.2.cdm.json/WHSWarehouseWorkPolicyProductEntity,,wms,whs_warehouse_work_policy_product_entity,BackingTable_WHSWorkPolicyRelationshipId
WMS,WHSWarehouseMobileDeviceMenuItemV3Entity,WHSWarehouseMobileDeviceMenuItemV3Entity.1.2.cdm.json/WHSWarehouseMobileDeviceMenuItemV3Entity,,wms,whs_warehouse_mobile_device_menu_item_v3_entity,Relationship_InventoryCountingJournalNameRelationshipId
WMS,WMSWarehouseLocationEntity,WMSWarehouseLocationEntity.1.2.cdm.json/WMSWarehouseLocationEntity,,wms,wms_warehouse_location_entity,Relationship_InputWarehouseLocationBlockingCauseRelationshipId
WMS,WHSWarehouseWorkTemplateWorkLineBreakEntity,WHSWarehouseWorkTemplateWorkLineBreakEntity.1.2.cdm.json/WHSWarehouseWorkTemplateWorkLineBreakEntity,,wms,whs_warehouse_work_template_work_line_break_entity,BackingTable_WHSLocDirHintRelationshipId
WMS,WHSGenerallyAvailableProductFilterEntity,WHSGenerallyAvailableProductFilterEntity.1.2.cdm.json/WHSGenerallyAvailableProductFilterEntity,,wms,whs_generally_available_product_filter_entity,BackingTable_WHSFiltersRelationshipId
WMS,WHSInboundLoadPackingStructureEntity,WHSInboundLoadPackingStructureEntity.1.2.cdm.json/WHSInboundLoadPackingStructureEntity,,wms,whs_inbound_load_packing_structure_entity,Relationship_WHSInboundLoadHeaderEntityRelationshipId
WMS,WHSUSNationalMotorFreightClassificationCodeEntity,WHSUSNationalMotorFreightClassificationCodeEntity.1.2.cdm.json/WHSUSNationalMotorFreightClassificationCodeEntity,,wms,whsus_national_motor_freight_classification_code_entity,Relationship_WHSLTLClassRelationshipId
