cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Workflow,WorkflowWorkItemQueueEntity,WorkflowWorkItemQueueEntity.1.2.cdm.json/WorkflowWorkItemQueueEntity,,workflow,workflow_work_item_queue_entity,
Workflow,WorkflowWorkItemQueueAssignmentRuleEntity,WorkflowWorkItemQueueAssignmentRuleEntity.1.2.cdm.json/WorkflowWorkItemQueueAssignmentRuleEntity,,workflow,workflow_work_item_queue_assignment_rule_entity,Relationship_ExpressionTableRelationshipId
Workflow,WorkflowEscalationPathEntity,WorkflowEscalationPathEntity.1.2.cdm.json/WorkflowEscalationPathEntity,,workflow,workflow_escalation_path_entity,Relationship_WorkflowElementRelationshipId
Workflow,WorkflowVersionNotificationMessageEntity,WorkflowVersionNotificationMessageEntity.1.2.cdm.json/WorkflowVersionNotificationMessageEntity,,workflow,workflow_version_notification_message_entity,Relationship_ActiviationConditionRelationshipId
Workflow,ExpressionEntity,ExpressionEntity.1.2.cdm.json/ExpressionEntity,,workflow,expression_entity,
Workflow,WorkflowWorkItemQueueAssignmentEntity,WorkflowWorkItemQueueAssignmentEntity.1.1.1.cdm.json/WorkflowWorkItemQueueAssignmentEntity,,workflow,workflow_work_item_queue_assignment_entity,Relationship_WorkflowWorkItemQueueRelationshipId
Workflow,WorkflowParametersSystemEntity,WorkflowParametersSystemEntity.1.2.cdm.json/WorkflowParametersSystemEntity,,workflow,workflow_parameters_system_entity,Relationship_SysEmailSystemTableRelationshipId
Workflow,WorkflowElementNotificationEntity,WorkflowElementNotificationEntity.1.2.cdm.json/WorkflowElementNotificationEntity,,workflow,workflow_element_notification_entity,Relationship_WorkflowVersionRelationshipId
Workflow,WorkflowSubworkflowEntity,WorkflowSubworkflowEntity.1.2.cdm.json/WorkflowSubworkflowEntity,,workflow,workflow_subworkflow_entity,Relationship_ActiviationConditionRelationshipId
Workflow,WorkflowLineItemEntity,WorkflowLineItemEntity.1.2.cdm.json/WorkflowLineItemEntity,,workflow,workflow_line_item_entity,Relationship_ActiviationConditionRelationshipId
Workflow,WorkflowVersionNotificationEntity,WorkflowVersionNotificationEntity.1.2.cdm.json/WorkflowVersionNotificationEntity,,workflow,workflow_version_notification_entity,Relationship_ActiviationConditionRelationshipId
Workflow,WorkflowParallelBranchEntity,WorkflowParallelBranchEntity.1.1.1.cdm.json/WorkflowParallelBranchEntity,,workflow,workflow_parallel_branch_entity,Relationship_WorkflowVersionRelationshipId
Workflow,WorkflowWorkItemQueueGroupEntity,WorkflowWorkItemQueueGroupEntity.1.2.cdm.json/WorkflowWorkItemQueueGroupEntity,,workflow,workflow_work_item_queue_group_entity,
Workflow,WorkflowStepEntity,WorkflowStepEntity.1.2.cdm.json/WorkflowStepEntity,,workflow,workflow_step_entity,Relationship_WorkflowElementRelationshipId
Workflow,WorkflowStepMessageEntity,WorkflowStepMessageEntity.1.2.cdm.json/WorkflowStepMessageEntity,,workflow,workflow_step_message_entity,Relationship_WorkflowVersionRelationshipId
Workflow,WorkflowWorkItemQueueGroupRelationEntity,WorkflowWorkItemQueueGroupRelationEntity.1.2.cdm.json/WorkflowWorkItemQueueGroupRelationEntity,,workflow,workflow_work_item_queue_group_relation_entity,Relationship_WorkflowWorkitemQueueRelationshipId
Workflow,WorkflowVersionNotesEntity,WorkflowVersionNotesEntity.1.2.cdm.json/WorkflowVersionNotesEntity,,workflow,workflow_version_notes_entity,Relationship_ActiviationConditionRelationshipId
Workflow,WorkflowElementLinkEntity,WorkflowElementLinkEntity.1.2.cdm.json/WorkflowElementLinkEntity,,workflow,workflow_element_link_entity,Relationship_ActiviationConditionRelationshipId
Workflow,WorkflowVersionEntity,WorkflowVersionEntity.1.2.cdm.json/WorkflowVersionEntity,,workflow,workflow_version_entity,Relationship_ActiviationConditionRelationshipId
Workflow,WorkflowElementNotificationMessageEntity,WorkflowElementNotificationMessageEntity.1.2.cdm.json/WorkflowElementNotificationMessageEntity,,workflow,workflow_element_notification_message_entity,Relationship_WorkflowVersionRelationshipId
Workflow,WorkflowWorkItemQueueAssigneeEntity,WorkflowWorkItemQueueAssigneeEntity.1.2.cdm.json/WorkflowWorkItemQueueAssigneeEntity,,workflow,workflow_work_item_queue_assignee_entity,Relationship_WorkflowWorkitemQueueRelationshipId
Workflow,WorkflowParametersOrganizationEntity,WorkflowParametersOrganizationEntity.1.2.cdm.json/WorkflowParametersOrganizationEntity,,workflow,workflow_parameters_organization_entity,Relationship_SysEmailTableRelationshipId
Workflow,WorkflowElementEntity,WorkflowElementEntity.1.2.cdm.json/WorkflowElementEntity,,workflow,workflow_element_entity,Relationship_WorkflowVersionRelationshipId
Workflow,WorkflowElementOutcomeMessageEntity,WorkflowElementOutcomeMessageEntity.1.2.cdm.json/WorkflowElementOutcomeMessageEntity,,workflow,workflow_element_outcome_message_entity,Relationship_LanguageTableRelationshipId
Workflow,WorkflowElementActionEntity,WorkflowElementActionEntity.1.2.cdm.json/WorkflowElementActionEntity,,workflow,workflow_element_action_entity,Relationship_WorkflowElementTableRelationshipId
