cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
WorkflowCore,PlanDefinitionAction,PlanDefinitionAction.1.2.cdm.json/PlanDefinitionAction,An action to be taken as part of the plan.,workflow_core,plan_definition_action,createdBy
WorkflowCore,PlanDefinitionActionAction,PlanDefinitionActionAction.1.2.cdm.json/PlanDefinitionActionAction,Sub actions that are contained within the action. The behavior of this action determines the functionality of the sub-actions.,workflow_core,plan_definition_action_action,createdBy
WorkflowCore,PlanDefinitionActionArtifact,PlanDefinitionActionArtifact.1.2.cdm.json/PlanDefinitionActionArtifact,Didactic or other informational entities associated with the action that can be provided to the CDS recipient. Information entities can include inline text commentary and links to web resources.,workflow_core,plan_definition_action_artifact,createdBy
WorkflowCore,PlanDefinitionActionCode,PlanDefinitionActionCode.1.2.cdm.json/PlanDefinitionActionCode,"A code that provides meaning for the action or action group. For example, a section may have a LOINC code for a the section of a documentation template.",workflow_core,plan_definition_action_code,createdBy
WorkflowCore,PlanDefinitionActionCondition,PlanDefinitionActionCondition.1.2.cdm.json/PlanDefinitionActionCondition,"An expression that describes applicability criteria, or start/stop conditions for the action.",workflow_core,plan_definition_action_condition,createdBy
WorkflowCore,PlanDefinitionActionDynamicValue,PlanDefinitionActionDynamicValue.1.2.cdm.json/PlanDefinitionActionDynamicValue,Customization that should be applied to the statically defined entity.,workflow_core,plan_definition_action_dynamic_value,createdBy
WorkflowCore,PlanDefinitionActionGoal,PlanDefinitionActionGoal.1.2.cdm.json/PlanDefinitionActionGoal,Identifies goals that this action supports. The reference must be to a goal element defined within this plan definition.,workflow_core,plan_definition_action_goal,createdBy
WorkflowCore,PlanDefinitionActionInput,PlanDefinitionActionInput.1.2.cdm.json/PlanDefinitionActionInput,Defines input data requirements for the action.,workflow_core,plan_definition_action_input,createdBy
WorkflowCore,PlanDefinitionActionOutput,PlanDefinitionActionOutput.1.2.cdm.json/PlanDefinitionActionOutput,"Defines the outputs of the action, if any.",workflow_core,plan_definition_action_output,createdBy
WorkflowCore,PlanDefinitionActionReason,PlanDefinitionActionReason.1.2.cdm.json/PlanDefinitionActionReason,A description of why this action is necessary or appropriate.,workflow_core,plan_definition_action_reason,createdBy
WorkflowCore,PlanDefinitionActionRelatedAction,PlanDefinitionActionRelatedAction.1.2.cdm.json/PlanDefinitionActionRelatedAction,"A relationship to another action such as ""before"" or ""30-60 minutes after start of"".",workflow_core,plan_definition_action_related_action,createdBy
