cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
automotive,Lead,Lead.1.5.cdm.json/Lead,"Prospect or potential sales opportunity. Leads are converted into accounts, contacts, or opportunities when they are qualified. Otherwise, they are deleted or archived.",automotive,lead,createdBy
automotive,AggregateKPIMeasurement,AggregateKPIMeasurement.1.4.cdm.json/AggregateKPIMeasurement,Measured value for a given aggregate KPI in a given context.,automotive,aggregate_kpi_measurement,createdBy
automotive,AggregateKPI,AggregateKPI.1.4.cdm.json/AggregateKPI,"Type of KPIs that can be useful for tracking customer, device or business performance.",automotive,aggregate_kpi,createdBy
automotive,AggregateKPIContext,AggregateKPIContext.1.4.cdm.json/AggregateKPIContext,"Context of a given customer, device, business operation or user, in which a given aggregate KPI may be applicable and may have a given target value.",automotive,aggregate_kpi_context,createdBy
automotive,AttributeGroup,AttributeGroup.1.3.cdm.json/AttributeGroup,"Group of attribute types, for example representing dimensions, interior, exterior, environmental or other aspects of a device.",automotive,attribute_group,createdBy
automotive,AttributeOption,AttributeOption.1.4.cdm.json/AttributeOption,Available option for an attribute type that require its value to be selected from a list.,automotive,attribute_option,createdBy
automotive,AttributeType,AttributeType.1.4.cdm.json/AttributeType,"Type of entry in a device specification, such as length, fuel type, color or any other property that characterizes a given device.",automotive,attribute_type,createdBy
automotive,AutoLeadToOpportunitySalesProcess,AutoLeadToOpportunitySalesProcess.1.4.cdm.json/AutoLeadToOpportunitySalesProcess,Base entity for process Auto Lead to Opportunity Sales Process,automotive,auto_lead_to_opportunity_sales_process,leadId
automotive,Business,Business.1.3.cdm.json/Business,"Legal entity or organization representing, for example, a national sales company, importer, distributor, dealer group or dealer in the ecosystem.",automotive,business,createdBy
automotive,BusinessFacility,BusinessFacility.1.3.cdm.json/BusinessFacility,Physical facility or building where a business runs operations.,automotive,business_facility,createdBy
automotive,BusinessOperation,BusinessOperation.1.3.cdm.json/BusinessOperation,"Operation run at a business facility, such as new car sales showroom, used car sales or service center.",automotive,business_operation,createdBy
automotive,BusinessOperationCustomerPreference,BusinessOperationCustomerPreference.1.3.cdm.json/BusinessOperationCustomerPreference,"Customer preference for a given type of business operation, such as preferred service center or rental depot.",automotive,business_operation_customer_preference,createdBy
automotive,BusinessType,BusinessType.1.3.cdm.json/BusinessType,"Type of business, such as national sales company, importer, distributor, dealer group or dealer.",automotive,business_type,createdBy
automotive,ConfigurationCode,ConfigurationCode.1.3.cdm.json/ConfigurationCode,Unique OEM code for a given combination of configuration options.,automotive,configuration_code,createdBy
automotive,ConfigurationOption,ConfigurationOption.1.3.cdm.json/ConfigurationOption,Configuration option included in devices with a given configuration code.,automotive,configuration_option,createdBy
automotive,CustomerAttachment,CustomerAttachment.1.3.cdm.json/CustomerAttachment,Document or file related to a given customer or deal file.,automotive,customer_attachment,createdBy
automotive,CustomerIdentifier,CustomerIdentifier.1.3.cdm.json/CustomerIdentifier,"Unique identifier for a customer, such as customer number or manufacturers ID.",automotive,customer_identifier,createdBy
automotive,CustomerIdentifierType,CustomerIdentifierType.1.3.cdm.json/CustomerIdentifierType,"Type of customer identifier, such as customer number or manufacturer ID.",automotive,customer_identifier_type,createdBy
automotive,Deal,Deal.1.5.cdm.json/Deal,"Business proposal for the sale of one or more vehicle or device, including optional trade-ins, add-ons and financial terms.",automotive,deal,createdBy
automotive,DealCustomer,DealCustomer.1.5.cdm.json/DealCustomer,Customer associated with a given deal.,automotive,deal_customer,createdBy
automotive,DealDevice,DealDevice.1.5.cdm.json/DealDevice,"Vehicle or device that is the subject of a deal, which may involve one or more vehicle or device.",automotive,deal_device,createdBy
automotive,DealDeviceAddOn,DealDeviceAddOn.1.3.cdm.json/DealDeviceAddOn,Additional product or service offered with a given vehicle or device in a deal.,automotive,deal_device_add_on,createdBy
automotive,DealerPlate,DealerPlate.1.3.cdm.json/DealerPlate,License plate applied temporarily to vehicles to provide services such as test drives.,automotive,dealer_plate,createdBy
automotive,DealerPlateDeviceAssignment,DealerPlateDeviceAssignment.1.5.cdm.json/DealerPlateDeviceAssignment,Record of which dealer plates were used on which vehicle or device over time.,automotive,dealer_plate_device_assignment,createdBy
automotive,DealFile,DealFile.1.5.cdm.json/DealFile,Container for deals relating to a given opportunity.,automotive,deal_file,createdBy
automotive,DealTerm,DealTerm.1.3.cdm.json/DealTerm,Terms applicable a given type of deal.,automotive,deal_term,createdBy
automotive,DealType,DealType.1.3.cdm.json/DealType,"Type of deal, such as new car sales, used car sales, heavy equipment sales, and so on.",automotive,deal_type,createdBy
automotive,Device,Device.1.4.cdm.json/Device,"Physical piece of equipment of considerable value such as a vehicle or a device such as an excavator, that can be tracked through its entire life cycle of trade, ownership and service and may be related to one or more customers over time.",automotive,device,createdBy
automotive,DeviceBrand,DeviceBrand.1.3.cdm.json/DeviceBrand,"Brand name of a vehicle or device manufacturer, main vendor for a group of devices or manufacturer or main vendor for supplier items.",automotive,device_brand,createdBy
automotive,DeviceClass,DeviceClass.1.3.cdm.json/DeviceClass,Family of vehicles or devices for the specific brand provided by the manufacturer.,automotive,device_class,createdBy
automotive,DeviceComponent,DeviceComponent.1.4.cdm.json/DeviceComponent,Physical or logical part of a vehicle or device.,automotive,device_component,createdBy
automotive,DeviceGeneration,DeviceGeneration.1.3.cdm.json/DeviceGeneration,Specific period in the evolution of a device class over time.,automotive,device_generation,createdBy
automotive,DeviceInspection,DeviceInspection.1.4.cdm.json/DeviceInspection,Record of inspections carried out on a given vehicle or device over time.,automotive,device_inspection,createdBy
automotive,DeviceInspectionChecklist,DeviceInspectionChecklist.1.3.cdm.json/DeviceInspectionChecklist,"Specific checklist of a given type, such as a pre-delivery inspection or a checklist used for a specific type of service.",automotive,device_inspection_checklist,createdBy
automotive,DeviceInspectionChecklistType,DeviceInspectionChecklistType.1.3.cdm.json/DeviceInspectionChecklistType,"Type of checklist, such as pre-delivery or service.",automotive,device_inspection_checklist_type,createdBy
automotive,DeviceLicensePlate,DeviceLicensePlate.1.4.cdm.json/DeviceLicensePlate,Record of license plates assigned to a given vehicle or device over time.,automotive,device_license_plate,createdBy
automotive,DeviceMeasure,DeviceMeasure.1.3.cdm.json/DeviceMeasure,"Specific measurable quantity related to a vehicle or device that is used to track usage over time, such as miles driven, engine hours or time since purchase.",automotive,device_measure,createdBy
automotive,DeviceMeasurement,DeviceMeasurement.1.4.cdm.json/DeviceMeasurement,Record of usage measurements for a given vehicle or device over time.,automotive,device_measurement,createdBy
automotive,DeviceMeter,DeviceMeter.1.4.cdm.json/DeviceMeter,"Usage meter attached to a specific vehicle or device, such as odometer or fuel gauge.",automotive,device_meter,createdBy
automotive,DeviceModel,DeviceModel.1.3.cdm.json/DeviceModel,"Sub-type of a device class, which may be identified by specific engine option, body styles and other common characteristics. Breaks down further into device model codes.",automotive,device_model,createdBy
automotive,DeviceModelCode,DeviceModelCode.1.4.cdm.json/DeviceModelCode,"Specific configuration of a device, such as a vehicle of specific generation, body style, engine option and transmission.",automotive,device_model_code,createdBy
automotive,DeviceObservation,DeviceObservation.1.4.cdm.json/DeviceObservation,"Important observation on the state of a given vehicle or device, typically resulting from an inspection.",automotive,device_observation,createdBy
automotive,DeviceObservationType,DeviceObservationType.1.4.cdm.json/DeviceObservationType,"Type of observation, indicating severity and nature of the observation and typically used for classification and filtering of observations.",automotive,device_observation_type,createdBy
automotive,DeviceRegistration,DeviceRegistration.1.4.cdm.json/DeviceRegistration,Record of registrations of a specific vehicle or device to specific customers over time.,automotive,device_registration,createdBy
automotive,DeviceSensor,DeviceSensor.1.4.cdm.json/DeviceSensor,Sensor attached to or as part of a vehicle or device. May provide signals of device health or usage.,automotive,device_sensor,createdBy
automotive,DeviceState,DeviceState.1.4.cdm.json/DeviceState,"Describes state of a vehicle or device, such as New, Used or Scrapped.",automotive,device_state,createdBy
automotive,DeviceStyle,DeviceStyle.1.3.cdm.json/DeviceStyle,"Distinctive form or type of vehicle or device such as sedan or station wagon car, wheeled or crawler excavator, and so on.",automotive,device_style,createdBy
automotive,DeviceType,DeviceType.1.3.cdm.json/DeviceType,"Fundamental type of device, such as vehicle, truck, harvester, boat engine, and so on.",automotive,device_type,createdBy
automotive,DeviceVariant,DeviceVariant.1.4.cdm.json/DeviceVariant,"Standard variant of a device model code, with special characteristics such as a specific OEM-fitted accessory package or being a limited edition.",automotive,device_variant,createdBy
automotive,DeviceWarranty,DeviceWarranty.1.4.cdm.json/DeviceWarranty,Relationship indicating that a specific warranty applies to a specific vehicle or device.,automotive,device_warranty,createdBy
automotive,DeviceWarrantyLimit,DeviceWarrantyLimit.1.4.cdm.json/DeviceWarrantyLimit,"Limits of a specific warranty on a specific vehicle or device, such as maximum mileage or specific expiration date.",automotive,device_warranty_limit,createdBy
automotive,FinancingOpportunity,FinancingOpportunity.1.5.cdm.json/FinancingOpportunity,Financing opportunity associated with a specific vehicle or device included in a lead.,automotive,financing_opportunity,createdBy
