cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
default,ActionEvent,actionevent.1.0.cdm.json/ActionEvent,,default,action_event,BusinessUnitId
default,ActivityContactBlocked,activitycontactblocked.1.0.cdm.json/ActivityContactBlocked,,default,activity_contact_blocked,BusinessUnitId
default,ActivityContactBlockedBusinessUnit,activitycontactblockedbusinessunit.1.0.cdm.json/ActivityContactBlockedBusinessUnit,,default,activity_contact_blocked_business_unit,BusinessUnitId
default,ActivityContactBlockedConsent,activitycontactblockedconsent.1.0.cdm.json/ActivityContactBlockedConsent,,default,activity_contact_blocked_consent,BusinessUnitId
default,ActivityContactBlockedExternalConsent,activitycontactblockedexternalconsent.1.0.cdm.json/ActivityContactBlockedExternalConsent,,default,activity_contact_blocked_external_consent,BusinessUnitId
default,ActivityContactBlockedSuppression,activitycontactblockedsuppression.1.0.cdm.json/ActivityContactBlockedSuppression,,default,activity_contact_blocked_suppression,BusinessUnitId
default,ActivityContactDispatched,activitycontactdispatched.1.0.cdm.json/ActivityContactDispatched,,default,activity_contact_dispatched,BusinessUnitId
default,ActivityContactExpired,activitycontactexpired.1.0.cdm.json/ActivityContactExpired,,default,activity_contact_expired,BusinessUnitId
default,ActivityContactProcessingFailed,activitycontactprocessingfailed.1.0.cdm.json/ActivityContactProcessingFailed,,default,activity_contact_processing_failed,BusinessUnitId
default,ConfirmationRequest,confirmationrequest.1.0.cdm.json/ConfirmationRequest,,default,confirmation_request,ConfirmationRequestId
default,ConfirmationResponse,confirmationresponse.1.0.cdm.json/ConfirmationResponse,,default,confirmation_response,
default,ContactDeleted,contactdeleted.1.0.cdm.json/ContactDeleted,,default,contact_deleted,
default,CreateCrmActivityContactProcessed,createcrmactivitycontactprocessed.1.0.cdm.json/CreateCrmActivityContactProcessed,,default,create_crm_activity_contact_processed,BusinessUnitId
default,CreateCustomChannelActivityContactProcessed,createcustomchannelactivitycontactprocessed.1.0.cdm.json/CreateCustomChannelActivityContactProcessed,,default,create_custom_channel_activity_contact_processed,BusinessUnitId
default,CreateLeadActivityContactProcessed,createleadactivitycontactprocessed.1.0.cdm.json/CreateLeadActivityContactProcessed,,default,create_lead_activity_contact_processed,BusinessUnitId
default,CustomBounced,custombounced.1.0.cdm.json/CustomBounced,,default,custom_bounced,MessageId
default,CustomChannelResponse,customchannelresponse.1.0.cdm.json/CustomChannelResponse,,default,custom_channel_response,BusinessUnitId
default,CustomDelivered,customdelivered.1.0.cdm.json/CustomDelivered,,default,custom_delivered,
default,CustomerJourneyContactRecordUpdated,customerjourneycontactrecordupdated.1.0.cdm.json/CustomerJourneyContactRecordUpdated,,default,customer_journey_contact_record_updated,
default,CustomerJourneyIterationStarted,customerjourneyiterationstarted.1.0.cdm.json/CustomerJourneyIterationStarted,,default,customer_journey_iteration_started,
default,CustomLinkClicked,customlinkclicked.1.0.cdm.json/CustomLinkClicked,,default,custom_link_clicked,
default,CustomNotSent,customnotsent.1.0.cdm.json/CustomNotSent,,default,custom_not_sent,MessageId
default,CustomSent,customsent.1.0.cdm.json/CustomSent,,default,custom_sent,MessageId
default,DomainNotOwnedByAnyone,domainnotownedbyanyone.1.0.cdm.json/DomainNotOwnedByAnyone,,default,domain_not_owned_by_anyone,
default,DomainOwnedByDifferentOrganization,domainownedbydifferentorganization.1.0.cdm.json/DomainOwnedByDifferentOrganization,,default,domain_owned_by_different_organization,BusinessUnitId
default,EmailAddressOptedOut,emailaddressoptedout.1.0.cdm.json/EmailAddressOptedOut,,default,email_address_opted_out,MessageId
default,EmailBlockBounced,emailblockbounced.1.0.cdm.json/EmailBlockBounced,,default,email_block_bounced,BusinessUnitId
default,EmailBlocked,emailblocked.1.0.cdm.json/EmailBlocked,,default,email_blocked,MessageId
default,EmailBlockedByActivityExpiration,emailblockedbyactivityexpiration.1.0.cdm.json/EmailBlockedByActivityExpiration,,default,email_blocked_by_activity_expiration,MessageId
default,EmailBlockedByUnsubscription,emailblockedbyunsubscription.1.0.cdm.json/EmailBlockedByUnsubscription,,default,email_blocked_by_unsubscription,MessageId
default,EmailBlockedByUser,emailblockedbyuser.1.0.cdm.json/EmailBlockedByUser,,default,email_blocked_by_user,SendingId
default,EmailBlockedConsentNotGiven,emailblockedconsentnotgiven.1.0.cdm.json/EmailBlockedConsentNotGiven,,default,email_blocked_consent_not_given,MessageId
default,EmailBlockedContactabilityDoNotEmail,emailblockedcontactabilitydonotemail.1.0.cdm.json/EmailBlockedContactabilityDoNotEmail,,default,email_blocked_contactability_do_not_email,MessageId
default,EmailBlockedDomainDeliverability,emailblockeddomaindeliverability.1.0.cdm.json/EmailBlockedDomainDeliverability,,default,email_blocked_domain_deliverability,MessageId
default,EmailBlockedDuplicateAddress,emailblockedduplicateaddress.1.0.cdm.json/EmailBlockedDuplicateAddress,,default,email_blocked_duplicate_address,MessageId
default,EmailBlockedExternalConsentFailure,emailblockedexternalconsentfailure.1.0.cdm.json/EmailBlockedExternalConsentFailure,,default,email_blocked_external_consent_failure,MessageId
default,EmailBlockedFrequencyCapReached,emailblockedfrequencycapreached.1.0.cdm.json/EmailBlockedFrequencyCapReached,,default,email_blocked_frequency_cap_reached,MessageId
default,EmailBlockedInactiveContact,emailblockedinactivecontact.1.0.cdm.json/EmailBlockedInactiveContact,,default,email_blocked_inactive_contact,MessageId
default,EmailBlockedInvalidRecipientAddress,emailblockedinvalidrecipientaddress.1.0.cdm.json/EmailBlockedInvalidRecipientAddress,,default,email_blocked_invalid_recipient_address,MessageId
default,EmailBlockedInvalidReplyToAddress,emailblockedinvalidreplytoaddress.1.0.cdm.json/EmailBlockedInvalidReplyToAddress,,default,email_blocked_invalid_reply_to_address,MessageId
default,EmailBlockedInvalidSenderAddress,emailblockedinvalidsenderaddress.1.0.cdm.json/EmailBlockedInvalidSenderAddress,,default,email_blocked_invalid_sender_address,MessageId
default,EmailBlockedMissingContactData,emailblockedmissingcontactdata.1.0.cdm.json/EmailBlockedMissingContactData,,default,email_blocked_missing_contact_data,MessageId
default,EmailBlockedMissingRelatedData,emailblockedmissingrelateddata.1.0.cdm.json/EmailBlockedMissingRelatedData,,default,email_blocked_missing_related_data,MessageId
default,EmailBlockedOtherReason,emailblockedotherreason.1.0.cdm.json/EmailBlockedOtherReason,,default,email_blocked_other_reason,MessageId
default,EmailBlockedTrialQuotaExceeded,emailblockedtrialquotaexceeded.1.0.cdm.json/EmailBlockedTrialQuotaExceeded,,default,email_blocked_trial_quota_exceeded,MessageId
default,EmailBounceCacheBlocked,emailbouncecacheblocked.1.0.cdm.json/EmailBounceCacheBlocked,,default,email_bounce_cache_blocked,MessageId
default,EmailBounced,emailbounced.1.0.cdm.json/EmailBounced,,default,email_bounced,CustomerJourneyId
default,EmailCcSent,emailccsent.1.0.cdm.json/EmailCcSent,,default,email_cc_sent,MessageId
default,EmailClicked,emailclicked.1.0.cdm.json/EmailClicked,,default,email_clicked,
default,EmailContainsBlacklistedLinks,emailcontainsblacklistedlinks.1.0.cdm.json/EmailContainsBlacklistedLinks,,default,email_contains_blacklisted_links,
default,EmailDelivered,emaildelivered.1.0.cdm.json/EmailDelivered,,default,email_delivered,MessageId
default,EmailFeedbackLoop,emailfeedbackloop.1.0.cdm.json/EmailFeedbackLoop,,default,email_feedback_loop,MessageId
default,EmailForwarded,emailforwarded.1.0.cdm.json/EmailForwarded,,default,email_forwarded,
default,EmailHardBounced,emailhardbounced.1.0.cdm.json/EmailHardBounced,,default,email_hard_bounced,MessageId
default,EmailHardRemoteBounced,emailhardremotebounced.1.0.cdm.json/EmailHardRemoteBounced,,default,email_hard_remote_bounced,CustomerJourneyId
default,EmailOpened,emailopened.1.0.cdm.json/EmailOpened,,default,email_opened,
default,EmailSendingFailed,emailsendingfailed.1.0.cdm.json/EmailSendingFailed,,default,email_sending_failed,
default,EmailSent,emailsent.1.0.cdm.json/EmailSent,,default,email_sent,AccountId
default,EmailSoftBounced,emailsoftbounced.1.0.cdm.json/EmailSoftBounced,,default,email_soft_bounced,MessageId
default,EmailSoftRemoteBounced,emailsoftremotebounced.1.0.cdm.json/EmailSoftRemoteBounced,,default,email_soft_remote_bounced,CustomerJourneyId
default,EmailSubscriptionSubmit,emailsubscriptionsubmit.1.0.cdm.json/EmailSubscriptionSubmit,,default,email_subscription_submit,
default,EntityDeleted,entitydeleted.1.0.cdm.json/EntityDeleted,,default,entity_deleted,
default,EventCheckIn,eventcheckin.1.0.cdm.json/EventCheckIn,,default,event_check_in,EventCheckInId
default,EventRegistration,eventregistration.1.0.cdm.json/EventRegistration,,default,event_registration,EventRegistrationId
default,EventRegistrationCanceled,eventregistrationcanceled.1.0.cdm.json/EventRegistrationCanceled,,default,event_registration_canceled,
default,FormsProSurveyOpened,formsprosurveyopened.1.0.cdm.json/FormsProSurveyOpened,,default,forms_pro_survey_opened,SendingId
