cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
electronicMedicalRecords,Account,Account.2.4.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,electronic_medical_records,account,createdBy
electronicMedicalRecords,Contact,Contact.2.4.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",electronic_medical_records,contact,createdBy
electronicMedicalRecords,Address,Address.2.3.cdm.json/Address,Address and shipping information. Used to store additional addresses for an account or contact.,electronic_medical_records,address,customerAddressId
electronicMedicalRecords,AccountType,AccountType.1.3.cdm.json/AccountType,,electronic_medical_records,account_type,createdBy
electronicMedicalRecords,ActivityDefinitionBodySite,ActivityDefinitionBodySite.1.3.cdm.json/ActivityDefinitionBodySite,Indicates the sites on the subject's body where the procedure should be performed (I.e. the target sites).,electronic_medical_records,activity_definition_body_site,createdBy
electronicMedicalRecords,ActivityDefinitionContact,ActivityDefinitionContact.1.4.cdm.json/ActivityDefinitionContact,Contact details to assist a user in finding and communicating with the publisher.,electronic_medical_records,activity_definition_contact,createdBy
electronicMedicalRecords,ActivityDefinitionContributor,ActivityDefinitionContributor.1.4.cdm.json/ActivityDefinitionContributor,"A contributor to the content of the asset, including authors, editors, reviewers, and endorsers.",electronic_medical_records,activity_definition_contributor,createdBy
electronicMedicalRecords,ActivityDefinitionContributorContact,ActivityDefinitionContributorContact.1.4.cdm.json/ActivityDefinitionContributorContact,Contact details to assist a user in finding and communicating with the contributor.,electronic_medical_records,activity_definition_contributor_contact,createdBy
electronicMedicalRecords,ActivityDefinitionDosage,ActivityDefinitionDosage.1.4.cdm.json/ActivityDefinitionDosage,Provides detailed dosage instructions in the same way that they are described for Medication Request entities.,electronic_medical_records,activity_definition_dosage,createdBy
electronicMedicalRecords,ActivityDefinitionDynamicValue,ActivityDefinitionDynamicValue.1.4.cdm.json/ActivityDefinitionDynamicValue,Dynamic values that will be evaluated to produce values for elements of the resulting entity.,electronic_medical_records,activity_definition_dynamic_value,createdBy
electronicMedicalRecords,ActivityDefinitionJurisdiction,ActivityDefinitionJurisdiction.1.4.cdm.json/ActivityDefinitionJurisdiction,A legal or geographic region in which the activity definition is intended to be used.,electronic_medical_records,activity_definition_jurisdiction,createdBy
electronicMedicalRecords,ActivityDefinitionLibrary,ActivityDefinitionLibrary.1.4.cdm.json/ActivityDefinitionLibrary,A reference to a Library entity containing any formal logic used by the asset.,electronic_medical_records,activity_definition_library,createdBy
electronicMedicalRecords,ActivityDefinitionParticipant,ActivityDefinitionParticipant.1.4.cdm.json/ActivityDefinitionParticipant,Indicates who should participate in performing the action described.,electronic_medical_records,activity_definition_participant,createdBy
electronicMedicalRecords,ActivityDefinitionRelatedArtifact,ActivityDefinitionRelatedArtifact.1.4.cdm.json/ActivityDefinitionRelatedArtifact,"Related artifacts such as additional documentation, justification, or bibliographic references.",electronic_medical_records,activity_definition_related_artifact,createdBy
electronicMedicalRecords,ActivityDefinitionTopic,ActivityDefinitionTopic.1.4.cdm.json/ActivityDefinitionTopic,Descriptive topics related to the content of the activity. Topics provide a high-level categorization of the activity that can be useful for filtering and searching.,electronic_medical_records,activity_definition_topic,createdBy
electronicMedicalRecords,ActivityDefinitionUseContext,ActivityDefinitionUseContext.1.4.cdm.json/ActivityDefinitionUseContext,The content was developed with a focus and intent of supporting the contexts that are listed. These terms may be used to assist with indexing and searching for appropriate activity definition instance,electronic_medical_records,activity_definition_use_context,createdBy
electronicMedicalRecords,AdditionalName,AdditionalName.1.4.cdm.json/AdditionalName,It consists the patient additional names.,electronic_medical_records,additional_name,createdBy
electronicMedicalRecords,AllergyIntolerance,AllergyIntolerance.2.4.cdm.json/AllergyIntolerance,"Risk of harmful or undesirable, physiological response which is unique to an individual and associated with exposure to a substance.",electronic_medical_records,allergy_intolerance,createdBy
electronicMedicalRecords,AppointmentEMR,AppointmentEMR.1.4.cdm.json/AppointmentEMR,"A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time. This may result in one or more Encounter(s).",electronic_medical_records,appointment_emr,createdBy
electronicMedicalRecords,AppointmentEMRIndication,AppointmentEMRIndication.1.4.cdm.json/AppointmentEMRIndication,"Reason the appointment has been scheduled to take place, as specified using information from another entity. The indication will typically be a Condition or a Procedure",electronic_medical_records,appointment_emr_indication,createdBy
