cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
interactions,ActivityContactDispatched,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,,interactions,activity_contact_dispatched,id
interactions,ActivityContactProcessingFailed,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,,interactions,activity_contact_processing_failed,id
interactions,ContactCheckedIntoEvent,ContactCheckedIntoEvent.0.9.2.cdm.json/ContactCheckedIntoEvent,,interactions,contact_checked_into_event,id
interactions,ContactRegisteredToEvent,ContactRegisteredToEvent.0.9.2.cdm.json/ContactRegisteredToEvent,,interactions,contact_registered_to_event,id
interactions,CreateCrmActivityContactProcessed,CreateCrmActivityContactProcessed.0.9.2.cdm.json/CreateCrmActivityContactProcessed,,interactions,create_crm_activity_contact_processed,id
interactions,CreateCustomChannelActivityContactProcessed,CreateCustomChannelActivityContactProcessed.0.9.2.cdm.json/CreateCustomChannelActivityContactProcessed,,interactions,create_custom_channel_activity_contact_processed,id
interactions,CustomChannelResponse,CustomChannelResponse.0.9.2.cdm.json/CustomChannelResponse,,interactions,custom_channel_response,id
interactions,CustomerJourneyContactRecordUpdated,CustomerJourneyContactRecordUpdated.0.9.2.cdm.json/CustomerJourneyContactRecordUpdated,,interactions,customer_journey_contact_record_updated,id
interactions,EmailBlockBounced,EmailBlockBounced.0.9.2.cdm.json/EmailBlockBounced,,interactions,email_block_bounced,id
interactions,EmailBlocked,EmailBlocked.0.9.2.cdm.json/EmailBlocked,,interactions,email_blocked,id
interactions,EmailClicked,EmailClicked.0.9.2.cdm.json/EmailClicked,,interactions,email_clicked,id
interactions,EmailContainsBlacklistedLinks,EmailContainsBlacklistedLinks.0.9.2.cdm.json/EmailContainsBlacklistedLinks,,interactions,email_contains_blacklisted_links,id
interactions,EmailDelivered,EmailDelivered.0.9.2.cdm.json/EmailDelivered,,interactions,email_delivered,id
interactions,EmailFeedbackLoop,EmailFeedbackLoop.0.9.2.cdm.json/EmailFeedbackLoop,,interactions,email_feedback_loop,id
interactions,EmailForwarded,EmailForwarded.0.9.2.cdm.json/EmailForwarded,,interactions,email_forwarded,id
interactions,EmailHardBounced,EmailHardBounced.0.9.2.cdm.json/EmailHardBounced,,interactions,email_hard_bounced,id
interactions,EmailOpened,EmailOpened.0.11.cdm.json/EmailOpened,,interactions,email_opened,id
interactions,EmailSendingFailed,EmailSendingFailed.0.9.2.cdm.json/EmailSendingFailed,,interactions,email_sending_failed,id
interactions,EmailSent,EmailSent.0.9.2.cdm.json/EmailSent,,interactions,email_sent,id
interactions,EmailSoftBounced,EmailSoftBounced.0.9.2.cdm.json/EmailSoftBounced,,interactions,email_soft_bounced,id
interactions,EmailSubscriptionSubmit,EmailSubscriptionSubmit.0.9.2.cdm.json/EmailSubscriptionSubmit,,interactions,email_subscription_submit,id
interactions,FormSubmitted,FormSubmitted.0.9.2.cdm.json/FormSubmitted,,interactions,form_submitted,id
interactions,FormVisited,FormVisited.0.9.2.cdm.json/FormVisited,,interactions,form_visited,id
interactions,InvalidRecipientAddress,InvalidRecipientAddress.0.9.2.cdm.json/InvalidRecipientAddress,,interactions,invalid_recipient_address,id
interactions,InvalidSenderAddress,InvalidSenderAddress.0.9.2.cdm.json/InvalidSenderAddress,,interactions,invalid_sender_address,id
interactions,LeadScoreBoost,LeadScoreBoost.0.10.cdm.json/LeadScoreBoost,,interactions,lead_score_boost,id
interactions,OutOfEmailCredits,OutOfEmailCredits.0.9.2.cdm.json/OutOfEmailCredits,,interactions,out_of_email_credits,id
interactions,PassThroughActivityContactProcessed,PassThroughActivityContactProcessed.0.9.2.cdm.json/PassThroughActivityContactProcessed,,interactions,pass_through_activity_contact_processed,id
interactions,RedirectLinkClicked,RedirectLinkClicked.0.9.2.cdm.json/RedirectLinkClicked,,interactions,redirect_link_clicked,id
interactions,SchedulerActivityContactProcessed,SchedulerActivityContactProcessed.0.9.2.cdm.json/SchedulerActivityContactProcessed,,interactions,scheduler_activity_contact_processed,id
interactions,SegmentRelationshipEdited,SegmentRelationshipEdited.0.9.2.cdm.json/SegmentRelationshipEdited,,interactions,segment_relationship_edited,id
interactions,SegmentSubscribed,SegmentSubscribed.0.9.2.cdm.json/SegmentSubscribed,,interactions,segment_subscribed,id
interactions,SegmentUnsubscribed,SegmentUnsubscribed.0.9.2.cdm.json/SegmentUnsubscribed,,interactions,segment_unsubscribed,id
interactions,SplitterActivityContactProcessed,SplitterActivityContactProcessed.0.9.2.cdm.json/SplitterActivityContactProcessed,,interactions,splitter_activity_contact_processed,id
interactions,SurveyResponse,SurveyResponse.0.9.2.cdm.json/SurveyResponse,,interactions,survey_response,id
interactions,TriggerActivityContactProcessed,TriggerActivityContactProcessed.0.9.2.cdm.json/TriggerActivityContactProcessed,,interactions,trigger_activity_contact_processed,id
interactions,TriggerCrmWorkflowActivityContactProcessed,TriggerCrmWorkflowActivityContactProcessed.0.9.2.cdm.json/TriggerCrmWorkflowActivityContactProcessed,,interactions,trigger_crm_workflow_activity_contact_processed,id
interactions,WebsiteClicked,WebsiteClicked.0.9.3.cdm.json/WebsiteClicked,,interactions,website_clicked,id
interactions,WebsiteVisited,WebsiteVisited.0.9.3.cdm.json/WebsiteVisited,,interactions,website_visited,id
