cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
marketing,Appointment,Appointment.1.4.cdm.json/Appointment,Commitment representing a time interval with start/end times and duration.,marketing,appointment,createdBy
marketing,Connection,Connection.1.4.cdm.json/Connection,Relationship between two entities.,marketing,connection,modifiedBy
marketing,Contact,Contact.1.4.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",marketing,contact,createdBy
marketing,ContentSettings,ContentSettings.1.3.cdm.json/ContentSettings,,marketing,content_settings,createdBy
marketing,CustomerJourney,CustomerJourney.1.4.cdm.json/CustomerJourney,,marketing,customer_journey,createdBy
marketing,FormPage,FormPage.1.4.cdm.json/FormPage,,marketing,form_page,createdBy
marketing,GeoPin,GeoPin.1.4.cdm.json/GeoPin,,marketing,geo_pin,createdBy
marketing,Lead,Lead.1.4.cdm.json/Lead,"Prospect or potential sales opportunity. Leads are converted into accounts, contacts, or opportunities when they are qualified. Otherwise, they are deleted or archived.",marketing,lead,createdBy
marketing,ListForm,ListForm.1.3.cdm.json/ListForm,,marketing,list_form,createdBy
marketing,MarketingEmail,MarketingEmail.1.3.cdm.json/MarketingEmail,,marketing,marketing_email,createdBy
marketing,MarketingForm,MarketingForm.1.3.cdm.json/MarketingForm,,marketing,marketing_form,createdBy
marketing,MarketingList,MarketingList.1.3.cdm.json/MarketingList,Group of existing or potential customers created for a marketing campaign or other sales purposes.,marketing,marketing_list,createdBy
marketing,MarketingPage,MarketingPage.1.4.cdm.json/MarketingPage,,marketing,marketing_page,createdBy
marketing,MarketingWebsite,MarketingWebsite.1.3.cdm.json/MarketingWebsite,,marketing,marketing_website,createdBy
marketing,PhoneCall,PhoneCall.1.4.cdm.json/PhoneCall,Activity to track a telephone call.,marketing,phone_call,createdBy
marketing,Segment,Segment.1.3.cdm.json/Segment,,marketing,segment,createdBy
marketing,Task,Task.1.3.cdm.json/Task,Generic activity representing work needed to be done.,marketing,task,createdBy
