cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
nonProfitIati,Account,Account.1.5.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,non_profit_iati,account,createdBy
nonProfitIati,Campaign,Campaign.2.3.cdm.json/Campaign,"Container for campaign activities and responses, sales literature, products, and lists to create, plan, execute, and track the results of a specific marketing campaign through its life.",non_profit_iati,campaign,createdBy
nonProfitIati,Contact,Contact.1.5.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",non_profit_iati,contact,createdBy
nonProfitIati,AidType,AidType.2.4.cdm.json/AidType,"The type of aid being supplied (project-type intervention, budget support, debt relief, etc.).",non_profit_iati,aid_type,createdBy
nonProfitIati,Condition,Condition.2.4.cdm.json/Condition,"Specific terms and conditions attached to the Delivery Framework that, if not met, may influence the delivery of commitments made by participating organizations.",non_profit_iati,condition,createdBy
nonProfitIati,CrsOtherFlag,CrsOtherFlag.2.4.cdm.json/CrsOtherFlag,This covers the four CRS++ columns titled: “Free standing technical cooperation”; “Programme-based approach”; “Investment project”; “Associated financing”,non_profit_iati,crs_other_flag,createdBy
nonProfitIati,DeliveryFrameworkContact,DeliveryFrameworkContact.2.4.cdm.json/DeliveryFrameworkContact,Contact information for the Delivery Framework.,non_profit_iati,delivery_framework_contact,createdBy
nonProfitIati,DeliveryFrameworkDescription,DeliveryFrameworkDescription.2.4.cdm.json/DeliveryFrameworkDescription,"A longer, human-readable description containing a meaningful description of the delivery framework",non_profit_iati,delivery_framework_description,createdBy
nonProfitIati,Dimension,Dimension.2.4.cdm.json/Dimension,"A category used for dis-aggregating the result by gender, age, etc",non_profit_iati,dimension,createdBy
nonProfitIati,DocumentCategory,DocumentCategory.1.4.cdm.json/DocumentCategory,IATI Document Category.,non_profit_iati,document_category,createdBy
nonProfitIati,DocumentCountry,DocumentCountry.1.4.cdm.json/DocumentCountry,The recipient country that is the focus of the document.,non_profit_iati,document_country,createdBy
nonProfitIati,DocumentLanguage,DocumentLanguage.1.4.cdm.json/DocumentLanguage,The language in which target document is written.,non_profit_iati,document_language,createdBy
nonProfitIati,DocumentLink,DocumentLink.1.4.cdm.json/DocumentLink,"A link to an online, publicly accessible web page or document.",non_profit_iati,document_link,createdBy
nonProfitIati,Expenditure,Expenditure.2.4.cdm.json/Expenditure,An Expenditure represents an amount of money spent by an Organization or Delivery Framework.,non_profit_iati,expenditure,createdBy
nonProfitIati,FssForecast,FssForecast.2.4.cdm.json/FssForecast,A container to hold separate forecast values for each year.,non_profit_iati,fss_forecast,createdBy
nonProfitIati,HumanitarianScope,HumanitarianScope.2.4.cdm.json/HumanitarianScope,"Classification of emergencies, appeals and other humanitarian events and actions.",non_profit_iati,humanitarian_scope,createdBy
nonProfitIati,IatiFileGeneration,IatiFileGeneration.1.3.cdm.json/IatiFileGeneration,Entity used for the generation of IATI XML files.,non_profit_iati,iati_file_generation,createdBy
nonProfitIati,Identifier,Identifier.2.3.cdm.json/Identifier,An IATI's globally unique identifier for the delivery framework,non_profit_iati,identifier,createdBy
nonProfitIati,IndicatorReference,IndicatorReference.2.4.cdm.json/IndicatorReference,A standardised means of identifying the indicator from a code in a recognised vocabulary.,non_profit_iati,indicator_reference,createdBy
nonProfitIati,IndicatorValueLocation,IndicatorValueLocation.2.4.cdm.json/IndicatorValueLocation,Indicates the location of the indicator value,non_profit_iati,indicator_value_location,createdBy
nonProfitIati,Location,Location.2.4.cdm.json/Location,"The sub-national geographical identification of the target locations of an activity. These can be described by gazetteer reference, coordinates, administrative areas or a textual description.",non_profit_iati,location,createdBy
nonProfitIati,NarrativeTranslation,NarrativeTranslation.2.4.cdm.json/NarrativeTranslation,Allows the translation of different narrative elements for IATI reporting.,non_profit_iati,narrative_translation,createdBy
nonProfitIati,NonEmbeddedCodelist,NonEmbeddedCodelist.1.4.cdm.json/NonEmbeddedCodelist,"Non-functional codelists that usually provide lookup information on e.g. currencies, languages in use, countries, etc.",non_profit_iati,non_embedded_codelist,createdBy
nonProfitIati,NonEmbeddedCodelistVocabulary,NonEmbeddedCodelistVocabulary.1.4.cdm.json/NonEmbeddedCodelistVocabulary,Sources for non embedded codelists,non_profit_iati,non_embedded_codelist_vocabulary,createdBy
nonProfitIati,ParticipatingOrganization,ParticipatingOrganization.2.4.cdm.json/ParticipatingOrganization,Organization involved with the delivery framework,non_profit_iati,participating_organization,createdBy
nonProfitIati,PolicyMarker,PolicyMarker.2.4.cdm.json/PolicyMarker,A policy or theme addressed by the Delivery Framework.,non_profit_iati,policy_marker,createdBy
nonProfitIati,RecipientCountry,RecipientCountry.2.4.cdm.json/RecipientCountry,The country that will benefit from this delivery framework,non_profit_iati,recipient_country,createdBy
nonProfitIati,RecipientRegion,RecipientRegion.2.4.cdm.json/RecipientRegion,A supranational geopolitical region that will benefit from the delivery framework,non_profit_iati,recipient_region,createdBy
nonProfitIati,ResultReference,ResultReference.2.3.cdm.json/ResultReference,A reference element to allow for the coded identification of a results framework.,non_profit_iati,result_reference,createdBy
nonProfitIati,Sector,Sector.2.4.cdm.json/Sector,Classification of the purpose of the Delivery Framework.,non_profit_iati,sector,createdBy
nonProfitIati,Tag,Tag.2.4.cdm.json/Tag,"Categorizations from established taxonomies that enrich the classification of the Delivery Framework but that, unlike those reported in the sector element, cannot be associated with percentage splits.",non_profit_iati,tag,createdBy
nonProfitIati,Website,Website.1.5.cdm.json/Website,A web address.,non_profit_iati,website,createdBy
nonProfitIati,Award,Award.2.4.cdm.json/Award,An Award represents the total amount of funding that has been agreed to be awarded to an individual or institution.,non_profit_iati,award,createdBy
nonProfitIati,Budget,Budget.2.4.cdm.json/Budget,"A Budget represents the amount of funds that can be awarded for a particular delivery framework (i.e Program, Project, Initiative, Activity) for a defined period of time (i.e. fiscal year).",non_profit_iati,budget,createdBy
nonProfitIati,DeliveryFramework,DeliveryFramework.2.4.cdm.json/DeliveryFramework,"Delivery Framework represents a management unit of work defined by the organization or entity doing the work. In IATI, the Delivery Framework is an “Activity.”",non_profit_iati,delivery_framework,createdBy
nonProfitIati,Designation,Designation.2.3.cdm.json/Designation,"An area to which funds may be allocated, including a GL-relevant accounting code.  Designations are the way a donor instructs an organization about how their donation should be spent or earmarked.",non_profit_iati,designation,createdBy
nonProfitIati,DesignationPlan,DesignationPlan.2.4.cdm.json/DesignationPlan,"A line item attached to a Pledge, Payment Schedule, or Campaign indicating how associated payments should be designated.",non_profit_iati,designation_plan,createdBy
nonProfitIati,Disbursement,Disbursement.2.4.cdm.json/Disbursement,A Disbursement represents an Award disbursement to an individual or organizational awardee.  A Disbursement is related to a specific Award and Budget.,non_profit_iati,disbursement,createdBy
nonProfitIati,DisbursementDistribution,DisbursementDistribution.2.3.cdm.json/DisbursementDistribution,"Disbursement Distribution represents the Framework(s) - i.e. Program, Project, Initiative - that contribute to funding an Award Disbursement.",non_profit_iati,disbursement_distribution,createdBy
nonProfitIati,Docket,Docket.2.4.cdm.json/Docket,A Docket is used to group inquiries (LOIs) and/or requests with a specific grant/award cycle or date (usually a review/board meeting).,non_profit_iati,docket,createdBy
nonProfitIati,DonorCommitment,DonorCommitment.2.4.cdm.json/DonorCommitment,Donor commitments represent the actual or prospective agreement between a donor and an organization for the donor to make a gift to the organization.,non_profit_iati,donor_commitment,createdBy
nonProfitIati,Indicator,Indicator.2.4.cdm.json/Indicator,An Indicator describes what will be measured to track evidence of a Result. Indicators can be qualitative or quantitative and may or may not be aggregable.,non_profit_iati,indicator,createdBy
nonProfitIati,IndicatorValue,IndicatorValue.2.4.cdm.json/IndicatorValue,"An Indicator Value is a quantitative or qualitative value of measurement of an Indicator. Indicator Values may be but are not limited to baseline, target or actual values of measurement.",non_profit_iati,indicator_value,createdBy
nonProfitIati,Membership,Membership.1.5.cdm.json/Membership,Representation of a Customer Membership.,non_profit_iati,membership,createdBy
nonProfitIati,MembershipCategory,MembershipCategory.1.4.cdm.json/MembershipCategory,Represents the types of membership associated to products.,non_profit_iati,membership_category,createdBy
nonProfitIati,Objective,Objective.2.3.cdm.json/Objective,"An Objective represents the organization's highest priorities, strategies and/or goals that guide investments (in the case of Requests and Awards) and program delivery.",non_profit_iati,objective,createdBy
nonProfitIati,PaymentMethod,PaymentMethod.2.4.cdm.json/PaymentMethod,Payment Method is a placeholder entity for customizations that may be supported by an application.,non_profit_iati,payment_method,createdBy
nonProfitIati,PaymentSchedule,PaymentSchedule.2.4.cdm.json/PaymentSchedule,"A gift transaction can be a one-time payment or a recurring payment (ie, monthly/sustainer giving). In addition, it can be a pledge (ie, promise) of a future payment or a current/received payment.",non_profit_iati,payment_schedule,createdBy
nonProfitIati,PlannedGiving,PlannedGiving.2.4.cdm.json/PlannedGiving,A planned gift is a gift made during a donor's lifetime or at the time of their death that involves their estate and/or tax planning.,non_profit_iati,planned_giving,createdBy
nonProfitIati,Request,Request.2.4.cdm.json/Request,Requests represent a request from an individual or institution for funding or support. A request is more formal than an inquiry (LOI) and typically happens after an inquiry has already occurred.,non_profit_iati,request,createdBy
nonProfitIati,Result,Result.2.4.cdm.json/Result,A Result is a container that represents the changes in the context in which an organization operates..,non_profit_iati,result,createdBy
nonProfitIati,Transaction,Transaction.2.4.cdm.json/Transaction,"Transactions (also referred to as donations) represent payments from a constituent (i.e. donor, contact, account or organization) to the nonprofit.",non_profit_iati,transaction,createdBy
nonProfitIati,Opportunity,Opportunity.2.4.cdm.json/Opportunity,"An opportunity represents prospective, pending and closed ""deals"" or gifts.  This entity allows nonprofit organizations to track their efforts to build relationships with prospective donors.",non_profit_iati,opportunity,createdBy
