cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
projectServiceAutomation,Account,Account.1.4.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,project_service_automation,account,createdBy
projectServiceAutomation,AccountPriceList,AccountPriceList.1.4.cdm.json/AccountPriceList,"Sales price list for this customer to capture special pricing agreements for products, roles and categories.",project_service_automation,account_price_list,createdBy
projectServiceAutomation,ActualDataExport,ActualDataExport.1.3.cdm.json/ActualDataExport,Data export entity for the actual entity.,project_service_automation,actual_data_export,createdBy
projectServiceAutomation,BatchJob,BatchJob.1.3.cdm.json/BatchJob,Placeholder for workflows used for machine learning scenarios.,project_service_automation,batch_job,batchJobId
projectServiceAutomation,BookableResourceCategory,BookableResourceCategory.1.3.cdm.json/BookableResourceCategory,Categorize resources that have capacity into categories such as roles.,project_service_automation,bookable_resource_category,createdBy
projectServiceAutomation,BookableResourceCategoryAssn,BookableResourceCategoryAssn.1.4.cdm.json/BookableResourceCategoryAssn,Association entity to model the categorization of resources.,project_service_automation,bookable_resource_category_assn,createdBy
projectServiceAutomation,BookableResourceCharacteristic,BookableResourceCharacteristic.1.4.cdm.json/BookableResourceCharacteristic,Associates resources with their characteristics and specifies the proficiency level of a resource for that characteristic.,project_service_automation,bookable_resource_characteristic,createdBy
projectServiceAutomation,Characteristic,Characteristic.1.3.cdm.json/Characteristic,"Skills, education and certifications of resources.",project_service_automation,characteristic,createdBy
projectServiceAutomation,ContactPriceList,ContactPriceList.1.4.cdm.json/ContactPriceList,"Specific sales price list for this customer to capture special pricing agreements for products, roles, and categories.",project_service_automation,contact_price_list,createdBy
projectServiceAutomation,ContractLineInvoiceSchedule,ContractLineInvoiceSchedule.1.4.cdm.json/ContractLineInvoiceSchedule,List of dates that shows when invoicing for this customer should be run. This list is used by the invoice creation job.,project_service_automation,contract_line_invoice_schedule,contractLineInvoiceScheduleId
projectServiceAutomation,ContractLineScheduleOfValue,ContractLineScheduleOfValue.1.4.cdm.json/ContractLineScheduleOfValue,List of billing milestones and invoice amounts for this project contract line.,project_service_automation,contract_line_schedule_of_value,createdBy
projectServiceAutomation,Delegation,Delegation.1.4.cdm.json/Delegation,"Delegation of time, expense entities among users",project_service_automation,delegation,createdBy
projectServiceAutomation,Estimate,Estimate.1.4.cdm.json/Estimate,"Labor, cost, and revenue estimates for a project.",project_service_automation,estimate,createdBy
projectServiceAutomation,EstimateLine,EstimateLine.1.4.cdm.json/EstimateLine,Estimates on a per day timescale.,project_service_automation,estimate_line,createdBy
projectServiceAutomation,Expense,Expense.1.4.cdm.json/Expense,Main container that holds expense information.,project_service_automation,expense,createdBy
projectServiceAutomation,ExpenseCategory,ExpenseCategory.1.3.cdm.json/ExpenseCategory,Main container that holds expense category information.,project_service_automation,expense_category,expenseCategoryId
projectServiceAutomation,ExpenseReceipt,ExpenseReceipt.1.4.cdm.json/ExpenseReceipt,Table that contains expense receipt information.,project_service_automation,expense_receipt,createdBy
projectServiceAutomation,Fact,Fact.1.4.cdm.json/Fact,Aggregated fact entity for actual transactions.,project_service_automation,fact,createdBy
projectServiceAutomation,FieldComputation,FieldComputation.1.3.cdm.json/FieldComputation,Product properties whose values are to be considered as factors for quantity computation on a transaction line.,project_service_automation,field_computation,createdBy
projectServiceAutomation,FindWorkEvent,FindWorkEvent.1.4.cdm.json/FindWorkEvent,Entity used for counting the number of times resources apply for open positions and other behavioral attributes of resources.,project_service_automation,find_work_event,createdBy
projectServiceAutomation,IntegrationJob,IntegrationJob.1.3.cdm.json/IntegrationJob,Staging table for integration data,project_service_automation,integration_job,createdBy
projectServiceAutomation,IntegrationJobDetail,IntegrationJobDetail.1.3.cdm.json/IntegrationJobDetail,Staging table for integration data lines,project_service_automation,integration_job_detail,createdBy
projectServiceAutomation,Invoice,Invoice.1.4.cdm.json/Invoice,Order that has been billed.,project_service_automation,invoice,createdBy
projectServiceAutomation,InvoiceFrequency,InvoiceFrequency.1.2.cdm.json/InvoiceFrequency,Setup entity for invoice schedules.,project_service_automation,invoice_frequency,invoiceFrequencyId
projectServiceAutomation,InvoiceFrequencyDetail,InvoiceFrequencyDetail.1.3.cdm.json/InvoiceFrequencyDetail,List of days expressed as dates or day of week for a specific invoice schedule template.,project_service_automation,invoice_frequency_detail,invoiceFrequencyDetailId
projectServiceAutomation,InvoiceLineTransaction,InvoiceLineTransaction.1.4.cdm.json/InvoiceLineTransaction,Transactions that are associated to an invoice line.,project_service_automation,invoice_line_transaction,createdBy
projectServiceAutomation,InvoiceProduct,InvoiceProduct.1.4.cdm.json/InvoiceProduct,Line item in an invoice containing detailed billing information for a product.,project_service_automation,invoice_product,createdBy
projectServiceAutomation,Journal,Journal.1.4.cdm.json/Journal,"Unposted business transactions, for example, time and expense.",project_service_automation,journal,createdBy
projectServiceAutomation,JournalLine,JournalLine.1.4.cdm.json/JournalLine,Unposted business transaction line details.,project_service_automation,journal_line,createdBy
projectServiceAutomation,Opportunity,Opportunity.1.4.cdm.json/Opportunity,"Potential revenue-generating event, or sale to an account, which needs to be tracked through a sales process to completion.",project_service_automation,opportunity,createdBy
projectServiceAutomation,OpportunityLineResourceCategory,OpportunityLineResourceCategory.1.3.cdm.json/OpportunityLineResourceCategory,List of roles that will be considered as costs when understanding the profit of an opportunity line (Deprecated in v3.0),project_service_automation,opportunity_line_resource_category,createdBy
projectServiceAutomation,OpportunityLineTransaction,OpportunityLineTransaction.1.4.cdm.json/OpportunityLineTransaction,Sales estimate detail of an opportunity line (Deprecated in v3.0),project_service_automation,opportunity_line_transaction,createdBy
projectServiceAutomation,OpportunityLineTransactionCategory,OpportunityLineTransactionCategory.1.3.cdm.json/OpportunityLineTransactionCategory,List of transaction categories that will be considered as costs when computing the profit of an opportunity line (Deprecated in v3.0),project_service_automation,opportunity_line_transaction_category,createdBy
projectServiceAutomation,OpportunityLineTransactionClassification,OpportunityLineTransactionClassification.1.3.cdm.json/OpportunityLineTransactionClassification,"List of transaction classification heads, which are four broad cost categories of time, expense, material, and fee, that will be considered as costs when computing the profit of an opportunity line (Deprecated in v3.0)",project_service_automation,opportunity_line_transaction_classification,createdBy
projectServiceAutomation,OpportunityPriceList,OpportunityPriceList.1.4.cdm.json/OpportunityPriceList,Sales price list that will used by the opportunity to set default sales prices on all project-based components such as time and expense.,project_service_automation,opportunity_price_list,createdBy
projectServiceAutomation,OpportunityProduct,OpportunityProduct.1.4.cdm.json/OpportunityProduct,Association between an opportunity and a product.,project_service_automation,opportunity_product,createdBy
projectServiceAutomation,Order,Order.1.4.cdm.json/Order,Quote that has been accepted.,project_service_automation,order,createdBy
projectServiceAutomation,OrderLineResourceCategory,OrderLineResourceCategory.1.4.cdm.json/OrderLineResourceCategory,List of roles that will be considered as costs when computing the profit of a project contract line.,project_service_automation,order_line_resource_category,createdBy
projectServiceAutomation,OrderLineTransaction,OrderLineTransaction.1.4.cdm.json/OrderLineTransaction,Sales estimate detail of an project contract line.,project_service_automation,order_line_transaction,createdBy
projectServiceAutomation,OrderLineTransactionCategory,OrderLineTransactionCategory.1.4.cdm.json/OrderLineTransactionCategory,List of transaction categories that will be considered as costs when computing the profit of a project contract line.,project_service_automation,order_line_transaction_category,createdBy
projectServiceAutomation,OrderLineTransactionClassification,OrderLineTransactionClassification.1.4.cdm.json/OrderLineTransactionClassification,"List of transaction classification heads, which are four broad cost categories of time, expense, material, and fee, that will be considered as costs when computing the profit of a project contract line.",project_service_automation,order_line_transaction_classification,createdBy
projectServiceAutomation,OrderPriceList,OrderPriceList.1.4.cdm.json/OrderPriceList,Sales price list used on the contract to set default sales prices on all project-based components such as time and expense.,project_service_automation,order_price_list,createdBy
projectServiceAutomation,OrderProduct,OrderProduct.1.4.cdm.json/OrderProduct,Line item in a sales order.,project_service_automation,order_product,createdBy
projectServiceAutomation,PriceList,PriceList.1.3.cdm.json/PriceList,Entity that defines pricing levels.,project_service_automation,price_list,priceLevelId
projectServiceAutomation,PricingDimension,PricingDimension.1.3.cdm.json/PricingDimension,,project_service_automation,pricing_dimension,createdBy
projectServiceAutomation,PricingDimensionFieldName,PricingDimensionFieldName.1.3.cdm.json/PricingDimensionFieldName,Provides ability to override the field name for pricing dimension if the entity doesn't follow the same naming convention for the pricing dimension field as the price entity.,project_service_automation,pricing_dimension_field_name,dimensionfieldnameId
projectServiceAutomation,ProcessNotes,ProcessNotes.1.3.cdm.json/ProcessNotes,Stores messages or notes relevant to an operation or process executed by an entity.,project_service_automation,process_notes,processNotesId
projectServiceAutomation,Product,Product.1.3.cdm.json/Product,Information about products and their pricing information.,project_service_automation,product,productId
projectServiceAutomation,Project,Project.1.4.cdm.json/Project,Delivery entity in an engagement.,project_service_automation,project,createdBy
projectServiceAutomation,ProjectApproval,ProjectApproval.1.4.cdm.json/ProjectApproval,,project_service_automation,project_approval,createdBy
projectServiceAutomation,ProjectParameter,ProjectParameter.1.4.cdm.json/ProjectParameter,List of settings that determine the behavior of the project-based service solution.,project_service_automation,project_parameter,projectParameterId
projectServiceAutomation,ProjectParameterPriceList,ProjectParameterPriceList.1.3.cdm.json/ProjectParameterPriceList,Set of default cost and sales price lists that the company uses when there are no specific pricing agreements for cost and sales.,project_service_automation,project_parameter_price_list,projectParameterPriceListId
projectServiceAutomation,ProjectPriceList,ProjectPriceList.1.4.cdm.json/ProjectPriceList,,project_service_automation,project_price_list,createdBy
projectServiceAutomation,ProjectServiceApproval,ProjectServiceApproval.1.4.cdm.json/ProjectServiceApproval,Container for approvals.,project_service_automation,project_service_approval,createdBy
projectServiceAutomation,ProjectTask,ProjectTask.1.4.cdm.json/ProjectTask,Tasks related to project.,project_service_automation,project_task,createdBy
projectServiceAutomation,ProjectTaskDependency,ProjectTaskDependency.1.4.cdm.json/ProjectTaskDependency,Dependency data between tasks.,project_service_automation,project_task_dependency,createdBy
projectServiceAutomation,ProjectTaskStatusUser,ProjectTaskStatusUser.1.4.cdm.json/ProjectTaskStatusUser,User status for project tasks (Deprecated in v3.0).,project_service_automation,project_task_status_user,createdBy
projectServiceAutomation,ProjectTeam,ProjectTeam.1.4.cdm.json/ProjectTeam,Entity used to model relationship between resources and project teams.,project_service_automation,project_team,createdBy
projectServiceAutomation,ProjectTeamMemberSignUp,ProjectTeamMemberSignUp.1.4.cdm.json/ProjectTeamMemberSignUp,Entity used to capture all resources that have applied for open position on projects.,project_service_automation,project_team_member_sign_up,projectTeamMemberSignUpId
projectServiceAutomation,ProjectTransactionCategory,ProjectTransactionCategory.1.4.cdm.json/ProjectTransactionCategory,(Deprecated in v3.0),project_service_automation,project_transaction_category,createdBy
projectServiceAutomation,Quote,Quote.1.4.cdm.json/Quote,"Formal offer for products and/or services, proposed at specific prices and related payment terms, which is sent to a prospective customer.",project_service_automation,quote,createdBy
projectServiceAutomation,QuoteLineAnalyticsBreakdown,QuoteLineAnalyticsBreakdown.1.4.cdm.json/QuoteLineAnalyticsBreakdown,Reporting entity that is used to show quoted sales and estimated cost amounts by various dimensions.,project_service_automation,quote_line_analytics_breakdown,createdBy
projectServiceAutomation,QuoteLineInvoiceSchedule,QuoteLineInvoiceSchedule.1.4.cdm.json/QuoteLineInvoiceSchedule,List of dates on which invoicing for this customer should be run. This list is used by an invoice creation job.,project_service_automation,quote_line_invoice_schedule,quoteLineInvoiceScheduleId
projectServiceAutomation,QuoteLineResourceCategory,QuoteLineResourceCategory.1.4.cdm.json/QuoteLineResourceCategory,List of roles that will be considered as costs when understanding the profit of a quote line.,project_service_automation,quote_line_resource_category,createdBy
projectServiceAutomation,QuoteLineScheduleOfValue,QuoteLineScheduleOfValue.1.4.cdm.json/QuoteLineScheduleOfValue,List of billing milestones and invoice amounts for this quote line.,project_service_automation,quote_line_schedule_of_value,createdBy
projectServiceAutomation,QuoteLineTransaction,QuoteLineTransaction.1.4.cdm.json/QuoteLineTransaction,Sales estimate detail of a quote line.,project_service_automation,quote_line_transaction,createdBy
projectServiceAutomation,QuoteLineTransactionCategory,QuoteLineTransactionCategory.1.4.cdm.json/QuoteLineTransactionCategory,List of transaction categories that will be considered as costs when computing the profit of a quote line.,project_service_automation,quote_line_transaction_category,createdBy
projectServiceAutomation,QuoteLineTransactionClassification,QuoteLineTransactionClassification.1.4.cdm.json/QuoteLineTransactionClassification,"List of transaction classification heads, the four broad cost classifications of time, expense, material, and fee, that will be considered as costs when computing the profit of a quote line.",project_service_automation,quote_line_transaction_classification,createdBy
projectServiceAutomation,QuotePriceList,QuotePriceList.1.4.cdm.json/QuotePriceList,Sales price list that will used by the quote to default sales prices on all project-based components such as time and expense.,project_service_automation,quote_price_list,createdBy
projectServiceAutomation,QuoteProduct,QuoteProduct.1.4.cdm.json/QuoteProduct,"Product line item in a quote. The details include such information as product ID, description, quantity, and cost.",project_service_automation,quote_product,createdBy
projectServiceAutomation,RatingModel,RatingModel.1.3.cdm.json/RatingModel,Represents a model to evaluate skills or other related entities.,project_service_automation,rating_model,createdBy
projectServiceAutomation,ResourceAssignment,ResourceAssignment.1.4.cdm.json/ResourceAssignment,Entity used to keep track of resource assignment header information  on tasks.,project_service_automation,resource_assignment,createdBy
projectServiceAutomation,ResourceAssignmentDetail,ResourceAssignmentDetail.1.4.cdm.json/ResourceAssignmentDetail,Entity used to keep track of resource assignment details on tasks. ,project_service_automation,resource_assignment_detail,createdBy
projectServiceAutomation,ResourceCategoryPriceLevel,ResourceCategoryPriceLevel.1.4.cdm.json/ResourceCategoryPriceLevel,List of prices by role on a price list.,project_service_automation,resource_category_price_level,resourceCategoryPriceLevelId
projectServiceAutomation,ResourceRequest,ResourceRequest.1.4.cdm.json/ResourceRequest,"Entity that wraps the resource requirement to capture the type of resources, skills, and location required.",project_service_automation,resource_request,createdBy
