cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
service,ActivityParty,ActivityParty.1.4.cdm.json/ActivityParty,Person or group associated with an activity. An activity can have multiple activity parties.,service,activity_party,activityPartyId
service,Case,Case.1.4.cdm.json/Case,Service request case associated with a contract.,service,case,createdBy
service,CaseResolution,CaseResolution.1.4.cdm.json/CaseResolution,"Special type of activity that includes description of the resolution, billing status, and the duration of the case.",service,case_resolution,createdBy
service,ChildIncidentCount,ChildIncidentCount.1.1.cdm.json/ChildIncidentCount,For internal use only.,service,child_incident_count,childIncidentCountId
service,Contract,Contract.1.4.cdm.json/Contract,Agreement to provide customer service during a specified amount of time or number of cases.,service,contract,createdBy
service,ContractLine,ContractLine.1.4.cdm.json/ContractLine,Line item in a contract that specifies the type of service a customer is entitled to.,service,contract_line,createdBy
service,Entitlement,Entitlement.1.4.cdm.json/Entitlement,Defines the amount and type of support a customer should receive.,service,entitlement,createdBy
service,EntitlementContact,EntitlementContact.1.4.cdm.json/EntitlementContact,,service,entitlement_contact,entitlementContactId
service,EntitlementProduct,EntitlementProduct.1.4.cdm.json/EntitlementProduct,,service,entitlement_product,entitlementProductId
service,FacilityEquipment,FacilityEquipment.1.3.cdm.json/FacilityEquipment,Resource that can be scheduled.,service,facility_equipment,equipmentId
service,IncidentKnowledgeBaseRecord,IncidentKnowledgeBaseRecord.1.4.cdm.json/IncidentKnowledgeBaseRecord,,service,incident_knowledge_base_record,incidentKnowledgeBaseRecordId
service,KnowledgeArticleIncident,KnowledgeArticleIncident.1.4.cdm.json/KnowledgeArticleIncident,Association between an knowledge article and incident.,service,knowledge_article_incident,createdBy
service,Resource,Resource.1.3.cdm.json/Resource,User or facility/equipment that can be scheduled for a service.,service,resource,facilityEquipmentOptionEquipmentId
service,ResourceExpansion,ResourceExpansion.1.1.cdm.json/ResourceExpansion,Resource Expansions.,service,resource_expansion,resourceGroupExpansionId
service,ResourceSpecification,ResourceSpecification.1.3.cdm.json/ResourceSpecification,Selection rule that allows the scheduling engine to select a number of resources from a pool of resources. The rules can be associated with a service.,service,resource_specification,resourceSpecId
service,SchedulingGroup,SchedulingGroup.1.3.cdm.json/SchedulingGroup,Resource group or team whose members can be scheduled for a service.,service,scheduling_group,resourceGroupId
service,Service,Service.1.3.cdm.json/Service,Activity that represents work done to satisfy a customer's need.,service,service,serviceId
service,ServiceActivity,ServiceActivity.1.3.cdm.json/ServiceActivity,"Activity offered by the organization to satisfy its customer's needs. Each service activity includes date, time, duration, and required resources.",service,service_activity,createdBy
service,ServiceContractContact,ServiceContractContact.1.4.cdm.json/ServiceContractContact,Item in a Service contract.,service,service_contract_contact,serviceContractContactId
service,Site,Site.1.3.cdm.json/Site,Location or branch office where an organization does business. An organization can have multiple sites.,service,site,siteId
service,SLAKPIInstance,SLAKPIInstance.1.4.cdm.json/SLAKPIInstance,Service level agreement (SLA) key performance indicator (KPI) instance that is tracked for an individual case,service,slakpi_instance,SLAKPIInstanceId
service,Task,Task.1.3.cdm.json/Task,Generic activity representing work needed to be done.,service,task,createdBy
service,User,User.1.3.cdm.json/User,Person with access to the Microsoft CRM system and who owns objects in the Microsoft CRM database.,service,user,systemUserId
