"cdm_manifest","cdm_manifest_path","cdm_source_file","cdm_entity_name","cdm_attribute_name","cdm_display_name","description","cdm_semantic_meanings","cdm_data_type","cdm_data_format","is_primary_key","is_nullable","is_foreign_key","cdm_related_manifest","cdm_related_entity","cdm_related_attribute","cdm_related_manifest_source_file","dbt_schema_name","dbt_model_name","dbt_column_name","dbt_related_schema_name","dbt_related_model_name","dbt_related_column_name","dbt_data_type","duckdb_data_type","bigquery_data_type","pandas_data_type","dbt_labels"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","visitactivitycancellationreasonId","Visit activity cancellation reason","Unique identifier for entity instances","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","","","visits","visit_activity_cancellation_reason","visitactivitycancellationreason_id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","createdOn","Created On","Date and time when the record was created.","means.measurement.date|means.measurement.time","datetime","CdmDataFormat.DATE_TIME","False","","False","","","","","visits","visit_activity_cancellation_reason","created_on","","","","TIMESTAMP","TIMESTAMP","TIMESTAMP","datetime64[ns]","category:measurement|subcategory:time|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","modifiedOn","Modified On","Date and time when the record was modified.","means.measurement.date|means.measurement.time","datetime","CdmDataFormat.DATE_TIME","False","","False","","","","","visits","visit_activity_cancellation_reason","modified_on","","","","TIMESTAMP","TIMESTAMP","TIMESTAMP","datetime64[ns]","category:measurement|subcategory:time|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","statecode","Status","Status of the Visit activity cancellation reason","means.entityState","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_activity_cancellation_reason","statecode","","","","INT","INTEGER","INT64","Int32","category:entityState|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","statuscode","Status Reason","Reason for the status of the Visit activity cancellation reason","","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_activity_cancellation_reason","statuscode","","","","INT","INTEGER","INT64","Int32",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","importSequenceNumber","Import Sequence Number","Sequence number of the import that created this record.","","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_activity_cancellation_reason","import_sequence_number","","","","INT","INTEGER","INT64","Int32",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","overriddenCreatedOn","Record Created On","Date and time that the record was migrated.","means.measurement.date","date","CdmDataFormat.DATE","False","","False","","","","","visits","visit_activity_cancellation_reason","overridden_created_on","","","","","","","","category:measurement|subcategory:date|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","timeZoneRuleVersionNumber","Time Zone Rule Version Number","For internal use only.","","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_activity_cancellation_reason","time_zone_rule_version_number","","","","INT","INTEGER","INT64","Int32",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","UTCConversionTimeZoneCode","UTC Conversion Time Zone Code","Time zone code that was in use when the record was created.","","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_activity_cancellation_reason","utc_conversion_time_zone_code","","","","INT","INTEGER","INT64","Int32",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","name","Name","Subject / title of the visit cancellation reason","","string","CdmDataFormat.STRING","False","","False","","","","","visits","visit_activity_cancellation_reason","name","","","","STRING","VARCHAR","STRING","object",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitActivityCancellationReason.1.0.cdm.json/VisitActivityCancellationReason","VisitActivityCancellationReason","description","Description","Additional information about the reason","","string","CdmDataFormat.STRING","False","","False","","","","","visits","visit_activity_cancellation_reason","description","","","","STRING","VARCHAR","STRING","object",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","visitcancellationreasonId","Visit cancellation reason","Unique identifier for entity instances","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","","","visits","visit_cancellation_reason","visitcancellationreason_id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","createdOn","Created On","Date and time when the record was created.","means.measurement.date|means.measurement.time","datetime","CdmDataFormat.DATE_TIME","False","","False","","","","","visits","visit_cancellation_reason","created_on","","","","TIMESTAMP","TIMESTAMP","TIMESTAMP","datetime64[ns]","category:measurement|subcategory:time|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","modifiedOn","Modified On","Date and time when the record was modified.","means.measurement.date|means.measurement.time","datetime","CdmDataFormat.DATE_TIME","False","","False","","","","","visits","visit_cancellation_reason","modified_on","","","","TIMESTAMP","TIMESTAMP","TIMESTAMP","datetime64[ns]","category:measurement|subcategory:time|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","statecode","Status","Status of the Visit cancellation reason","means.entityState","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_cancellation_reason","statecode","","","","INT","INTEGER","INT64","Int32","category:entityState|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","statuscode","Status Reason","Reason for the status of the Visit cancellation reason","","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_cancellation_reason","statuscode","","","","INT","INTEGER","INT64","Int32",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","importSequenceNumber","Import Sequence Number","Sequence number of the import that created this record.","","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_cancellation_reason","import_sequence_number","","","","INT","INTEGER","INT64","Int32",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","overriddenCreatedOn","Record Created On","Date and time that the record was migrated.","means.measurement.date","date","CdmDataFormat.DATE","False","","False","","","","","visits","visit_cancellation_reason","overridden_created_on","","","","","","","","category:measurement|subcategory:date|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","timeZoneRuleVersionNumber","Time Zone Rule Version Number","For internal use only.","","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_cancellation_reason","time_zone_rule_version_number","","","","INT","INTEGER","INT64","Int32",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","UTCConversionTimeZoneCode","UTC Conversion Time Zone Code","Time zone code that was in use when the record was created.","","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_cancellation_reason","utc_conversion_time_zone_code","","","","INT","INTEGER","INT64","Int32",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","name","Name","Subject / title visit cancellation reason","","string","CdmDataFormat.STRING","False","","False","","","","","visits","visit_cancellation_reason","name","","","","STRING","VARCHAR","STRING","object",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitCancellationReason.1.0.cdm.json/VisitCancellationReason","VisitCancellationReason","description","Description","Additional information about the reason","","string","CdmDataFormat.STRING","False","","False","","","","","visits","visit_cancellation_reason","description","","","","STRING","VARCHAR","STRING","object",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitFrequency.1.0.cdm.json/VisitFrequency","VisitFrequency","visitFrequencyId","Visit frequency","Unique identifier for entity instances","means.identity.entityId","guid","CdmDataFormat.GUID","True","False","False","","","","","visits","visit_frequency","visit_frequency_id","","","","STRING","UUID","STRING","object","category:identity|subcategory:entityId|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitFrequency.1.0.cdm.json/VisitFrequency","VisitFrequency","createdOn","Created On","Date and time when the record was created.","means.measurement.date|means.measurement.time","datetime","CdmDataFormat.DATE_TIME","False","","False","","","","","visits","visit_frequency","created_on","","","","TIMESTAMP","TIMESTAMP","TIMESTAMP","datetime64[ns]","category:measurement|subcategory:time|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitFrequency.1.0.cdm.json/VisitFrequency","VisitFrequency","modifiedOn","Modified On","Date and time when the record was modified.","means.measurement.date|means.measurement.time","datetime","CdmDataFormat.DATE_TIME","False","","False","","","","","visits","visit_frequency","modified_on","","","","TIMESTAMP","TIMESTAMP","TIMESTAMP","datetime64[ns]","category:measurement|subcategory:time|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitFrequency.1.0.cdm.json/VisitFrequency","VisitFrequency","statecode","Status","Status of the Visit Frequency","means.entityState","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_frequency","statecode","","","","INT","INTEGER","INT64","Int32","category:entityState|role:dimension"
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitFrequency.1.0.cdm.json/VisitFrequency","VisitFrequency","statuscode","Status Reason","Reason for the status of the Visit Frequency","","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_frequency","statuscode","","","","INT","INTEGER","INT64","Int32",""
"Visits","local:/Retail/Visits/Visits.1.0.manifest.cdm.json","VisitFrequency.1.0.cdm.json/VisitFrequency","VisitFrequency","importSequenceNumber","Import Sequence Number","Sequence number of the import that created this record.","","int32","CdmDataFormat.INT32","False","","False","","","","","visits","visit_frequency","import_sequence_number","","","","INT","INTEGER","INT64","Int32",""
