cdm_manifest_name,cdm_manifest_path,cdm_version,dbt_schema_name
schema.1.5.0,local:/schema.1.5.0.manifest.cdm.json,1.5.0,schema_1_5_0
standards,local:/standards.1.1.11.manifest.cdm.json,1.1.11,standards
cdmfoundation,local:/cdmfoundation/cdmfoundation.3.0.manifest.cdm.json,3.0,cdmfoundation
core,local:/core/core.1.5.1.manifest.cdm.json,1.5.1,core
applicationCommon,local:/core/applicationCommon/applicationCommon.1.5.manifest.cdm.json,1.5,application_common
foundationCommon,local:/core/applicationCommon/foundationCommon/foundationCommon.1.5.manifest.cdm.json,1.5,foundation_common
crmCommon,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommon.1.5.manifest.cdm.json,1.5,crm_common
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,1.4,dynamics_crm_common
accelerators,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/accelerators.1.1.8.manifest.cdm.json,1.1.8,accelerators
automotive,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/automotive/automotive.1.5.manifest.cdm.json,1.5,automotive
education,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/education.1.1.4.manifest.cdm.json,1.1.4,education
higherEducation,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/education/higherEducation/higherEducation.1.4.manifest.cdm.json,1.4,higher_education
financialServices,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/financialServices/financialServices.1.0.6.manifest.cdm.json,1.0.6,financial_services
banking,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/financialServices/banking/banking.1.5.manifest.cdm.json,1.5,banking
healthCare,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/healthCare/healthCare.1.0.7.manifest.cdm.json,1.0.7,health_care
electronicMedicalRecords,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/healthCare/electronicMedicalRecords/electronicMedicalRecords.2.4.manifest.cdm.json,2.4,electronic_medical_records
nonProfit,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/nonProfit/nonProfit.1.0.7.manifest.cdm.json,1.0.7,non_profit
nonProfitCore,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/nonProfit/nonProfitCore/nonProfitCore.2.4.manifest.cdm.json,2.4,non_profit_core
nonProfitForSales,local:/core/applicationCommon/foundationCommon/crmCommon/accelerators/nonProfit/nonProfitForSales/nonProfitForSales.2.4.manifest.cdm.json,2.4,non_profit_for_sales
