cdm_semantic_meaning,description,extends_trait,parameters,dbt_labels
means.calendar,,means,,category:calendar|role:dimension
means.calendar.fiscal,,means.calendar,,category:calendar|subcategory:fiscal|role:dimension
means.calendar.ISO8601,,means.calendar,,category:calendar|subcategory:ISO8601|standard:iso|role:dimension
means.calendar.manufacturing,,means.calendar,,category:calendar|subcategory:manufacturing|role:dimension
means.calendar.reporting,,means.calendar,,category:calendar|subcategory:reporting|role:dimension
means.calendar.day,,means.calendar,,category:calendar|subcategory:day|role:dimension
means.calendar.dayOfWeek,,means.calendar.day,,category:calendar|subcategory:dayOfWeek|role:dimension
means.calendar.dayOfTendays,,means.calendar.day,,category:calendar|subcategory:dayOfTendays|role:dimension
means.calendar.dayOfMonth,,means.calendar.day,,category:calendar|subcategory:dayOfMonth|role:dimension
means.calendar.dayOfMonthOrPeriod,,means.calendar.day,,category:calendar|subcategory:dayOfMonthOrPeriod|role:dimension
means.calendar.dayOfQuarter,,means.calendar.day,,category:calendar|subcategory:dayOfQuarter|role:dimension
means.calendar.dayOfTrimester,,means.calendar.day,,category:calendar|subcategory:dayOfTrimester|role:dimension
means.calendar.dayOfHalfyear,,means.calendar.day,,category:calendar|subcategory:dayOfHalfyear|role:dimension
means.calendar.dayOfYear,,means.calendar.day,,category:calendar|subcategory:dayOfYear|role:dimension
means.calendar.week,,means.calendar,,category:calendar|subcategory:week|role:dimension
means.calendar.weekOfMonth,,means.calendar.week,,category:calendar|subcategory:weekOfMonth|role:dimension
means.calendar.weekOfQuarter,,means.calendar.week,,category:calendar|subcategory:weekOfQuarter|role:dimension
means.calendar.weekOfTrimester,,means.calendar.week,,category:calendar|subcategory:weekOfTrimester|role:dimension
means.calendar.weekOfHalfyear,,means.calendar.week,,category:calendar|subcategory:weekOfHalfyear|role:dimension
means.calendar.weekOfYear,,means.calendar.week,,category:calendar|subcategory:weekOfYear|role:dimension
means.calendar.tenday,,means.calendar,,category:calendar|subcategory:tenday|role:dimension
means.calendar.tendayOfMonth,,means.calendar.tenday,,category:calendar|subcategory:tendayOfMonth|role:dimension
means.calendar.tendayOfQuarter,,means.calendar.tenday,,category:calendar|subcategory:tendayOfQuarter|role:dimension
means.calendar.tendayOfTrimester,,means.calendar.tenday,,category:calendar|subcategory:tendayOfTrimester|role:dimension
